atemp,cnt,Predicted Y
0.2879,16,109.9580695217287
0.2727,40,103.52573090110971
0.2727,32,103.52573090110971
0.2879,13,109.9580695217287
0.2879,1,109.9580695217287
0.2576,1,97.1357102977316
0.2727,2,103.52573090110971
0.2576,3,97.1357102977316
0.2879,8,109.9580695217287
0.3485,14,135.6027879697229
0.3939,36,154.8151677970981
0.3333,56,129.1704493491039
0.4242,84,167.63752702109522
0.4545,94,180.45988624509232
0.4545,106,180.45988624509232
0.4394,110,174.06986564171422
0.4242,93,167.63752702109522
0.4394,67,174.06986564171422
0.4242,35,167.63752702109522
0.4242,37,167.63752702109522
0.4091,36,161.24750641771712
0.4091,34,161.24750641771712
0.4091,28,161.24750641771712
0.4545,39,180.45988624509232
0.4545,17,180.45988624509232
0.4394,17,174.06986564171422
0.4242,9,167.63752702109522
0.4545,6,180.45988624509232
0.4545,3,180.45988624509232
0.4242,2,167.63752702109522
0.4091,1,161.24750641771712
0.4091,8,161.24750641771712
0.3939,20,154.8151677970981
0.3485,53,135.6027879697229
0.3333,70,129.1704493491039
0.3333,93,129.1704493491039
0.3485,75,135.6027879697229
0.3485,59,135.6027879697229
0.3333,74,129.1704493491039
0.3333,76,129.1704493491039
0.3333,65,129.1704493491039
0.3333,53,129.1704493491039
0.2879,30,109.9580695217287
0.2727,22,103.52573090110971
0.2273,31,84.31335107373451
0.2121,9,77.88101245311552
0.2273,8,84.31335107373451
0.197,5,71.49099184973741
0.1667,2,58.668632625740315
0.1364,1,45.84627340174321
0.1364,3,45.84627340174321
0.1061,30,33.023914177746114
0.1364,64,45.84627340174321
0.1212,154,39.41393478112421
0.1364,88,45.84627340174321
0.1667,44,58.668632625740315
0.1818,51,65.0586532291184
0.2121,61,77.88101245311552
0.2121,61,77.88101245311552
0.2424,77,90.70337167711261
0.2424,72,90.70337167711261
0.2424,76,90.70337167711261
0.2273,157,84.31335107373451
0.2576,157,97.1357102977316
0.2576,110,97.1357102977316
0.2273,52,84.31335107373451
0.197,52,71.49099184973741
0.1515,20,52.23629400512131
0.2121,12,77.88101245311552
0.1818,5,65.0586532291184
0.1818,2,65.0586532291184
0.1515,1,52.23629400512131
0.1818,2,65.0586532291184
0.1515,4,52.23629400512131
0.1515,36,52.23629400512131
0.1515,94,52.23629400512131
0.1515,179,52.23629400512131
0.1515,100,52.23629400512131
0.1364,42,45.84627340174321
0.2121,57,77.88101245311552
0.2273,78,84.31335107373451
0.2273,97,84.31335107373451
0.2576,63,97.1357102977316
0.2727,65,103.52573090110971
0.2879,83,109.9580695217287
0.2727,212,103.52573090110971
0.2576,182,97.1357102977316
0.2576,112,97.1357102977316
0.2576,54,97.1357102977316
0.2727,48,103.52573090110971
0.2576,35,97.1357102977316
0.2273,11,84.31335107373451
0.2576,6,97.1357102977316
0.197,6,71.49099184973741
0.197,2,71.49099184973741
