atemp,instant,Predicted Y
0.2879,1,7935.202684009544
0.2727,2,7874.135948328807
0.2727,3,7874.135948328807
0.2879,4,7935.202684009544
0.2879,5,7935.202684009544
0.2576,6,7813.470967488073
0.2727,7,7874.135948328807
0.2576,8,7813.470967488073
0.2879,9,7935.202684009544
0.3485,10,8178.666117052487
0.3939,11,8361.06281441469
0.3333,12,8117.599381371749
0.4242,13,8482.794530936162
0.4545,14,8604.526247457634
0.4545,15,8604.526247457634
0.4394,16,8543.861266616901
0.4242,17,8482.794530936162
0.4394,18,8543.861266616901
0.4242,19,8482.794530936162
0.4242,20,8482.794530936162
0.4091,21,8422.12955009543
0.4091,22,8422.12955009543
0.4091,23,8422.12955009543
0.4545,24,8604.526247457634
0.4545,25,8604.526247457634
0.4394,26,8543.861266616901
0.4242,27,8482.794530936162
0.4545,28,8604.526247457634
0.4545,29,8604.526247457634
0.4242,30,8482.794530936162
0.4091,31,8422.12955009543
0.4091,32,8422.12955009543
0.3939,33,8361.06281441469
0.3485,34,8178.666117052487
0.3333,35,8117.599381371749
0.3333,36,8117.599381371749
0.3485,37,8178.666117052487
0.3485,38,8178.666117052487
0.3333,39,8117.599381371749
0.3333,40,8117.599381371749
0.3333,41,8117.599381371749
0.3333,42,8117.599381371749
0.2879,43,7935.202684009544
0.2727,44,7874.135948328807
0.2273,45,7691.739250966602
0.2121,46,7630.672515285864
0.2273,47,7691.739250966602
0.197,48,7570.007534445132
0.1667,49,7448.27581792366
0.1364,50,7326.544101402189
0.1364,51,7326.544101402189
0.1061,52,7204.812384880718
0.1364,53,7326.544101402189
0.1212,54,7265.477365721451
0.1364,55,7326.544101402189
0.1667,56,7448.27581792366
0.1818,57,7508.940798764394
0.2121,58,7630.672515285864
0.2121,59,7630.672515285864
0.2424,60,7752.404231807335
0.2424,61,7752.404231807335
0.2424,62,7752.404231807335
0.2273,63,7691.739250966602
0.2576,64,7813.470967488073
0.2576,65,7813.470967488073
0.2273,66,7691.739250966602
0.197,67,7570.007534445132
0.1515,68,7387.209082242922
0.2121,69,7630.672515285864
0.1818,70,7508.940798764394
0.1818,71,7508.940798764394
0.1515,72,7387.209082242922
0.1818,73,7508.940798764394
0.1515,74,7387.209082242922
0.1515,75,7387.209082242922
0.1515,76,7387.209082242922
0.1515,77,7387.209082242922
0.1515,78,7387.209082242922
0.1364,79,7326.544101402189
0.2121,80,7630.672515285864
0.2273,81,7691.739250966602
0.2273,82,7691.739250966602
0.2576,83,7813.470967488073
0.2727,84,7874.135948328807
0.2879,85,7935.202684009544
0.2727,86,7874.135948328807
0.2576,87,7813.470967488073
0.2576,88,7813.470967488073
0.2576,89,7813.470967488073
0.2727,90,7874.135948328807
0.2576,91,7813.470967488073
0.2273,92,7691.739250966602
0.2576,93,7813.470967488073
0.197,94,7570.007534445132
0.197,95,7570.007534445132
0.2273,96,7691.739250966602
0.2273,97,7691.739250966602
0.197,98,7570.007534445132
0.1818,99,7508.940798764394
0.1818,100,7508.940798764394
0.197,101,7570.007534445132
0.197,102,7570.007534445132
0.2273,103,7691.739250966602
0.2273,104,7691.739250966602
0.2576,105,7813.470967488073
0.2879,106,7935.202684009544
0.2879,107,7935.202684009544
0.3182,108,8056.934400531016
0.2273,109,7691.739250966602
0.2424,110,7752.404231807335
0.2576,111,7813.470967488073
0.2273,112,7691.739250966602
0.197,113,7570.007534445132
0.197,114,7570.007534445132
0.2576,115,7813.470967488073
0.2424,116,7752.404231807335
0.2273,117,7691.739250966602
0.2273,118,7691.739250966602
0.197,119,7570.007534445132
0.1818,120,7508.940798764394
0.1667,121,7448.27581792366
0.2273,122,7691.739250966602
0.2273,123,7691.739250966602
0.2424,124,7752.404231807335
0.2576,125,7813.470967488073
0.2576,126,7813.470967488073
0.2879,127,7935.202684009544
0.2727,128,7874.135948328807
0.2727,129,7874.135948328807
0.2727,130,7874.135948328807
0.2576,131,7813.470967488073
0.2273,132,7691.739250966602
0.2273,133,7691.739250966602
0.2576,134,7813.470967488073
0.2121,135,7630.672515285864
0.2121,136,7630.672515285864
0.2121,137,7630.672515285864
0.197,138,7570.007534445132
0.197,139,7570.007534445132
0.197,140,7570.007534445132
0.197,141,7570.007534445132
0.2121,142,7630.672515285864
0.2727,143,7874.135948328807
0.2576,144,7813.470967488073
0.2121,145,7630.672515285864
0.197,146,7570.007534445132
0.1818,147,7508.940798764394
0.197,148,7570.007534445132
0.197,149,7570.007534445132
0.197,150,7570.007534445132
0.1818,151,7508.940798764394
0.197,152,7570.007534445132
0.2121,153,7630.672515285864
0.2121,154,7630.672515285864
0.2576,155,7813.470967488073
0.2273,156,7691.739250966602
0.197,157,7570.007534445132
0.2121,158,7630.672515285864
0.197,159,7570.007534445132
0.197,160,7570.007534445132
0.197,161,7570.007534445132
0.197,162,7570.007534445132
0.2121,163,7630.672515285864
0.2424,164,7752.404231807335
0.197,165,7570.007534445132
0.197,166,7570.007534445132
0.1667,167,7448.27581792366
0.1667,168,7448.27581792366
0.1818,169,7508.940798764394
0.1818,170,7508.940798764394
0.1818,171,7508.940798764394
0.197,172,7570.007534445132
0.1818,173,7508.940798764394
0.1818,174,7508.940798764394
0.1818,175,7508.940798764394
0.1667,176,7448.27581792366
0.1667,177,7448.27581792366
0.1364,178,7326.544101402189
0.1212,179,7265.477365721451
0.1212,180,7265.477365721451
0.1212,181,7265.477365721451
0.1212,182,7265.477365721451
0.1061,183,7204.812384880718
0.1061,184,7204.812384880718
0.0606,185,7022.013932678509
0.0758,186,7083.080668359247
0.0606,187,7022.013932678509
0.0606,188,7022.013932678509
0.0758,189,7083.080668359247
0.0909,190,7143.74564919998
0.0909,191,7143.74564919998
0.0909,192,7143.74564919998
0.0909,193,7143.74564919998
0.0909,194,7143.74564919998
0.0758,195,7083.080668359247
0.1061,196,7204.812384880718
0.1212,197,7265.477365721451
0.1364,198,7326.544101402189
0.1667,199,7448.27581792366
0.1818,200,7508.940798764394
0.197,201,7570.007534445132
0.1667,202,7448.27581792366
0.1515,203,7387.209082242922
0.1364,204,7326.544101402189
0.1364,205,7326.544101402189
0.1212,206,7265.477365721451
0.1061,207,7204.812384880718
0.1212,208,7265.477365721451
0.1364,209,7326.544101402189
0.1212,210,7265.477365721451
0.1212,211,7265.477365721451
0.1212,212,7265.477365721451
0.1212,213,7265.477365721451
0.1212,214,7265.477365721451
0.1061,215,7204.812384880718
0.1212,216,7265.477365721451
0.1212,217,7265.477365721451
0.1212,218,7265.477365721451
0.1212,219,7265.477365721451
0.1212,220,7265.477365721451
0.1364,221,7326.544101402189
0.1818,222,7508.940798764394
0.1818,223,7508.940798764394
0.197,224,7570.007534445132
0.197,225,7570.007534445132
0.2121,226,7630.672515285864
0.2273,227,7691.739250966602
0.197,228,7570.007534445132
0.1667,229,7448.27581792366
0.1667,230,7448.27581792366
0.1364,231,7326.544101402189
0.1515,232,7387.209082242922
0.1515,233,7387.209082242922
0.1667,234,7448.27581792366
0.1515,235,7387.209082242922
0.1515,236,7387.209082242922
0.1818,237,7508.940798764394
0.1818,238,7508.940798764394
0.2273,239,7691.739250966602
0.2121,240,7630.672515285864
0.197,241,7570.007534445132
0.2121,242,7630.672515285864
0.2121,243,7630.672515285864
0.2273,244,7691.739250966602
0.2273,245,7691.739250966602
0.2273,246,7691.739250966602
0.197,247,7570.007534445132
0.1515,248,7387.209082242922
0.1515,249,7387.209082242922
0.1818,250,7508.940798764394
0.2273,251,7691.739250966602
0.1515,252,7387.209082242922
0.197,253,7570.007534445132
0.1818,254,7508.940798764394
0.197,255,7570.007534445132
0.197,256,7570.007534445132
0.1818,257,7508.940798764394
0.1515,258,7387.209082242922
0.1515,259,7387.209082242922
0.1515,260,7387.209082242922
0.1515,261,7387.209082242922
0.1667,262,7448.27581792366
0.1364,263,7326.544101402189
0.1818,264,7508.940798764394
0.1818,265,7508.940798764394
0.1515,266,7387.209082242922
0.197,267,7570.007534445132
0.1818,268,7508.940798764394
0.1667,269,7448.27581792366
0.197,270,7570.007534445132
0.1818,271,7508.940798764394
0.1515,272,7387.209082242922
0.1515,273,7387.209082242922
0.1364,274,7326.544101402189
0.1364,275,7326.544101402189
0.1212,276,7265.477365721451
0.1061,277,7204.812384880718
0.1212,278,7265.477365721451
0.1212,279,7265.477365721451
0.1212,280,7265.477365721451
0.1212,281,7265.477365721451
0.1212,282,7265.477365721451
0.1212,283,7265.477365721451
0.1515,284,7387.209082242922
0.1515,285,7387.209082242922
0.1364,286,7326.544101402189
0.1212,287,7265.477365721451
0.1364,288,7326.544101402189
0.1667,289,7448.27581792366
0.1667,290,7448.27581792366
0.197,291,7570.007534445132
0.197,292,7570.007534445132
0.2121,293,7630.672515285864
0.2121,294,7630.672515285864
0.1818,295,7508.940798764394
0.1818,296,7508.940798764394
0.1515,297,7387.209082242922
0.1515,298,7387.209082242922
0.1212,299,7265.477365721451
0.1212,300,7265.477365721451
0.1364,301,7326.544101402189
0.1364,302,7326.544101402189
0.1212,303,7265.477365721451
0.1212,304,7265.477365721451
0.1364,305,7326.544101402189
0.1364,306,7326.544101402189
0.1818,307,7508.940798764394
0.1212,308,7265.477365721451
