atemp,season,Predicted Y
0.2879,1,2.115146483388557
0.2727,1,2.083877304975151
0.2727,1,2.083877304975151
0.2879,1,2.115146483388557
0.2879,1,2.115146483388557
0.2576,1,2.0528138448407804
0.2727,1,2.083877304975151
0.2576,1,2.0528138448407804
0.2879,1,2.115146483388557
0.3485,1,2.2398117604841095
0.3939,1,2.333207859166256
0.3333,1,2.2085425820707036
0.4242,1,2.3955404977140327
0.4545,1,2.457873136261809
0.4545,1,2.457873136261809
0.4394,1,2.426809676127439
0.4242,1,2.3955404977140327
0.4394,1,2.426809676127439
0.4242,1,2.3955404977140327
0.4242,1,2.3955404977140327
0.4091,1,2.3644770375796624
0.4091,1,2.3644770375796624
0.4091,1,2.3644770375796624
0.4545,1,2.457873136261809
0.4545,1,2.457873136261809
0.4394,1,2.426809676127439
0.4242,1,2.3955404977140327
0.4545,1,2.457873136261809
0.4545,1,2.457873136261809
0.4242,1,2.3955404977140327
0.4091,1,2.3644770375796624
0.4091,1,2.3644770375796624
0.3939,1,2.333207859166256
0.3485,1,2.2398117604841095
0.3333,1,2.2085425820707036
0.3333,1,2.2085425820707036
0.3485,1,2.2398117604841095
0.3485,1,2.2398117604841095
0.3333,1,2.2085425820707036
0.3333,1,2.2085425820707036
0.3333,1,2.2085425820707036
0.3333,1,2.2085425820707036
0.2879,1,2.115146483388557
0.2727,1,2.083877304975151
0.2273,1,1.9904812062930042
0.2121,1,1.9592120278795981
0.2273,1,1.9904812062930042
0.197,1,1.928148567745228
0.1667,1,1.8658159291974514
0.1364,1,1.803483290649675
0.1364,1,1.803483290649675
0.1061,1,1.7411506521018987
0.1364,1,1.803483290649675
0.1212,1,1.7722141122362691
0.1364,1,1.803483290649675
0.1667,1,1.8658159291974514
0.1818,1,1.8968793893318219
0.2121,1,1.9592120278795981
0.2121,1,1.9592120278795981
0.2424,1,2.0215446664273746
0.2424,1,2.0215446664273746
0.2424,1,2.0215446664273746
0.2273,1,1.9904812062930042
0.2576,1,2.0528138448407804
0.2576,1,2.0528138448407804
0.2273,1,1.9904812062930042
0.197,1,1.928148567745228
