casual,hr,Predicted Y
3,0,10.166517443568594
8,1,10.377716053734664
5,2,10.250996887635022
3,3,10.166517443568594
0,4,10.039798277468954
0,5,10.039798277468954
2,6,10.124277721535382
1,7,10.082037999502168
1,8,10.082037999502168
8,9,10.377716053734664
12,10,10.546674941867519
26,11,11.138031050332511
29,12,11.264750216432152
47,13,12.025065213029999
35,14,11.518188548631434
40,15,11.729387158797502
41,16,11.771626880830716
15,17,10.673394107967159
9,18,10.419955775767876
6,19,10.293236609668236
11,20,10.504435219834305
3,21,10.166517443568594
11,22,10.504435219834305
15,23,10.673394107967159
4,0,10.208757165601808
1,1,10.082037999502168
1,2,10.082037999502168
2,3,10.124277721535382
2,4,10.124277721535382
0,6,10.039798277468954
0,7,10.039798277468954
0,8,10.039798277468954
1,9,10.082037999502168
7,10,10.33547633170145
16,11,10.715633830000373
20,12,10.884592718133229
11,13,10.504435219834305
4,14,10.208757165601808
19,15,10.842352996100015
9,16,10.419955775767876
7,17,10.33547633170145
10,18,10.46219549780109
1,19,10.082037999502168
5,20,10.250996887635022
11,21,10.504435219834305
0,22,10.039798277468954
0,23,10.039798277468954
0,0,10.039798277468954
0,1,10.039798277468954
0,4,10.039798277468954
0,5,10.039798277468954
0,6,10.039798277468954
1,7,10.082037999502168
1,8,10.082037999502168
7,9,10.33547633170145
11,10,10.504435219834305
10,11,10.46219549780109
13,12,10.588914663900733
8,13,10.377716053734664
11,14,10.504435219834305
14,15,10.631154385933947
9,16,10.419955775767876
11,17,10.504435219834305
9,18,10.419955775767876
8,19,10.377716053734664
3,20,10.166517443568594
3,21,10.166517443568594
0,22,10.039798277468954
1,23,10.082037999502168
0,0,10.039798277468954
0,1,10.039798277468954
0,2,10.039798277468954
0,4,10.039798277468954
0,5,10.039798277468954
0,6,10.039798277468954
2,7,10.124277721535382
2,8,10.124277721535382
2,9,10.124277721535382
5,10,10.250996887635022
7,11,10.33547633170145
12,12,10.546674941867519
18,13,10.8001132740668
9,14,10.419955775767876
17,15,10.757873552033587
15,16,10.673394107967159
10,17,10.46219549780109
3,18,10.166517443568594
2,19,10.124277721535382
1,20,10.082037999502168
0,21,10.039798277468954
1,22,10.082037999502168
2,23,10.124277721535382
0,0,10.039798277468954
0,1,10.039798277468954
0,2,10.039798277468954
0,4,10.039798277468954
0,5,10.039798277468954
0,6,10.039798277468954
1,7,10.082037999502168
3,8,10.166517443568594
6,9,10.293236609668236
4,10,10.208757165601808
12,11,10.546674941867519
5,12,10.250996887635022
6,13,10.293236609668236
10,14,10.46219549780109
7,15,10.33547633170145
4,16,10.208757165601808
4,17,10.208757165601808
3,18,10.166517443568594
5,19,10.250996887635022
7,20,10.33547633170145
3,21,10.166517443568594
1,22,10.082037999502168
1,23,10.082037999502168
0,0,10.039798277468954
0,1,10.039798277468954
0,2,10.039798277468954
0,4,10.039798277468954
0,5,10.039798277468954
0,6,10.039798277468954
0,7,10.039798277468954
3,8,10.166517443568594
6,9,10.293236609668236
3,10,10.166517443568594
2,11,10.124277721535382
6,12,10.293236609668236
12,13,10.546674941867519
11,14,10.504435219834305
8,15,10.377716053734664
12,16,10.546674941867519
9,17,10.419955775767876
5,18,10.250996887635022
3,19,10.166517443568594
3,20,10.166517443568594
0,21,10.039798277468954
1,22,10.082037999502168
4,23,10.208757165601808
4,0,10.208757165601808
2,1,10.124277721535382
0,2,10.039798277468954
0,4,10.039798277468954
0,5,10.039798277468954
8,6,10.377716053734664
8,7,10.377716053734664
20,8,10.884592718133229
9,9,10.419955775767876
16,10,10.715633830000373
19,11,10.842352996100015
9,12,10.419955775767876
9,13,10.419955775767876
7,14,10.33547633170145
9,15,10.419955775767876
5,16,10.250996887635022
9,17,10.419955775767876
7,18,10.33547633170145
3,19,10.166517443568594
