casual,hum,Predicted Y
3,0.81,0.6716003877724354
8,0.8,0.6648108095244156
5,0.8,0.6688845564732274
3,0.75,0.6716003877724354
0,0.75,0.6756741347212472
0,0.75,0.6756741347212472
2,0.8,0.6729583034220393
1,0.86,0.6743162190716432
1,0.75,0.6743162190716432
8,0.76,0.6648108095244156
12,0.76,0.6593791469259999
26,0.81,0.6403683278315447
29,0.77,0.6362945808827329
47,0.72,0.611852099189862
35,0.72,0.6281470869851093
40,0.77,0.6213575087370896
41,0.82,0.6199995930874856
15,0.82,0.6553053999771881
9,0.88,0.6634528938748117
6,0.88,0.6675266408236236
11,0.87,0.6607370625756038
3,0.87,0.6716003877724354
11,0.94,0.6607370625756038
15,0.88,0.6553053999771881
4,0.88,0.6702424721228314
1,0.94,0.6743162190716432
1,1.0,0.6743162190716432
2,0.94,0.6729583034220393
2,0.94,0.6729583034220393
0,0.77,0.6756741347212472
0,0.76,0.6756741347212472
0,0.71,0.6756741347212472
1,0.76,0.6743162190716432
7,0.81,0.6661687251740196
16,0.71,0.6539474843275841
20,0.66,0.6485158217291683
11,0.66,0.6607370625756038
4,0.76,0.6702424721228314
19,0.81,0.6498737373787723
9,0.71,0.6634528938748117
7,0.57,0.6661687251740196
10,0.46,0.6620949782252078
1,0.42,0.6743162190716432
5,0.39,0.6688845564732274
11,0.44,0.6607370625756038
0,0.44,0.6756741347212472
0,0.47,0.6756741347212472
0,0.44,0.6756741347212472
0,0.44,0.6756741347212472
0,0.47,0.6756741347212472
0,0.47,0.6756741347212472
0,0.5,0.6756741347212472
1,0.5,0.6743162190716432
1,0.5,0.6743162190716432
7,0.43,0.6661687251740196
11,0.43,0.6607370625756038
10,0.4,0.6620949782252078
13,0.35,0.658021231276396
8,0.35,0.6648108095244156
11,0.3,0.6607370625756038
14,0.3,0.656663315626792
9,0.3,0.6634528938748117
11,0.3,0.6607370625756038
9,0.32,0.6634528938748117
8,0.47,0.6648108095244156
3,0.47,0.6716003877724354
3,0.64,0.6716003877724354
0,0.69,0.6756741347212472
1,0.55,0.6743162190716432
0,0.55,0.6756741347212472
0,0.59,0.6756741347212472
0,0.63,0.6756741347212472
0,0.63,0.6756741347212472
0,0.68,0.6756741347212472
0,0.74,0.6756741347212472
2,0.74,0.6729583034220393
2,0.69,0.6729583034220393
2,0.64,0.6729583034220393
5,0.69,0.6688845564732274
7,0.51,0.6661687251740196
12,0.51,0.6593791469259999
18,0.56,0.6512316530283763
9,0.52,0.6634528938748117
17,0.52,0.6525895686779802
15,0.49,0.6553053999771881
10,0.48,0.6620949782252078
3,0.48,0.6716003877724354
2,0.48,0.6729583034220393
1,0.48,0.6743162190716432
0,0.64,0.6756741347212472
1,0.64,0.6743162190716432
2,0.69,0.6729583034220393
0,0.64,0.6756741347212472
0,0.74,0.6756741347212472
0,0.74,0.6756741347212472
0,0.48,0.6756741347212472
0,0.47,0.6756741347212472
0,0.47,0.6756741347212472
1,0.43,0.6743162190716432
3,0.4,0.6716003877724354
6,0.37,0.6675266408236236
4,0.37,0.6702424721228314
12,0.33,0.6593791469259999
5,0.33,0.6688845564732274
6,0.3,0.6675266408236236
10,0.28,0.6620949782252078
7,0.28,0.6661687251740196
4,0.28,0.6702424721228314
4,0.38,0.6702424721228314
3,0.38,0.6716003877724354
5,0.38,0.6688845564732274
7,0.47,0.6661687251740196
3,0.51,0.6716003877724354
1,0.55,0.6743162190716432
1,0.47,0.6743162190716432
0,0.55,0.6756741347212472
0,0.64,0.6756741347212472
0,0.64,0.6756741347212472
0,0.64,0.6756741347212472
0,0.69,0.6756741347212472
0,0.63,0.6756741347212472
0,0.59,0.6756741347212472
3,0.59,0.6716003877724354
6,0.51,0.6675266408236236
3,0.47,0.6716003877724354
2,0.44,0.6729583034220393
6,0.35,0.6675266408236236
12,0.35,0.6593791469259999
11,0.36,0.6607370625756038
8,0.36,0.6648108095244156
12,0.38,0.6593791469259999
9,0.51,0.6634528938748117
5,0.51,0.6688845564732274
3,0.55,0.6716003877724354
3,0.51,0.6716003877724354
0,0.55,0.6756741347212472
1,0.51,0.6743162190716432
4,0.59,0.6702424721228314
4,0.64,0.6702424721228314
2,0.69,0.6729583034220393
0,0.69,0.6756741347212472
0,0.69,0.6756741347212472
0,0.55,0.6756741347212472
8,0.69,0.6648108095244156
8,0.69,0.6648108095244156
20,0.51,0.6485158217291683
9,0.47,0.6634528938748117
16,0.37,0.6539474843275841
19,0.4,0.6498737373787723
9,0.37,0.6634528938748117
9,0.37,0.6634528938748117
7,0.4,0.6661687251740196
9,0.37,0.6634528938748117
5,0.37,0.6688845564732274
9,0.37,0.6634528938748117
7,0.4,0.6661687251740196
3,0.55,0.6716003877724354
1,0.47,0.6743162190716432
0,0.47,0.6756741347212472
2,0.43,0.6729583034220393
1,0.51,0.6743162190716432
1,0.51,0.6743162190716432
1,0.55,0.6743162190716432
3,0.55,0.6716003877724354
0,0.55,0.6756741347212472
0,0.55,0.6756741347212472
0,0.74,0.6756741347212472
0,0.74,0.6756741347212472
1,0.74,0.6743162190716432
0,0.93,0.6756741347212472
0,0.93,0.6756741347212472
5,0.8,0.6688845564732274
2,0.69,0.6729583034220393
8,0.59,0.6648108095244156
7,0.44,0.6661687251740196
12,0.32,0.6593791469259999
5,0.32,0.6688845564732274
8,0.29,0.6648108095244156
5,0.37,0.6688845564732274
3,0.39,0.6716003877724354
4,0.36,0.6702424721228314
0,0.36,0.6756741347212472
2,0.39,0.6729583034220393
1,0.36,0.6743162190716432
0,0.39,0.6756741347212472
1,0.42,0.6743162190716432
0,0.42,0.6756741347212472
0,0.46,0.6756741347212472
0,0.46,0.6756741347212472
0,0.53,0.6756741347212472
0,0.53,0.6756741347212472
0,0.49,0.6756741347212472
1,0.53,0.6743162190716432
0,0.49,0.6756741347212472
0,0.46,0.6756741347212472
0,0.43,0.6756741347212472
2,0.4,0.6729583034220393
4,0.37,0.6702424721228314
6,0.34,0.6675266408236236
8,0.32,0.6648108095244156
5,0.35,0.6688845564732274
13,0.34,0.658021231276396
3,0.37,0.6716003877724354
4,0.4,0.6702424721228314
1,0.43,0.6743162190716432
0,0.46,0.6756741347212472
1,0.46,0.6743162190716432
5,0.46,0.6688845564732274
0,0.5,0.6756741347212472
2,0.5,0.6729583034220393
1,0.5,0.6743162190716432
0,0.5,0.6756741347212472
0,0.5,0.6756741347212472
1,0.54,0.6743162190716432
0,0.54,0.6756741347212472
0,0.5,0.6756741347212472
2,0.5,0.6729583034220393
4,0.5,0.6702424721228314
2,0.5,0.6729583034220393
0,0.5,0.6756741347212472
2,0.47,0.6729583034220393
5,0.4,0.6688845564732274
4,0.4,0.6702424721228314
0,0.4,0.6756741347212472
2,0.4,0.6729583034220393
4,0.4,0.6702424721228314
4,0.4,0.6702424721228314
1,0.4,0.6743162190716432
3,0.47,0.6716003877724354
1,0.5,0.6743162190716432
1,0.59,0.6743162190716432
2,0.59,0.6729583034220393
0,0.59,0.6756741347212472
2,0.59,0.6729583034220393
0,0.59,0.6756741347212472
0,0.55,0.6756741347212472
0,0.55,0.6756741347212472
0,0.55,0.6756741347212472
2,0.55,0.6729583034220393
3,0.51,0.6716003877724354
3,0.51,0.6716003877724354
3,0.51,0.6716003877724354
4,0.47,0.6702424721228314
2,0.51,0.6729583034220393
6,0.59,0.6675266408236236
3,0.59,0.6716003877724354
2,0.8,0.6729583034220393
4,0.86,0.6702424721228314
6,0.86,0.6675266408236236
1,0.93,0.6743162190716432
0,0.93,0.6756741347212472
0,0.93,0.6756741347212472
0,0.86,0.6756741347212472
1,0.93,0.6743162190716432
