casual,instant,Predicted Y
3,1,8163.673166819314
8,2,8244.209847401895
5,3,8195.887839052346
3,4,8163.673166819314
0,5,8115.351158469766
0,6,8115.351158469766
2,7,8147.565830702798
1,8,8131.4584945862825
1,9,8131.4584945862825
8,10,8244.209847401895
12,11,8308.639191867958
26,12,8534.141897499185
29,13,8582.463905848732
47,14,8872.395955946022
35,15,8679.107922547828
40,16,8759.64460313041
41,17,8775.751939246926
15,18,8356.961200217507
9,19,8260.317183518411
6,20,8211.995175168862
11,21,8292.531855751444
3,22,8163.673166819314
11,23,8292.531855751444
15,24,8356.961200217507
4,25,8179.780502935831
1,26,8131.4584945862825
1,27,8131.4584945862825
2,28,8147.565830702798
2,29,8147.565830702798
0,30,8115.351158469766
0,31,8115.351158469766
0,32,8115.351158469766
1,33,8131.4584945862825
7,34,8228.102511285379
16,35,8373.068536334024
20,36,8437.497880800087
11,37,8292.531855751444
4,38,8179.780502935831
19,39,8421.39054468357
9,40,8260.317183518411
7,41,8228.102511285379
10,42,8276.424519634927
1,43,8131.4584945862825
5,44,8195.887839052346
11,45,8292.531855751444
0,46,8115.351158469766
0,47,8115.351158469766
0,48,8115.351158469766
0,49,8115.351158469766
0,50,8115.351158469766
0,51,8115.351158469766
0,52,8115.351158469766
1,53,8131.4584945862825
1,54,8131.4584945862825
7,55,8228.102511285379
11,56,8292.531855751444
10,57,8276.424519634927
13,58,8324.746527984475
8,59,8244.209847401895
11,60,8292.531855751444
14,61,8340.85386410099
9,62,8260.317183518411
11,63,8292.531855751444
9,64,8260.317183518411
8,65,8244.209847401895
3,66,8163.673166819314
3,67,8163.673166819314
0,68,8115.351158469766
1,69,8131.4584945862825
0,70,8115.351158469766
0,71,8115.351158469766
0,72,8115.351158469766
0,73,8115.351158469766
0,74,8115.351158469766
0,75,8115.351158469766
2,76,8147.565830702798
2,77,8147.565830702798
2,78,8147.565830702798
5,79,8195.887839052346
7,80,8228.102511285379
12,81,8308.639191867958
18,82,8405.283208567056
9,83,8260.317183518411
17,84,8389.17587245054
15,85,8356.961200217507
10,86,8276.424519634927
3,87,8163.673166819314
2,88,8147.565830702798
1,89,8131.4584945862825
0,90,8115.351158469766
1,91,8131.4584945862825
2,92,8147.565830702798
0,93,8115.351158469766
0,94,8115.351158469766
0,95,8115.351158469766
0,96,8115.351158469766
0,97,8115.351158469766
0,98,8115.351158469766
1,99,8131.4584945862825
3,100,8163.673166819314
6,101,8211.995175168862
4,102,8179.780502935831
12,103,8308.639191867958
5,104,8195.887839052346
6,105,8211.995175168862
10,106,8276.424519634927
7,107,8228.102511285379
4,108,8179.780502935831
4,109,8179.780502935831
3,110,8163.673166819314
5,111,8195.887839052346
7,112,8228.102511285379
3,113,8163.673166819314
1,114,8131.4584945862825
1,115,8131.4584945862825
0,116,8115.351158469766
0,117,8115.351158469766
0,118,8115.351158469766
0,119,8115.351158469766
0,120,8115.351158469766
0,121,8115.351158469766
0,122,8115.351158469766
3,123,8163.673166819314
6,124,8211.995175168862
3,125,8163.673166819314
2,126,8147.565830702798
6,127,8211.995175168862
12,128,8308.639191867958
11,129,8292.531855751444
8,130,8244.209847401895
12,131,8308.639191867958
9,132,8260.317183518411
5,133,8195.887839052346
3,134,8163.673166819314
3,135,8163.673166819314
0,136,8115.351158469766
1,137,8131.4584945862825
4,138,8179.780502935831
4,139,8179.780502935831
2,140,8147.565830702798
0,141,8115.351158469766
0,142,8115.351158469766
0,143,8115.351158469766
8,144,8244.209847401895
8,145,8244.209847401895
20,146,8437.497880800087
9,147,8260.317183518411
16,148,8373.068536334024
19,149,8421.39054468357
9,150,8260.317183518411
9,151,8260.317183518411
7,152,8228.102511285379
9,153,8260.317183518411
5,154,8195.887839052346
9,155,8260.317183518411
7,156,8228.102511285379
3,157,8163.673166819314
1,158,8131.4584945862825
0,159,8115.351158469766
2,160,8147.565830702798
1,161,8131.4584945862825
1,162,8131.4584945862825
1,163,8131.4584945862825
3,164,8163.673166819314
0,165,8115.351158469766
0,166,8115.351158469766
0,167,8115.351158469766
0,168,8115.351158469766
1,169,8131.4584945862825
0,170,8115.351158469766
0,171,8115.351158469766
5,172,8195.887839052346
2,173,8147.565830702798
8,174,8244.209847401895
7,175,8228.102511285379
12,176,8308.639191867958
5,177,8195.887839052346
8,178,8244.209847401895
5,179,8195.887839052346
3,180,8163.673166819314
4,181,8179.780502935831
0,182,8115.351158469766
2,183,8147.565830702798
1,184,8131.4584945862825
0,185,8115.351158469766
1,186,8131.4584945862825
0,187,8115.351158469766
0,188,8115.351158469766
0,189,8115.351158469766
0,190,8115.351158469766
0,191,8115.351158469766
0,192,8115.351158469766
1,193,8131.4584945862825
0,194,8115.351158469766
0,195,8115.351158469766
0,196,8115.351158469766
2,197,8147.565830702798
4,198,8179.780502935831
6,199,8211.995175168862
8,200,8244.209847401895
5,201,8195.887839052346
13,202,8324.746527984475
3,203,8163.673166819314
4,204,8179.780502935831
1,205,8131.4584945862825
0,206,8115.351158469766
1,207,8131.4584945862825
5,208,8195.887839052346
0,209,8115.351158469766
2,210,8147.565830702798
1,211,8131.4584945862825
0,212,8115.351158469766
0,213,8115.351158469766
1,214,8131.4584945862825
0,215,8115.351158469766
0,216,8115.351158469766
2,217,8147.565830702798
4,218,8179.780502935831
2,219,8147.565830702798
0,220,8115.351158469766
2,221,8147.565830702798
5,222,8195.887839052346
4,223,8179.780502935831
0,224,8115.351158469766
2,225,8147.565830702798
4,226,8179.780502935831
4,227,8179.780502935831
1,228,8131.4584945862825
3,229,8163.673166819314
1,230,8131.4584945862825
1,231,8131.4584945862825
2,232,8147.565830702798
0,233,8115.351158469766
2,234,8147.565830702798
0,235,8115.351158469766
0,236,8115.351158469766
0,237,8115.351158469766
0,238,8115.351158469766
2,239,8147.565830702798
3,240,8163.673166819314
3,241,8163.673166819314
3,242,8163.673166819314
4,243,8179.780502935831
2,244,8147.565830702798
6,245,8211.995175168862
3,246,8163.673166819314
2,247,8147.565830702798
4,248,8179.780502935831
6,249,8211.995175168862
1,250,8131.4584945862825
0,251,8115.351158469766
0,252,8115.351158469766
0,253,8115.351158469766
1,254,8131.4584945862825
1,255,8131.4584945862825
0,256,8115.351158469766
0,257,8115.351158469766
0,258,8115.351158469766
0,259,8115.351158469766
0,260,8115.351158469766
0,261,8115.351158469766
3,262,8163.673166819314
3,263,8163.673166819314
0,264,8115.351158469766
3,265,8163.673166819314
3,266,8163.673166819314
0,267,8115.351158469766
0,268,8115.351158469766
1,269,8131.4584945862825
5,270,8195.887839052346
0,271,8115.351158469766
2,272,8147.565830702798
1,273,8131.4584945862825
2,274,8147.565830702798
0,275,8115.351158469766
1,276,8131.4584945862825
1,277,8131.4584945862825
1,278,8131.4584945862825
0,279,8115.351158469766
0,280,8115.351158469766
0,281,8115.351158469766
0,282,8115.351158469766
0,283,8115.351158469766
0,284,8115.351158469766
0,285,8115.351158469766
5,286,8195.887839052346
2,287,8147.565830702798
2,288,8147.565830702798
4,289,8179.780502935831
3,290,8163.673166819314
2,291,8147.565830702798
3,292,8163.673166819314
5,293,8195.887839052346
2,294,8147.565830702798
4,295,8179.780502935831
3,296,8163.673166819314
1,297,8131.4584945862825
0,298,8115.351158469766
0,299,8115.351158469766
0,300,8115.351158469766
1,301,8131.4584945862825
0,302,8115.351158469766
0,303,8115.351158469766
0,304,8115.351158469766
0,305,8115.351158469766
0,306,8115.351158469766
0,307,8115.351158469766
0,308,8115.351158469766
2,309,8147.565830702798
0,310,8115.351158469766
4,311,8179.780502935831
6,312,8211.995175168862
2,313,8147.565830702798
4,314,8179.780502935831
