casual,registered,Predicted Y
3,13,102.9680873780252
8,32,110.74419861153669
5,27,106.0785318714298
3,10,102.9680873780252
0,1,98.30242063791832
0,1,98.30242063791832
2,0,101.41286513132292
1,2,99.85764288462062
1,7,99.85764288462062
8,6,110.74419861153669
12,24,116.96508759834587
26,30,138.73819905217803
29,55,143.40386579228493
47,47,171.39786623292628
35,71,152.7351992724987
40,70,160.51131050601018
41,52,162.06653275271248
15,52,121.63075433845276
9,26,112.29942085823899
6,31,107.6337541181321
11,25,115.40986535164359
3,31,102.9680873780252
11,17,115.40986535164359
15,24,121.63075433845276
4,13,104.5233096247275
1,16,99.85764288462062
1,8,99.85764288462062
2,4,101.41286513132292
2,1,101.41286513132292
0,2,98.30242063791832
0,1,98.30242063791832
0,8,98.30242063791832
1,19,99.85764288462062
7,46,109.18897636483439
16,54,123.18597658515506
20,73,129.40686557196426
11,64,115.40986535164359
4,55,104.5233096247275
19,55,127.85164332526196
9,67,112.29942085823899
7,58,109.18897636483439
10,43,113.85464310494129
1,29,99.85764288462062
5,17,106.0785318714298
11,20,115.40986535164359
0,9,98.30242063791832
0,8,98.30242063791832
0,5,98.30242063791832
0,2,98.30242063791832
0,1,98.30242063791832
0,3,98.30242063791832
0,30,98.30242063791832
1,63,99.85764288462062
1,153,99.85764288462062
7,81,109.18897636483439
11,33,115.40986535164359
10,41,113.85464310494129
13,48,118.52030984504817
8,53,110.74419861153669
11,66,115.40986535164359
14,58,120.07553209175047
9,67,112.29942085823899
11,146,115.40986535164359
9,148,112.29942085823899
8,102,110.74419861153669
3,49,102.9680873780252
3,49,102.9680873780252
0,20,98.30242063791832
1,11,99.85764288462062
0,5,98.30242063791832
0,2,98.30242063791832
0,1,98.30242063791832
0,2,98.30242063791832
0,4,98.30242063791832
0,36,98.30242063791832
2,92,101.41286513132292
2,177,101.41286513132292
2,98,101.41286513132292
5,37,106.0785318714298
7,50,109.18897636483439
12,66,116.96508759834587
18,79,126.29642107855966
9,54,112.29942085823899
17,48,124.74119883185736
15,68,121.63075433845276
10,202,113.85464310494129
3,179,102.9680873780252
2,110,101.41286513132292
1,53,99.85764288462062
0,48,98.30242063791832
1,34,99.85764288462062
2,9,101.41286513132292
0,6,98.30242063791832
0,6,98.30242063791832
0,2,98.30242063791832
0,2,98.30242063791832
0,3,98.30242063791832
0,33,98.30242063791832
1,87,99.85764288462062
3,192,102.9680873780252
6,109,107.6337541181321
4,53,104.5233096247275
12,34,116.96508759834587
5,74,106.0785318714298
6,65,107.6337541181321
10,52,113.85464310494129
7,55,109.18897636483439
4,85,104.5233096247275
4,186,104.5233096247275
3,166,102.9680873780252
5,127,106.0785318714298
7,82,109.18897636483439
3,40,102.9680873780252
1,41,99.85764288462062
1,18,99.85764288462062
0,11,98.30242063791832
0,4,98.30242063791832
0,2,98.30242063791832
0,1,98.30242063791832
0,4,98.30242063791832
0,36,98.30242063791832
0,95,98.30242063791832
3,216,102.9680873780252
6,116,107.6337541181321
3,42,102.9680873780252
2,57,101.41286513132292
6,78,107.6337541181321
12,55,116.96508759834587
11,59,115.40986535164359
8,54,110.74419861153669
12,74,116.96508759834587
9,163,112.29942085823899
5,158,106.0785318714298
3,109,102.9680873780252
3,66,102.9680873780252
0,48,98.30242063791832
1,51,99.85764288462062
4,19,104.5233096247275
4,13,104.5233096247275
2,5,101.41286513132292
0,1,98.30242063791832
0,1,98.30242063791832
0,5,98.30242063791832
8,26,110.74419861153669
8,76,110.74419861153669
20,190,129.40686557196426
9,125,112.29942085823899
16,47,123.18597658515506
19,48,127.85164332526196
9,50,112.29942085823899
9,64,112.29942085823899
7,43,109.18897636483439
9,63,112.29942085823899
5,82,106.0785318714298
9,178,112.29942085823899
7,116,109.18897636483439
3,92,102.9680873780252
1,50,99.85764288462062
0,39,98.30242063791832
2,34,101.41286513132292
1,14,99.85764288462062
1,24,99.85764288462062
1,15,99.85764288462062
3,13,102.9680873780252
0,7,98.30242063791832
0,1,98.30242063791832
0,5,98.30242063791832
0,2,98.30242063791832
1,8,99.85764288462062
0,15,98.30242063791832
0,20,98.30242063791832
5,56,106.0785318714298
2,60,101.41286513132292
8,90,110.74419861153669
7,95,109.18897636483439
12,83,116.96508759834587
5,69,106.0785318714298
8,68,110.74419861153669
5,64,106.0785318714298
3,52,102.9680873780252
4,26,104.5233096247275
0,28,98.30242063791832
2,35,101.41286513132292
1,33,99.85764288462062
0,22,98.30242063791832
1,24,99.85764288462062
0,12,98.30242063791832
0,11,98.30242063791832
0,4,98.30242063791832
0,1,98.30242063791832
0,1,98.30242063791832
0,1,98.30242063791832
1,5,99.85764288462062
0,10,98.30242063791832
0,19,98.30242063791832
0,49,98.30242063791832
2,47,101.41286513132292
4,79,104.5233096247275
6,69,107.6337541181321
8,64,110.74419861153669
5,77,106.0785318714298
13,79,118.52030984504817
3,59,102.9680873780252
4,44,104.5233096247275
1,40,99.85764288462062
0,38,98.30242063791832
1,19,99.85764288462062
5,10,106.0785318714298
0,6,98.30242063791832
2,3,101.41286513132292
1,0,99.85764288462062
0,3,98.30242063791832
0,1,98.30242063791832
1,2,99.85764288462062
0,3,98.30242063791832
0,31,98.30242063791832
2,75,101.41286513132292
4,184,104.5233096247275
2,92,101.41286513132292
0,31,98.30242063791832
2,28,101.41286513132292
5,47,106.0785318714298
4,50,104.5233096247275
0,47,98.30242063791832
2,43,101.41286513132292
4,70,104.5233096247275
4,174,104.5233096247275
1,154,99.85764288462062
3,92,102.9680873780252
1,73,99.85764288462062
1,37,99.85764288462062
2,22,101.41286513132292
0,18,98.30242063791832
2,10,101.41286513132292
0,3,98.30242063791832
0,3,98.30242063791832
0,6,98.30242063791832
0,27,98.30242063791832
2,97,101.41286513132292
3,214,102.9680873780252
3,127,102.9680873780252
3,51,102.9680873780252
4,31,104.5233096247275
2,55,101.41286513132292
6,46,107.6337541181321
3,60,102.9680873780252
2,45,101.41286513132292
4,72,104.5233096247275
6,130,107.6337541181321
1,94,99.85764288462062
0,51,98.30242063791832
0,32,98.30242063791832
0,20,98.30242063791832
1,28,99.85764288462062
1,18,99.85764288462062
0,7,98.30242063791832
0,6,98.30242063791832
0,1,98.30242063791832
0,5,98.30242063791832
0,16,98.30242063791832
0,54,98.30242063791832
3,125,102.9680873780252
3,78,102.9680873780252
0,39,98.30242063791832
3,32,102.9680873780252
3,52,102.9680873780252
0,49,98.30242063791832
0,44,98.30242063791832
1,48,99.85764288462062
5,63,106.0785318714298
0,139,98.30242063791832
2,135,101.41286513132292
1,82,99.85764288462062
2,54,101.41286513132292
0,57,98.30242063791832
1,32,99.85764288462062
1,19,99.85764288462062
1,6,99.85764288462062
0,2,98.30242063791832
0,2,98.30242063791832
0,3,98.30242063791832
0,4,98.30242063791832
0,3,98.30242063791832
0,28,98.30242063791832
0,72,98.30242063791832
5,197,106.0785318714298
2,137,101.41286513132292
2,36,101.41286513132292
4,33,104.5233096247275
3,49,102.9680873780252
2,81,101.41286513132292
3,39,102.9680873780252
5,55,106.0785318714298
2,76,101.41286513132292
4,158,104.5233096247275
3,141,102.9680873780252
1,98,99.85764288462062
0,64,98.30242063791832
0,40,98.30242063791832
0,30,98.30242063791832
1,14,99.85764288462062
0,14,98.30242063791832
0,5,98.30242063791832
0,1,98.30242063791832
0,1,98.30242063791832
0,8,98.30242063791832
0,17,98.30242063791832
0,70,98.30242063791832
2,156,101.41286513132292
0,117,98.30242063791832
4,40,104.5233096247275
6,47,107.6337541181321
2,59,101.41286513132292
4,73,104.5233096247275
5,59,106.0785318714298
9,59,112.29942085823899
3,87,102.9680873780252
4,155,104.5233096247275
5,134,106.0785318714298
3,89,102.9680873780252
0,68,98.30242063791832
4,48,104.5233096247275
2,34,101.41286513132292
1,26,99.85764288462062
3,25,102.9680873780252
2,18,101.41286513132292
0,12,98.30242063791832
1,7,99.85764288462062
0,5,98.30242063791832
0,1,98.30242063791832
1,2,99.85764288462062
1,9,99.85764288462062
1,22,99.85764288462062
2,31,101.41286513132292
2,57,101.41286513132292
18,54,126.29642107855966
15,74,121.63075433845276
21,80,130.96208781866653
26,92,138.73819905217803
21,108,130.96208781866653
33,95,149.6247547790941
29,54,143.40386579228493
15,69,121.63075433845276
14,60,120.07553209175047
6,35,107.6337541181321
6,51,107.6337541181321
0,26,98.30242063791832
5,39,106.0785318714298
6,33,107.6337541181321
4,19,104.5233096247275
3,13,102.9680873780252
9,6,112.29942085823899
0,1,98.30242063791832
1,1,99.85764288462062
0,1,98.30242063791832
0,3,98.30242063791832
0,18,98.30242063791832
3,29,102.9680873780252
8,71,110.74419861153669
23,70,134.07253231207113
29,75,143.40386579228493
23,95,134.07253231207113
22,69,132.51731006536886
35,78,152.7351992724987
22,77,132.51731006536886
23,82,134.07253231207113
11,56,115.40986535164359
14,47,120.07553209175047
7,50,109.18897636483439
6,22,107.6337541181321
2,19,101.41286513132292
0,18,98.30242063791832
1,16,99.85764288462062
1,15,99.85764288462062
0,8,98.30242063791832
0,2,98.30242063791832
1,2,99.85764288462062
0,1,98.30242063791832
0,5,98.30242063791832
4,9,104.5233096247275
3,30,102.9680873780252
8,39,110.74419861153669
7,50,109.18897636483439
9,55,112.29942085823899
10,70,113.85464310494129
13,80,118.52030984504817
12,74,116.96508759834587
21,72,130.96208781866653
6,76,107.6337541181321
4,67,104.5233096247275
7,85,109.18897636483439
2,58,101.41286513132292
4,29,104.5233096247275
3,24,102.9680873780252
