casual,windspeed,Predicted Y
3,0.0,0.18277722019825057
8,0.0,0.18389735993001277
5,0.0,0.18322527609095546
3,0.0,0.18277722019825057
0,0.0,0.18210513635919323
0,0.0896,0.18210513635919323
2,0.0,0.18255319225189812
1,0.0,0.1823291643055457
1,0.0,0.1823291643055457
8,0.0,0.18389735993001277
12,0.2537,0.18479347171542257
26,0.2836,0.18792986296435676
29,0.2836,0.1886019468034141
47,0.2985,0.1926344498377581
35,0.2836,0.18994611448152876
40,0.2985,0.191066254213291
41,0.2985,0.19129028215964344
15,0.2836,0.18546555555447988
9,0.2537,0.18412138787636523
6,0.2537,0.1834493040373079
11,0.2537,0.1845694437690701
3,0.194,0.18277722019825057
11,0.2239,0.1845694437690701
15,0.2985,0.18546555555447988
4,0.2985,0.183001248144603
1,0.2537,0.1823291643055457
1,0.2836,0.1823291643055457
2,0.194,0.18255319225189812
2,0.194,0.18255319225189812
0,0.2985,0.18210513635919323
0,0.194,0.18210513635919323
0,0.2239,0.18210513635919323
1,0.2239,0.1823291643055457
7,0.2239,0.18367333198366034
16,0.2537,0.18568958350083234
20,0.2985,0.1865856952862421
11,0.1343,0.1845694437690701
4,0.194,0.183001248144603
19,0.1642,0.18636166733988965
9,0.1642,0.18412138787636523
7,0.194,0.18367333198366034
10,0.3284,0.18434541582271768
1,0.4478,0.1823291643055457
5,0.3582,0.18322527609095546
11,0.3284,0.1845694437690701
0,0.2985,0.18210513635919323
0,0.1642,0.18210513635919323
0,0.3582,0.18210513635919323
0,0.4179,0.18210513635919323
0,0.3881,0.18210513635919323
0,0.2836,0.18210513635919323
0,0.3881,0.18210513635919323
1,0.194,0.1823291643055457
1,0.2836,0.1823291643055457
7,0.3881,0.18367333198366034
11,0.2537,0.1845694437690701
10,0.3284,0.18434541582271768
13,0.2985,0.185017499661775
8,0.2836,0.18389735993001277
11,0.2836,0.1845694437690701
14,0.2537,0.18524152760812745
9,0.2537,0.18412138787636523
11,0.2239,0.1845694437690701
9,0.1045,0.18412138787636523
8,0.0,0.18389735993001277
3,0.1045,0.18277722019825057
3,0.1343,0.18277722019825057
0,0.1343,0.18210513635919323
1,0.1045,0.1823291643055457
0,0.1045,0.18210513635919323
0,0.1045,0.18210513635919323
0,0.1343,0.18210513635919323
0,0.0896,0.18210513635919323
0,0.1045,0.18210513635919323
0,0.1045,0.18210513635919323
2,0.1343,0.18255319225189812
2,0.1642,0.18255319225189812
2,0.2239,0.18255319225189812
5,0.3284,0.18322527609095546
7,0.2985,0.18367333198366034
12,0.1642,0.18479347171542257
18,0.194,0.18613763939353722
9,0.2239,0.18412138787636523
17,0.2537,0.18591361144718477
15,0.2537,0.18546555555447988
10,0.2239,0.18434541582271768
3,0.194,0.18277722019825057
2,0.1045,0.18255319225189812
1,0.1045,0.1823291643055457
0,0.0,0.18210513635919323
1,0.0896,0.1823291643055457
2,0.0896,0.18255319225189812
0,0.0,0.18210513635919323
0,0.0896,0.18210513635919323
0,0.0896,0.18210513635919323
0,0.2239,0.18210513635919323
0,0.1642,0.18210513635919323
0,0.2239,0.18210513635919323
1,0.194,0.1823291643055457
3,0.2985,0.18277722019825057
6,0.3284,0.1834493040373079
4,0.3284,0.183001248144603
12,0.3284,0.18479347171542257
5,0.3284,0.18322527609095546
6,0.2985,0.1834493040373079
10,0.194,0.18434541582271768
7,0.194,0.18367333198366034
4,0.0896,0.183001248144603
4,0.194,0.183001248144603
3,0.1343,0.18277722019825057
5,0.1045,0.18322527609095546
7,0.1642,0.18367333198366034
3,0.194,0.18277722019825057
1,0.1343,0.1823291643055457
1,0.0,0.1823291643055457
0,0.0,0.18210513635919323
0,0.0,0.18210513635919323
0,0.0,0.18210513635919323
0,0.0896,0.18210513635919323
0,0.0896,0.18210513635919323
0,0.1045,0.18210513635919323
0,0.0,0.18210513635919323
3,0.0,0.18277722019825057
6,0.0,0.1834493040373079
3,0.0,0.18277722019825057
2,0.0896,0.18255319225189812
6,0.0,0.1834493040373079
12,0.1045,0.18479347171542257
11,0.1642,0.1845694437690701
8,0.0,0.18389735993001277
12,0.1642,0.18479347171542257
9,0.1642,0.18412138787636523
5,0.1343,0.18322527609095546
3,0.0896,0.18277722019825057
3,0.1642,0.18277722019825057
0,0.2239,0.18210513635919323
1,0.2836,0.1823291643055457
4,0.194,0.183001248144603
4,0.194,0.183001248144603
2,0.2239,0.18255319225189812
0,0.2239,0.18210513635919323
0,0.1343,0.18210513635919323
0,0.0,0.18210513635919323
8,0.0,0.18389735993001277
8,0.1343,0.18389735993001277
20,0.2537,0.1865856952862421
9,0.2985,0.18412138787636523
16,0.3284,0.18568958350083234
19,0.2239,0.18636166733988965
9,0.2537,0.18412138787636523
9,0.2836,0.18412138787636523
7,0.2537,0.18367333198366034
9,0.1642,0.18412138787636523
5,0.1642,0.18322527609095546
9,0.0,0.18412138787636523
7,0.0896,0.18367333198366034
3,0.0896,0.18277722019825057
1,0.1045,0.1823291643055457
0,0.1343,0.18210513635919323
2,0.1642,0.18255319225189812
1,0.1642,0.1823291643055457
1,0.1642,0.1823291643055457
1,0.0896,0.1823291643055457
3,0.0,0.18277722019825057
0,0.1642,0.18210513635919323
0,0.1642,0.18210513635919323
0,0.1642,0.18210513635919323
0,0.1642,0.18210513635919323
1,0.1045,0.1823291643055457
0,0.1045,0.18210513635919323
0,0.1045,0.18210513635919323
5,0.1642,0.18322527609095546
2,0.3881,0.18255319225189812
8,0.3582,0.18389735993001277
7,0.3284,0.18367333198366034
12,0.4925,0.18479347171542257
5,0.4478,0.18322527609095546
8,0.4478,0.18389735993001277
5,0.5522,0.18322527609095546
3,0.2985,0.18277722019825057
4,0.2537,0.183001248144603
0,0.2537,0.18210513635919323
2,0.3582,0.18255319225189812
1,0.3881,0.1823291643055457
0,0.4478,0.18210513635919323
1,0.3881,0.1823291643055457
0,0.4627,0.18210513635919323
0,0.4627,0.18210513635919323
0,0.4179,0.18210513635919323
0,0.194,0.18210513635919323
0,0.194,0.18210513635919323
0,0.2836,0.18210513635919323
1,0.194,0.1823291643055457
0,0.2836,0.18210513635919323
0,0.5224,0.18210513635919323
0,0.3881,0.18210513635919323
2,0.5224,0.18255319225189812
4,0.4478,0.183001248144603
6,0.4478,0.1834493040373079
8,0.4627,0.18389735993001277
5,0.3582,0.18322527609095546
13,0.4478,0.185017499661775
3,0.3881,0.18277722019825057
4,0.3284,0.183001248144603
1,0.3284,0.1823291643055457
0,0.2537,0.18210513635919323
1,0.4179,0.1823291643055457
5,0.2985,0.18322527609095546
0,0.194,0.18210513635919323
2,0.2836,0.18255319225189812
1,0.2836,0.1823291643055457
0,0.2239,0.18210513635919323
0,0.2239,0.18210513635919323
1,0.1343,0.1823291643055457
0,0.2537,0.18210513635919323
0,0.2836,0.18210513635919323
2,0.2239,0.18255319225189812
4,0.2836,0.183001248144603
2,0.2537,0.18255319225189812
0,0.2985,0.18210513635919323
2,0.2836,0.18255319225189812
5,0.2836,0.18322527609095546
4,0.2836,0.183001248144603
0,0.2239,0.18210513635919323
2,0.2239,0.18255319225189812
4,0.1343,0.183001248144603
4,0.1045,0.183001248144603
1,0.2239,0.1823291643055457
3,0.1642,0.18277722019825057
1,0.1642,0.1823291643055457
1,0.194,0.1823291643055457
2,0.1642,0.18255319225189812
0,0.1642,0.18210513635919323
2,0.1045,0.18255319225189812
0,0.1642,0.18210513635919323
0,0.194,0.18210513635919323
0,0.1343,0.18210513635919323
0,0.1343,0.18210513635919323
2,0.0,0.18255319225189812
3,0.0896,0.18277722019825057
3,0.1642,0.18277722019825057
3,0.1642,0.18277722019825057
4,0.1343,0.183001248144603
2,0.1045,0.18255319225189812
6,0.0896,0.1834493040373079
3,0.0896,0.18277722019825057
