cnt,casual,Predicted Y
16,3,2.9268424331920095
40,8,7.4579794866749065
32,5,5.947600468847274
13,3,2.3604503015066474
1,0,0.0948817747651988
1,0,0.0948817747651988
2,2,0.28367915199365284
3,1,0.4724765292221069
8,1,1.4164634153643771
14,8,2.5492476787351013
36,12,6.702789977761091
56,26,10.47873752233017
84,29,15.765064084726886
94,47,17.653037857011427
106,35,19.918606383752874
110,40,20.67379589266669
93,41,17.464240479782973
67,15,12.555508671843166
35,9,6.513992600532636
37,6,6.891587354989545
36,11,6.702789977761091
34,3,6.325195223304182
28,11,5.192410959933458
39,15,7.269182109446453
17,4,3.1156398104204635
17,1,3.1156398104204635
9,1,1.6052607925928313
6,2,1.038868660907469
3,2,0.4724765292221069
2,0,0.28367915199365284
1,0,0.0948817747651988
8,0,1.4164634153643771
20,1,3.6820319421058256
53,7,9.91234539064481
70,16,13.121900803528527
93,20,17.464240479782973
75,11,14.065887689670799
59,4,11.045129654015534
74,19,13.877090312442345
76,9,14.254685066899253
65,7,12.177913917386258
53,10,9.91234539064481
30,1,5.5700057143903665
22,5,4.0596266965627334
31,11,5.75880309161882
9,0,1.6052607925928313
8,0,1.4164634153643771
5,0,0.850071283679015
2,0,0.28367915199365284
1,0,0.0948817747651988
3,0,0.4724765292221069
30,0,5.5700057143903665
64,1,11.989116540157804
154,1,28.98088049071867
88,7,16.5202535936407
44,11,8.213168995588722
51,10,9.534750636187901
61,13,11.422724408472442
61,8,11.422724408472442
77,11,14.443482444127707
72,14,13.499495557985437
76,9,14.254685066899253
157,11,29.54727262240403
157,9,29.54727262240403
110,8,20.67379589266669
52,3,9.723548013416355
52,3,9.723548013416355
20,0,3.6820319421058256
12,1,2.1716529242781935
5,0,0.850071283679015
2,0,0.28367915199365284
1,0,0.0948817747651988
2,0,0.28367915199365284
4,0,0.6612739064505609
36,0,6.702789977761091
94,2,17.653037857011427
179,2,33.700814921430016
100,2,18.78582212038215
42,5,7.835574241131815
57,7,10.667534899558625
78,12,14.63227982135616
97,18,18.21942998869679
63,9,11.80031916292935
65,17,12.177913917386258
83,15,15.57626670749843
212,10,39.931128369969
182,3,34.267207053115385
112,2,21.051390647123597
54,1,10.101142767873263
48,0,8.96835850450254
35,1,6.513992600532636
11,2,1.982855547049739
6,0,1.038868660907469
6,0,1.038868660907469
2,0,0.28367915199365284
2,0,0.28367915199365284
3,0,0.4724765292221069
33,0,6.136397846075728
88,1,16.5202535936407
195,3,36.721572957085286
115,6,21.61778277880896
57,4,10.667534899558625
46,12,8.590763750045632
79,5,14.821077198584614
71,6,13.310698180756983
62,10,11.611521785700896
62,7,11.611521785700896
89,4,16.709050970869153
190,4,35.777586070943016
169,3,31.81284114914548
132,5,24.82733819169268
89,7,16.709050970869153
43,3,8.024371618360268
42,1,7.835574241131815
19,1,3.4932345648773717
11,0,1.982855547049739
4,0,0.6612739064505609
2,0,0.28367915199365284
1,0,0.0948817747651988
4,0,0.6612739064505609
36,0,6.702789977761091
95,0,17.84183523423988
219,3,41.25271001056818
122,6,22.93936441940814
45,3,8.401966372817178
59,2,11.045129654015534
84,6,15.765064084726886
67,12,12.555508671843166
70,11,13.121900803528527
62,8,11.611521785700896
86,12,16.14265883918379
172,9,32.37923328083084
163,5,30.680056885774754
112,3,21.051390647123597
69,3,12.933103426300073
48,0,8.96835850450254
52,1,9.723548013416355
23,4,4.248424073791188
17,4,3.1156398104204635
7,2,1.227666038135923
1,0,0.0948817747651988
1,0,0.0948817747651988
5,0,0.850071283679015
34,8,6.325195223304182
84,8,15.765064084726886
210,20,39.553533615512094
134,9,25.204932946149587
63,16,11.80031916292935
67,19,12.555508671843166
59,9,11.045129654015534
73,9,13.688292935213891
50,7,9.345953258959447
72,9,13.499495557985437
87,5,16.331456216412246
187,9,35.211193939257655
123,7,23.128161796636594
95,3,17.84183523423988
51,1,9.534750636187901
39,0,7.269182109446453
36,2,6.702789977761091
15,1,2.7380450559635556
25,1,4.626018828248096
16,1,2.9268424331920095
16,3,2.9268424331920095
7,0,1.227666038135923
1,0,0.0948817747651988
5,0,0.850071283679015
2,0,0.28367915199365284
9,1,1.6052607925928313
15,0,2.7380450559635556
20,0,3.6820319421058256
61,5,11.422724408472442
62,2,11.611521785700896
98,8,18.408227365925242
102,7,19.163416874839058
95,12,17.84183523423988
74,5,13.877090312442345
