cnt,hr,Predicted Y
16,0,8.941022356807432
40,1,9.301545786520695
32,2,9.181371309949606
13,3,8.895956928093273
1,4,8.715695213236643
1,5,8.715695213236643
2,6,8.730717022808028
3,7,8.745738832379415
8,8,8.820847880236343
14,9,8.91097873766466
36,10,9.24145854823515
56,11,9.541894739662869
84,12,9.962505407661675
94,13,10.112723503375536
106,14,10.292985218232166
110,15,10.35307245651771
93,16,10.097701693804149
67,17,9.707134644948114
35,18,9.226436738663764
37,19,9.256480357806536
36,20,9.24145854823515
34,21,9.211414929092378
28,22,9.121284071664062
39,23,9.286523976949308
17,0,8.956044166378817
17,1,8.956044166378817
9,2,8.83586968980773
6,3,8.790804261093571
3,4,8.745738832379415
2,6,8.730717022808028
1,7,8.715695213236643
8,8,8.820847880236343
20,9,9.001109595092975
53,10,9.496829310948712
70,11,9.752200073662273
93,12,10.097701693804149
75,13,9.827309121519201
59,14,9.586960168377027
74,15,9.812287311947816
76,16,9.842330931090588
65,17,9.677091025805343
53,18,9.496829310948712
30,19,9.151327690806834
22,20,9.031153214235747
31,21,9.166349500378221
9,22,8.83586968980773
8,23,8.820847880236343
5,0,8.775782451522186
2,1,8.730717022808028
1,4,8.715695213236643
3,5,8.745738832379415
30,6,9.151327690806834
64,7,9.662069216233956
154,8,11.014032077658692
88,9,10.022592645947219
44,10,9.361633024806238
51,11,9.466785691805939
61,12,9.6170037875198
61,13,9.6170037875198
77,14,9.857352740661973
72,15,9.782243692805045
76,16,9.842330931090588
157,17,11.05909750637285
157,18,11.05909750637285
110,19,10.35307245651771
52,20,9.481807501377325
52,21,9.481807501377325
20,22,9.001109595092975
12,23,8.880935118521887
5,0,8.775782451522186
2,1,8.730717022808028
1,2,8.715695213236643
2,4,8.730717022808028
4,5,8.7607606419508
36,6,9.24145854823515
94,7,10.112723503375536
179,8,11.38957731694334
100,9,10.202854360803851
42,10,9.331589405663467
57,11,9.556916549234256
78,12,9.87237455023336
97,13,10.157788932089693
63,14,9.64704740666257
65,15,9.677091025805343
83,16,9.94748359809029
212,17,11.885297032799077
182,18,11.434642745657499
112,19,10.383116075660482
54,20,9.511851120520097
48,21,9.421720263091782
35,22,9.226436738663764
11,23,8.865913308950502
6,0,8.790804261093571
6,1,8.790804261093571
2,2,8.730717022808028
2,4,8.730717022808028
3,5,8.745738832379415
33,6,9.196393119520993
88,7,10.022592645947219
195,8,11.629926270085516
115,9,10.42818150437464
57,10,9.556916549234256
46,11,9.39167664394901
79,12,9.887396359804747
71,13,9.767221883233658
62,14,9.632025597091184
62,15,9.632025597091184
89,16,10.037614455518606
190,17,11.554817222228586
169,18,11.239359221229481
132,19,10.683552267088201
89,20,10.037614455518606
43,21,9.346611215234851
42,22,9.331589405663467
19,23,8.986087785521589
11,0,8.865913308950502
4,1,8.7607606419508
2,2,8.730717022808028
1,4,8.715695213236643
4,5,8.7607606419508
36,6,9.24145854823515
95,7,10.12774531294692
219,8,11.990449699798779
122,9,10.533334171374342
45,10,9.376654834377623
59,11,9.586960168377027
84,12,9.962505407661675
67,13,9.707134644948114
70,14,9.752200073662273
62,15,9.632025597091184
86,16,9.992549026804447
172,17,11.284424649943638
163,18,11.149228363801166
112,19,10.383116075660482
69,20,9.737178264090886
48,21,9.421720263091782
52,22,9.481807501377325
23,23,9.046175023807132
17,0,8.956044166378817
7,1,8.805826070664958
1,2,8.715695213236643
1,4,8.715695213236643
5,5,8.775782451522186
34,6,9.211414929092378
84,7,9.962505407661675
210,8,11.855253413656305
134,9,10.713595886230973
63,10,9.64704740666257
67,11,9.707134644948114
59,12,9.586960168377027
73,13,9.79726550237643
50,14,9.451763882234554
72,15,9.782243692805045
87,16,10.007570836375834
187,17,11.509751793514429
123,18,10.548355980945727
95,19,10.12774531294692
51,20,9.466785691805939
39,21,9.286523976949308
36,22,9.24145854823515
15,23,8.926000547236045
25,0,9.076218642949904
16,1,8.941022356807432
16,2,8.941022356807432
7,3,8.805826070664958
1,4,8.715695213236643
5,5,8.775782451522186
2,6,8.730717022808028
9,7,8.83586968980773
15,8,8.926000547236045
20,9,9.001109595092975
61,10,9.6170037875198
62,11,9.632025597091184
98,12,10.17281074166108
102,13,10.232897979946623
95,14,10.12774531294692
74,15,9.812287311947816
76,16,9.842330931090588
69,17,9.737178264090886
55,18,9.526872930091484
30,19,9.151327690806834
28,20,9.121284071664062
37,21,9.256480357806536
34,22,9.211414929092378
22,23,9.031153214235747
25,0,9.076218642949904
12,1,8.880935118521887
11,2,8.865913308950502
4,3,8.7607606419508
1,4,8.715695213236643
1,5,8.715695213236643
1,6,8.715695213236643
6,7,8.790804261093571
10,8,8.850891499379115
19,9,8.986087785521589
49,10,9.436742072663167
49,11,9.436742072663167
83,12,9.94748359809029
75,13,9.827309121519201
72,14,9.782243692805045
82,15,9.932461788518903
92,16,10.082679884232764
62,17,9.632025597091184
48,18,9.421720263091782
41,19,9.31656759609208
38,20,9.271502167377921
20,21,9.001109595092975
15,22,8.926000547236045
6,23,8.790804261093571
5,0,8.775782451522186
1,1,8.715695213236643
3,2,8.745738832379415
1,3,8.715695213236643
3,4,8.745738832379415
3,5,8.745738832379415
31,6,9.166349500378221
77,7,9.857352740661973
188,8,11.524773603085814
94,9,10.112723503375536
31,10,9.166349500378221
30,11,9.151327690806834
52,12,9.481807501377325
54,13,9.511851120520097
47,14,9.406698453520395
45,15,9.376654834377623
74,16,9.812287311947816
178,17,11.374555507371955
155,18,11.029053887230077
95,19,10.12774531294692
74,20,9.812287311947816
38,21,9.271502167377921
24,22,9.061196833378519
18,23,8.971065975950204
12,0,8.880935118521887
3,1,8.745738832379415
3,2,8.745738832379415
6,5,8.790804261093571
27,6,9.106262262092677
99,7,10.187832551232464
217,8,11.960406080656007
130,9,10.65350864794543
54,10,9.511851120520097
35,11,9.226436738663764
57,12,9.556916549234256
52,13,9.481807501377325
63,14,9.64704740666257
47,15,9.406698453520395
76,16,9.842330931090588
136,17,10.743639505373745
95,18,10.12774531294692
51,19,9.466785691805939
32,20,9.181371309949606
20,21,9.001109595092975
29,22,9.13630588123545
19,23,8.986087785521589
7,0,8.805826070664958
6,1,8.790804261093571
1,2,8.715695213236643
5,5,8.775782451522186
16,6,8.941022356807432
54,7,9.511851120520097
128,8,10.623465028802658
81,9,9.917439978947518
39,10,9.286523976949308
35,11,9.226436738663764
55,12,9.526872930091484
49,13,9.436742072663167
44,14,9.361633024806238
49,15,9.436742072663167
68,16,9.722156454519501
139,17,10.788704934087903
137,18,10.758661314945131
83,19,9.94748359809029
56,20,9.541894739662869
57,21,9.556916549234256
33,22,9.196393119520993
20,23,9.001109595092975
7,0,8.805826070664958
2,1,8.730717022808028
2,2,8.730717022808028
3,3,8.745738832379415
4,4,8.7607606419508
3,5,8.745738832379415
28,6,9.121284071664062
72,7,9.782243692805045
202,8,11.735078937085218
139,9,10.788704934087903
38,10,9.271502167377921
37,11,9.256480357806536
52,12,9.481807501377325
83,13,9.94748359809029
42,14,9.331589405663467
60,15,9.601981977948412
78,16,9.87237455023336
162,17,11.13420655422978
144,18,10.863813981944833
99,19,10.187832551232464
64,20,9.662069216233956
40,21,9.301545786520695
30,22,9.151327690806834
15,23,8.926000547236045
14,0,8.91097873766466
5,1,8.775782451522186
1,2,8.715695213236643
1,3,8.715695213236643
8,5,8.820847880236343
17,6,8.956044166378817
70,7,9.752200073662273
158,8,11.074119315944236
117,9,10.458225123517412
44,10,9.361633024806238
53,11,9.496829310948712
61,12,9.6170037875198
77,13,9.857352740661973
64,14,9.662069216233956
68,15,9.722156454519501
90,16,10.05263626508999
159,17,11.08914112551562
139,18,10.788704934087903
92,19,10.082679884232764
68,20,9.722156454519501
52,21,9.481807501377325
36,22,9.24145854823515
27,23,9.106262262092677
28,0,9.121284071664062
20,1,9.001109595092975
12,2,8.880935118521887
8,3,8.820847880236343
5,4,8.775782451522186
1,5,8.715695213236643
3,6,8.745738832379415
10,7,8.850891499379115
23,8,9.046175023807132
33,9,9.196393119520993
59,10,9.586960168377027
72,11,9.782243692805045
89,12,10.037614455518606
101,13,10.217876170375236
118,14,10.473246933088799
129,15,10.638486838374043
128,16,10.623465028802658
83,17,9.94748359809029
84,18,9.962505407661675
74,19,9.812287311947816
41,20,9.31656759609208
57,21,9.556916549234256
26,22,9.09124045252129
44,23,9.361633024806238
39,0,9.286523976949308
23,1,9.046175023807132
16,2,8.941022356807432
15,3,8.926000547236045
1,4,8.715695213236643
2,5,8.730717022808028
1,6,8.715695213236643
3,7,8.745738832379415
