cnt,hum,Predicted Y
16,0.81,0.686806214101405
40,0.8,0.6785632097121752
32,0.8,0.6813108778419185
13,0.75,0.6878365896500587
1,0.75,0.6919580918446736
1,0.75,0.6919580918446736
2,0.8,0.6916146333284556
3,0.86,0.6912711748122378
8,0.75,0.6895538822311482
14,0.76,0.6874931311338408
36,0.76,0.6799370437770468
56,0.81,0.6730678734526886
84,0.77,0.6634510349985872
94,0.72,0.6600164498364082
106,0.72,0.6558949476417932
110,0.77,0.6545211135769216
93,0.82,0.660359908352626
67,0.82,0.6692898297742916
35,0.88,0.6802805022932646
37,0.88,0.6795935852608289
36,0.87,0.6799370437770468
34,0.87,0.6806239608094826
28,0.94,0.68268471190679
39,0.88,0.6789066682283931
17,0.88,0.686462755585187
17,0.94,0.686462755585187
9,1.0,0.6892104237149304
6,0.94,0.6902407992635841
3,0.94,0.6912711748122378
2,0.77,0.6916146333284556
1,0.76,0.6919580918446736
8,0.71,0.6895538822311482
20,0.76,0.6854323800365333
53,0.81,0.6740982490013423
70,0.71,0.6682594542256379
93,0.66,0.660359908352626
75,0.66,0.6665421616445484
59,0.76,0.6720374979040349
74,0.81,0.6668856201607662
76,0.71,0.6661987031283305
65,0.57,0.6699767468067275
53,0.46,0.6740982490013423
30,0.42,0.6819977948743542
22,0.39,0.6847454630040974
31,0.44,0.6816543363581363
9,0.44,0.6892104237149304
8,0.47,0.6895538822311482
5,0.44,0.6905842577798019
2,0.44,0.6916146333284556
1,0.47,0.6919580918446736
3,0.47,0.6912711748122378
30,0.5,0.6819977948743542
64,0.5,0.6703202053229453
154,0.5,0.6394089388633336
88,0.43,0.6620772009337156
44,0.43,0.6771893756473035
51,0.4,0.6747851660337781
61,0.35,0.671350580871599
61,0.35,0.671350580871599
77,0.3,0.6658552446121125
72,0.3,0.6675725371932021
76,0.3,0.6661987031283305
157,0.3,0.6383785633146799
157,0.32,0.6383785633146799
110,0.47,0.6545211135769216
52,0.47,0.6744417075175603
52,0.64,0.6744417075175603
20,0.69,0.6854323800365333
12,0.55,0.6881800481662765
5,0.55,0.6905842577798019
2,0.59,0.6916146333284556
1,0.63,0.6919580918446736
2,0.63,0.6916146333284556
4,0.68,0.6909277162960198
36,0.74,0.6799370437770468
94,0.74,0.6600164498364082
179,0.69,0.630822475957886
100,0.64,0.6579556987391006
42,0.69,0.6778762926797394
57,0.51,0.6727244149364707
78,0.51,0.6655117860958947
97,0.56,0.6589860742877544
63,0.52,0.6706636638391633
65,0.52,0.6699767468067275
83,0.49,0.6637944935148051
212,0.48,0.619488344922695
182,0.48,0.6297921004092322
112,0.48,0.6538341965444858
54,0.48,0.6737547904851244
48,0.64,0.6758155415824318
35,0.64,0.6802805022932646
11,0.69,0.6885235066824945
6,0.64,0.6902407992635841
6,0.74,0.6902407992635841
2,0.74,0.6916146333284556
2,0.48,0.6916146333284556
3,0.47,0.6912711748122378
33,0.47,0.6809674193257005
88,0.43,0.6620772009337156
195,0.4,0.6253271396983995
115,0.37,0.652803820995832
57,0.37,0.6727244149364707
46,0.33,0.6765024586148677
79,0.33,0.6651683275796767
71,0.3,0.6679159957094201
62,0.28,0.6710071223553812
62,0.28,0.6710071223553812
89,0.28,0.6617337424174977
190,0.38,0.6270444322794889
169,0.38,0.6342570611200651
132,0.38,0.6469650262201276
89,0.47,0.6617337424174977
43,0.51,0.6775328341635214
42,0.55,0.6778762926797394
19,0.47,0.6857758385527513
11,0.55,0.6885235066824945
4,0.64,0.6909277162960198
2,0.64,0.6916146333284556
1,0.64,0.6919580918446736
4,0.69,0.6909277162960198
36,0.63,0.6799370437770468
95,0.59,0.6596729913201902
219,0.59,0.6170841353091696
122,0.51,0.6503996113823067
45,0.47,0.6768459171310857
59,0.44,0.6720374979040349
84,0.35,0.6634510349985872
67,0.35,0.6692898297742916
70,0.36,0.6682594542256379
62,0.36,0.6710071223553812
86,0.38,0.6627641179661514
172,0.51,0.6332266855714113
163,0.51,0.6363178122173725
112,0.55,0.6538341965444858
69,0.51,0.6686029127418558
48,0.55,0.6758155415824318
52,0.51,0.6744417075175603
23,0.59,0.6844020044878796
17,0.64,0.686462755585187
7,0.69,0.6898973407473661
1,0.69,0.6919580918446736
1,0.69,0.6919580918446736
5,0.55,0.6905842577798019
34,0.69,0.6806239608094826
84,0.69,0.6634510349985872
210,0.51,0.6201752619551308
134,0.47,0.6462781091876918
63,0.37,0.6706636638391633
67,0.4,0.6692898297742916
59,0.37,0.6720374979040349
73,0.37,0.6672290786769842
50,0.4,0.6751286245499961
72,0.37,0.6675725371932021
87,0.37,0.6624206594499334
187,0.37,0.6280748078281427
123,0.4,0.6500561528660888
95,0.55,0.6596729913201902
51,0.47,0.6747851660337781
39,0.47,0.6789066682283931
36,0.43,0.6799370437770468
15,0.51,0.6871496726176228
25,0.51,0.6837150874554437
16,0.55,0.686806214101405
16,0.55,0.686806214101405
7,0.55,0.6898973407473661
1,0.55,0.6919580918446736
5,0.74,0.6905842577798019
2,0.74,0.6916146333284556
9,0.74,0.6892104237149304
15,0.93,0.6871496726176228
20,0.93,0.6854323800365333
61,0.8,0.671350580871599
62,0.69,0.6710071223553812
98,0.59,0.6586426157715365
102,0.44,0.6572687817066649
95,0.32,0.6596729913201902
74,0.32,0.6668856201607662
76,0.29,0.6661987031283305
69,0.37,0.6686029127418558
55,0.39,0.6734113319689066
30,0.36,0.6819977948743542
28,0.36,0.68268471190679
37,0.39,0.6795935852608289
34,0.36,0.6806239608094826
22,0.39,0.6847454630040974
25,0.42,0.6837150874554437
12,0.42,0.6881800481662765
11,0.46,0.6885235066824945
4,0.46,0.6909277162960198
1,0.53,0.6919580918446736
1,0.53,0.6919580918446736
1,0.49,0.6919580918446736
6,0.53,0.6902407992635841
10,0.49,0.6888669651987124
19,0.46,0.6857758385527513
49,0.43,0.675472083066214
49,0.4,0.675472083066214
83,0.37,0.6637944935148051
75,0.34,0.6665421616445484
72,0.32,0.6675725371932021
82,0.35,0.664137952031023
92,0.34,0.6607033668688439
62,0.37,0.6710071223553812
48,0.4,0.6758155415824318
41,0.43,0.6782197511959572
38,0.46,0.6792501267446109
20,0.46,0.6854323800365333
15,0.46,0.6871496726176228
6,0.5,0.6902407992635841
5,0.5,0.6905842577798019
1,0.5,0.6919580918446736
3,0.5,0.6912711748122378
1,0.5,0.6919580918446736
3,0.54,0.6912711748122378
3,0.54,0.6912711748122378
31,0.5,0.6816543363581363
77,0.5,0.6658552446121125
188,0.5,0.6277313493119248
94,0.5,0.6600164498364082
31,0.5,0.6816543363581363
30,0.47,0.6819977948743542
52,0.4,0.6744417075175603
54,0.4,0.6737547904851244
47,0.4,0.6761590000986498
45,0.4,0.6768459171310857
74,0.4,0.6668856201607662
178,0.4,0.6311659344741039
155,0.4,0.6390654803471157
95,0.47,0.6596729913201902
74,0.5,0.6668856201607662
38,0.59,0.6792501267446109
24,0.59,0.6840585459716617
18,0.59,0.6861192970689691
12,0.59,0.6881800481662765
3,0.59,0.6912711748122378
3,0.55,0.6912711748122378
6,0.55,0.6902407992635841
27,0.55,0.683028170423008
99,0.55,0.6582991572553186
217,0.51,0.6177710523416055
130,0.51,0.6476519432525635
