cnt,temp,Predicted Y
16,0.24,0.4224509134890003
40,0.22,0.4327635981228232
32,0.22,0.42932603657821555
13,0.24,0.42116182790977247
1,0.24,0.416005485592861
1,0.24,0.416005485592861
2,0.22,0.41643518078593694
3,0.2,0.4168648759790129
8,0.24,0.41901335194439265
14,0.32,0.4215915231028484
36,0.38,0.4310448173505194
56,0.36,0.4396387212120385
84,0.42,0.4516701866181652
94,0.46,0.45596713854892473
106,0.46,0.4611234808658362
110,0.44,0.46284226163814
93,0.42,0.4555374433558488
67,0.44,0.444365368335874
35,0.42,0.43061512215744346
37,0.42,0.43147451254359537
36,0.4,0.4310448173505194
34,0.4,0.4301854269643675
28,0.4,0.42760725580591175
39,0.46,0.43233390292974727
17,0.46,0.4228806086820763
17,0.44,0.4228806086820763
9,0.42,0.4194430471374686
6,0.46,0.41815396155824075
3,0.46,0.4168648759790129
2,0.42,0.41643518078593694
1,0.4,0.416005485592861
8,0.4,0.41901335194439265
20,0.38,0.42416969426130413
53,0.36,0.4383496356328106
70,0.36,0.44565445391510183
93,0.36,0.4555374433558488
75,0.36,0.44780292988048165
59,0.36,0.44092780679126636
74,0.34,0.44737323468740564
76,0.34,0.44823262507355754
65,0.34,0.4435059779497221
53,0.36,0.4383496356328106
30,0.32,0.42846664619206365
22,0.3,0.42502908464745603
31,0.26,0.4288963413851396
9,0.24,0.4194430471374686
8,0.22,0.41901335194439265
5,0.22,0.4177242663651648
2,0.2,0.41643518078593694
1,0.16,0.416005485592861
3,0.16,0.4168648759790129
30,0.14,0.42846664619206365
64,0.14,0.4430762827566461
154,0.14,0.481748850133482
88,0.16,0.453388967390469
44,0.18,0.43448237889512703
51,0.2,0.4374902452466587
61,0.22,0.44178719717741827
61,0.24,0.44178719717741827
77,0.26,0.44866232026663355
72,0.26,0.44651384430125374
76,0.26,0.44823262507355754
157,0.24,0.48303793571270986
157,0.24,0.48303793571270986
110,0.2,0.46284226163814
52,0.2,0.43791994043973465
52,0.18,0.43791994043973465
20,0.14,0.42416969426130413
12,0.18,0.4207321327166965
5,0.16,0.4177242663651648
2,0.16,0.41643518078593694
1,0.14,0.416005485592861
2,0.14,0.41643518078593694
4,0.12,0.41729457117208885
36,0.12,0.4310448173505194
94,0.12,0.45596713854892473
179,0.14,0.49249122996038086
100,0.16,0.4585453097073805
42,0.16,0.4336229885089751
57,0.22,0.44006841640511446
78,0.22,0.4490920154597095
97,0.24,0.4572562241281526
63,0.26,0.44264658756357017
65,0.28,0.4435059779497221
83,0.3,0.45124049142508926
212,0.28,0.5066711713318873
