cnt,weathersit,Predicted Y
16,1,1.5123662151814286
40,1,1.5003176123292192
32,1,1.5043338132799555
13,1,1.5138722905379547
1,1,1.5198965919640592
1,2,1.5198965919640592
2,1,1.5193945668452173
3,1,1.5188925417263752
8,1,1.5163824161321648
14,1,1.5133702654191126
36,1,1.5023257128045873
56,1,1.4922852104277462
84,1,1.4782285071001686
94,2,1.473208255911748
106,2,1.4671839544856435
110,2,1.4651758540102753
93,2,1.4737102810305902
67,2,1.4867629341204835
35,3,1.5028277379234294
37,3,1.5018236876857454
36,2,1.5023257128045873
34,2,1.5033297630422715
28,2,1.5063419137553238
39,2,1.5008196374480611
17,2,1.5118641900625864
17,2,1.5118641900625864
9,2,1.515880391013323
6,2,1.517386466369849
3,2,1.5188925417263752
2,3,1.5193945668452173
1,2,1.5198965919640592
8,3,1.5163824161321648
20,2,1.5103581147060603
53,2,1.4937912857842723
70,2,1.4852568587639574
93,2,1.4737102810305902
75,2,1.4827467331697473
59,3,1.49077913507122
74,3,1.4832487582885892
76,3,1.4822447080509051
65,1,1.4877669843581678
53,2,1.4937912857842723
30,1,1.5053378635176398
22,1,1.509354064468376
31,1,1.5048358383987976
9,1,1.515880391013323
8,1,1.5163824161321648
5,1,1.517888491488691
2,1,1.5193945668452173
1,1,1.5198965919640592
3,1,1.5188925417263752
30,1,1.5053378635176398
64,1,1.48826900947701
154,1,1.443086748781225
88,1,1.4762204066248004
44,1,1.498309511853851
51,1,1.4947953360219566
61,1,1.489775084833536
61,1,1.489775084833536
77,1,1.481742682932063
72,1,1.4842528085262734
76,1,1.4822447080509051
157,1,1.4415806734246985
157,1,1.4415806734246985
110,1,1.4651758540102753
52,1,1.4942933109031145
52,1,1.4942933109031145
20,1,1.5103581147060603
12,1,1.5143743156567966
5,1,1.517888491488691
2,1,1.5193945668452173
1,1,1.5198965919640592
2,1,1.5193945668452173
4,1,1.518390516607533
36,1,1.5023257128045873
94,1,1.473208255911748
179,1,1.4305361208101735
100,1,1.4701961051986958
42,2,1.499313562091535
57,1,1.491783185308904
78,1,1.4812406578132211
97,1,1.471702180555222
63,1,1.4887710345958518
65,1,1.4877669843581678
83,1,1.4787305322190107
212,1,1.4139692918883855
182,1,1.4290300454536473
112,1,1.464171803772591
54,1,1.4932892606654304
48,1,1.4963014113784827
35,1,1.5028277379234294
11,1,1.5148763407756387
6,1,1.517386466369849
6,1,1.517386466369849
2,1,1.5193945668452173
2,1,1.5193945668452173
3,1,1.5188925417263752
33,1,1.5038317881611136
88,1,1.4762204066248004
195,1,1.4225037189087004
115,1,1.462665728416065
57,1,1.491783185308904
46,1,1.4973054616161667
79,1,1.480738632694379
71,1,1.4847548336451155
62,1,1.489273059714694
62,1,1.489273059714694
89,1,1.4757183815059585
190,1,1.4250138445029108
