cnt,weekday,Predicted Y
16,6,2.952084833769613
40,6,2.9592237965141193
32,6,2.9568441422659504
13,6,2.95119246342655
1,6,2.947622982054297
1,6,2.947622982054297
2,6,2.9479204388353177
3,6,2.948217895616339
8,6,2.9497051795214446
14,6,2.951489920207571
36,6,2.958033969390035
56,6,2.9639831050104566
84,6,2.9723118948790472
94,6,2.975286462689258
106,6,2.978855944061511
110,6,2.9800457711855954
93,6,2.974989005908237
67,6,2.9672551296016887
35,6,2.957736512609014
37,6,2.958331426171056
36,6,2.958033969390035
34,6,2.957439055827993
28,6,2.9556543151418664
39,6,2.958926339733098
17,0,2.9523822905506343
17,0,2.9523822905506343
9,0,2.9500026363024654
6,0,2.949110265959402
3,0,2.948217895616339
2,0,2.9479204388353177
1,0,2.947622982054297
8,0,2.9497051795214446
20,0,2.9532746608936975
53,0,2.9630907346673934
70,0,2.968147499944752
93,0,2.974989005908237
75,0,2.9696347838498576
59,0,2.96487547535352
74,0,2.9693373270688364
76,0,2.9699322406308784
65,0,2.9666602160396467
53,0,2.9630907346673934
30,0,2.9562492287039084
22,0,2.9538695744557395
31,0,2.9565466854849296
9,0,2.9500026363024654
8,0,2.9497051795214446
5,1,2.9488128091783814
2,1,2.9479204388353177
1,1,2.947622982054297
3,1,2.948217895616339
30,1,2.9562492287039084
64,1,2.9663627592586255
154,1,2.9931338695505234
88,1,2.9735017220031317
44,1,2.9604136236382037
51,1,2.9624958211053514
61,1,2.9654703889155622
61,1,2.9654703889155622
77,1,2.9702296974118996
72,1,2.9687424135067944
76,1,2.9699322406308784
157,1,2.9940262398935866
157,1,2.9940262398935866
110,1,2.9800457711855954
52,1,2.962793277886372
52,1,2.962793277886372
20,1,2.9532746608936975
12,1,2.9508950066455286
5,2,2.9488128091783814
2,2,2.9479204388353177
1,2,2.947622982054297
2,2,2.9479204388353177
4,2,2.94851535239736
36,2,2.958033969390035
94,2,2.975286462689258
179,2,3.000570289076051
100,2,2.9770712033753846
42,2,2.9598187100761613
57,2,2.964280561791478
78,2,2.970527154192921
97,2,2.9761788330323213
63,2,2.9660653024776042
65,2,2.9666602160396467
83,2,2.972014438098026
212,2,3.0103863628497467
182,2,3.001462659419114
112,2,2.980640684747638
54,2,2.9633881914484146
48,2,2.961603450762288
35,2,2.957736512609014
11,2,2.950597549864508
6,3,2.949110265959402
6,3,2.949110265959402
2,3,2.9479204388353177
2,3,2.9479204388353177
3,3,2.948217895616339
33,3,2.9571415990469716
88,3,2.9735017220031317
195,3,3.005329597572388
115,3,2.981533055090701
57,3,2.964280561791478
46,3,2.9610085372002457
79,3,2.9708246109739416
71,3,2.968444956725773
62,3,2.965767845696583
62,3,2.965767845696583
89,3,2.9737991787841525
190,3,3.0038423136672825
169,3,2.99759572126584
132,3,2.9865898203680596
89,3,2.9737991787841525
43,3,2.9601161668571825
42,3,2.9598187100761613
19,3,2.9529772041126763
11,4,2.950597549864508
4,4,2.94851535239736
2,4,2.9479204388353177
1,4,2.947622982054297
4,4,2.94851535239736
36,4,2.958033969390035
95,4,2.9755839194702793
219,4,3.0124685603168944
122,4,2.9836152525578488
45,4,2.960711080419225
59,4,2.96487547535352
84,4,2.9723118948790472
67,4,2.9672551296016887
70,4,2.968147499944752
62,4,2.965767845696583
86,4,2.9729068084410892
172,4,2.998488091608903
163,4,2.995810980579713
112,4,2.980640684747638
69,4,2.9678500431637307
48,4,2.961603450762288
52,4,2.962793277886372
23,4,2.9541670312367607
17,5,2.9523822905506343
7,5,2.9494077227404234
1,5,2.947622982054297
1,5,2.947622982054297
5,5,2.9488128091783814
34,5,2.957439055827993
84,5,2.9723118948790472
210,5,3.0097914492877043
134,5,2.9871847339301016
63,5,2.9660653024776042
67,5,2.9672551296016887
59,5,2.96487547535352
73,5,2.969039870287815
50,5,2.96219836432433
72,5,2.9687424135067944
87,5,2.9732042652221105
187,5,3.0029499433242193
123,5,2.9839127093388695
95,5,2.9755839194702793
51,5,2.9624958211053514
39,5,2.958926339733098
36,5,2.958033969390035
15,5,2.9517873769885923
25,6,2.954761944798803
16,6,2.952084833769613
16,6,2.952084833769613
7,6,2.9494077227404234
1,6,2.947622982054297
5,6,2.9488128091783814
2,6,2.9479204388353177
9,6,2.9500026363024654
15,6,2.9517873769885923
20,6,2.9532746608936975
61,6,2.9654703889155622
62,6,2.965767845696583
98,6,2.9764762898133426
102,6,2.977666116937427
95,6,2.9755839194702793
74,6,2.9693373270688364
76,6,2.9699322406308784
69,6,2.9678500431637307
55,6,2.963685648229436
30,6,2.9562492287039084
28,6,2.9556543151418664
37,6,2.958331426171056
34,6,2.957439055827993
22,6,2.9538695744557395
25,0,2.954761944798803
12,0,2.9508950066455286
11,0,2.950597549864508
4,0,2.94851535239736
1,0,2.947622982054297
1,0,2.947622982054297
1,0,2.947622982054297
6,0,2.949110265959402
10,0,2.9503000930834866
19,0,2.9529772041126763
49,0,2.961900907543309
49,0,2.961900907543309
83,0,2.972014438098026
75,0,2.9696347838498576
72,0,2.9687424135067944
82,0,2.9717169813170052
92,0,2.974691549127216
62,0,2.965767845696583
48,0,2.961603450762288
41,0,2.9595212532951405
38,0,2.9586288829520773
20,0,2.9532746608936975
15,0,2.9517873769885923
6,0,2.949110265959402
5,1,2.9488128091783814
1,1,2.947622982054297
3,1,2.948217895616339
1,1,2.947622982054297
3,1,2.948217895616339
3,1,2.948217895616339
31,1,2.9565466854849296
77,1,2.9702296974118996
188,1,3.0032474001052405
94,1,2.975286462689258
31,1,2.9565466854849296
30,1,2.9562492287039084
52,1,2.962793277886372
54,1,2.9633881914484146
47,1,2.961305993981267
45,1,2.960711080419225
74,1,2.9693373270688364
178,1,3.0002728322950296
155,1,2.9934313263315446
95,1,2.9755839194702793
74,1,2.9693373270688364
38,1,2.9586288829520773
24,1,2.954464488017782
18,1,2.9526797473316555
12,2,2.9508950066455286
3,2,2.948217895616339
3,2,2.948217895616339
6,2,2.949110265959402
27,2,2.955356858360845
99,2,2.9767737465943633
217,2,3.011873646754852
130,2,2.985994906806017
54,2,2.9633881914484146
35,2,2.957736512609014
57,2,2.964280561791478
52,2,2.962793277886372
63,2,2.9660653024776042
47,2,2.961305993981267
76,2,2.9699322406308784
136,2,2.9877796474921436
95,2,2.9755839194702793
51,2,2.9624958211053514
32,2,2.9568441422659504
20,2,2.9532746608936975
29,2,2.955951771922887
19,2,2.9529772041126763
7,3,2.9494077227404234
6,3,2.949110265959402
1,3,2.947622982054297
5,3,2.9488128091783814
16,3,2.952084833769613
54,3,2.9633881914484146
128,3,2.985399993243975
81,3,2.971419524535984
39,3,2.958926339733098
35,3,2.957736512609014
55,3,2.963685648229436
49,3,2.961900907543309
44,3,2.9604136236382037
49,3,2.961900907543309
68,3,2.96755258638271
139,3,2.9886720178352073
137,3,2.988077104273165
83,3,2.972014438098026
56,3,2.9639831050104566
57,3,2.964280561791478
33,3,2.9571415990469716
20,3,2.9532746608936975
7,4,2.9494077227404234
2,4,2.9479204388353177
2,4,2.9479204388353177
3,4,2.948217895616339
4,4,2.94851535239736
3,4,2.948217895616339
28,4,2.9556543151418664
72,4,2.9687424135067944
202,4,3.007411795039536
139,4,2.9886720178352073
38,4,2.9586288829520773
37,4,2.958331426171056
52,4,2.962793277886372
83,4,2.972014438098026
42,4,2.9598187100761613
60,4,2.965172932134541
78,4,2.970527154192921
162,4,2.9955135237986923
144,4,2.9901593017403125
99,4,2.9767737465943633
64,4,2.9663627592586255
40,4,2.9592237965141193
30,4,2.9562492287039084
15,4,2.9517873769885923
14,5,2.951489920207571
5,5,2.9488128091783814
1,5,2.947622982054297
1,5,2.947622982054297
8,5,2.9497051795214446
17,5,2.9523822905506343
70,5,2.968147499944752
158,5,2.994323696674608
117,5,2.982127968652743
44,5,2.9604136236382037
53,5,2.9630907346673934
61,5,2.9654703889155622
77,5,2.9702296974118996
64,5,2.9663627592586255
68,5,2.96755258638271
90,5,2.9740966355651737
159,5,2.994621153455629
139,5,2.9886720178352073
92,5,2.974691549127216
68,5,2.96755258638271
52,5,2.962793277886372
36,5,2.958033969390035
27,5,2.955356858360845
28,6,2.9556543151418664
20,6,2.9532746608936975
12,6,2.9508950066455286
8,6,2.9497051795214446
5,6,2.9488128091783814
1,6,2.947622982054297
3,6,2.948217895616339
10,6,2.9503000930834866
23,6,2.9541670312367607
33,6,2.9571415990469716
59,6,2.96487547535352
72,6,2.9687424135067944
89,6,2.9737991787841525
101,6,2.9773686601564058
118,6,2.9824254254337643
129,6,2.985697450024996
128,6,2.985399993243975
83,6,2.972014438098026
84,6,2.9723118948790472
74,6,2.9693373270688364
41,6,2.9595212532951405
57,6,2.964280561791478
26,6,2.955059401579824
44,6,2.9604136236382037
39,0,2.958926339733098
23,0,2.9541670312367607
16,0,2.952084833769613
15,0,2.9517873769885923
1,0,2.947622982054297
2,0,2.9479204388353177
1,0,2.947622982054297
3,0,2.948217895616339
18,0,2.9526797473316555
32,0,2.9568441422659504
79,0,2.9708246109739416
93,0,2.974989005908237
104,0,2.978261030499469
118,0,2.9824254254337643
91,0,2.974394092346195
113,0,2.9809381415286587
99,0,2.9767737465943633
105,0,2.97855848728049
67,0,2.9672551296016887
61,0,2.9654703889155622
57,0,2.964280561791478
28,0,2.9556543151418664
21,0,2.9535721176747187
18,0,2.9526797473316555
17,1,2.9523822905506343
16,1,2.952084833769613
8,1,2.9497051795214446
2,1,2.9479204388353177
3,1,2.948217895616339
1,1,2.947622982054297
5,1,2.9488128091783814
13,1,2.95119246342655
33,1,2.9571415990469716
47,1,2.961305993981267
57,1,2.964280561791478
64,1,2.9663627592586255
80,1,2.971122067754963
93,1,2.974989005908237
86,1,2.9729068084410892
93,1,2.974989005908237
82,1,2.9717169813170052
71,1,2.968444956725773
92,1,2.974691549127216
60,1,2.965172932134541
33,1,2.9571415990469716
27,1,2.955356858360845
13,1,2.95119246342655
4,1,2.94851535239736
3,2,2.948217895616339
22,2,2.9538695744557395
28,2,2.9556543151418664
35,2,2.957736512609014
61,2,2.9654703889155622
125,2,2.984507622900912
133,2,2.9868872771490804
99,2,2.9767737465943633
83,2,2.972014438098026
41,2,2.9595212532951405
33,2,2.9571415990469716
20,2,2.9532746608936975
3,3,2.948217895616339
7,3,2.9494077227404234
3,3,2.948217895616339
2,3,2.9479204388353177
7,3,2.9494077227404234
32,3,2.9568441422659504
90,3,2.9740966355651737
197,3,3.00592451113443
109,3,2.979748314404574
47,3,2.961305993981267
52,3,2.962793277886372
70,3,2.968147499944752
78,3,2.970527154192921
75,3,2.9696347838498576
82,3,2.9717169813170052
104,3,2.978261030499469
197,3,3.00592451113443
161,3,2.995216067017671
112,3,2.980640684747638
76,3,2.9699322406308784
59,3,2.96487547535352
59,3,2.96487547535352
28,3,2.9556543151418664
13,4,2.95119246342655
5,4,2.9488128091783814
2,4,2.9479204388353177
1,4,2.947622982054297
1,4,2.947622982054297
6,4,2.949110265959402
35,4,2.957736512609014
101,4,2.9773686601564058
249,4,3.021392263747527
143,4,2.9898618449592913
57,4,2.964280561791478
68,4,2.96755258638271
84,4,2.9723118948790472
98,4,2.9764762898133426
81,4,2.971419524535984
70,4,2.968147499944752
91,4,2.974394092346195
215,4,3.01127873319281
185,4,3.0023550297621773
152,4,2.9925389559884814
126,4,2.9848050796819328
57,4,2.964280561791478
56,4,2.9639831050104566
31,4,2.9565466854849296
21,5,2.9535721176747187
6,5,2.949110265959402
2,5,2.9479204388353177
1,5,2.947622982054297
1,5,2.947622982054297
5,5,2.9488128091783814
27,5,2.955356858360845
68,5,2.96755258638271
217,5,3.011873646754852
166,5,2.9967033509227763
63,5,2.9660653024776042
59,5,2.96487547535352
78,5,2.970527154192921
73,5,2.969039870287815
62,5,2.965767845696583
65,5,2.9666602160396467
97,5,2.9761788330323213
161,5,2.995216067017671
120,5,2.9830203389958063
96,5,2.9758813762513
53,5,2.9630907346673934
41,5,2.9595212532951405
34,5,2.957439055827993
27,5,2.955356858360845
13,6,2.95119246342655
12,6,2.9508950066455286
11,6,2.950597549864508
7,6,2.9494077227404234
3,6,2.948217895616339
2,6,2.9479204388353177
8,6,2.9497051795214446
27,6,2.955356858360845
40,6,2.9592237965141193
53,6,2.9630907346673934
63,6,2.9660653024776042
70,6,2.968147499944752
84,6,2.9723118948790472
75,6,2.9696347838498576
103,6,2.9779635737184478
83,6,2.972014438098026
67,6,2.9672551296016887
54,6,2.9633881914484146
59,6,2.96487547535352
45,6,2.960711080419225
39,6,2.958926339733098
30,6,2.9562492287039084
33,6,2.9571415990469716
22,0,2.9538695744557395
13,0,2.95119246342655
18,0,2.9526797473316555
5,0,2.9488128091783814
3,0,2.948217895616339
1,0,2.947622982054297
2,0,2.9479204388353177
19,0,2.9529772041126763
28,0,2.9556543151418664
58,0,2.964578018572499
99,0,2.9767737465943633
116,0,2.981830511871722
87,0,2.9732042652221105
110,0,2.9800457711855954
77,0,2.9702296974118996
65,0,2.9666602160396467
55,0,2.963685648229436
49,0,2.961900907543309
50,0,2.96219836432433
35,0,2.957736512609014
25,0,2.954761944798803
28,0,2.9556543151418664
21,0,2.9535721176747187
7,1,2.9494077227404234
1,1,2.947622982054297
1,1,2.947622982054297
1,1,2.947622982054297
5,1,2.9488128091783814
15,1,2.9517873769885923
84,1,2.9723118948790472
177,1,2.9999753755140084
102,1,2.977666116937427
40,1,2.9592237965141193
46,1,2.9610085372002457
63,1,2.9660653024776042
60,1,2.965172932134541
45,1,2.960711080419225
57,1,2.964280561791478
70,1,2.968147499944752
184,1,3.002057572981156
153,1,2.992836412769502
106,1,2.978855944061511
81,1,2.971419524535984
59,1,2.96487547535352
35,1,2.957736512609014
24,1,2.954464488017782
9,2,2.9500026363024654
5,2,2.9488128091783814
2,2,2.9479204388353177
1,2,2.947622982054297
9,2,2.9500026363024654
36,2,2.958033969390035
108,2,2.9794508576235534
238,2,3.018120239156295
144,2,2.9901593017403125
55,2,2.963685648229436
61,2,2.9654703889155622
106,2,2.978855944061511
93,2,2.974989005908237
68,2,2.96755258638271
84,2,2.9723118948790472
116,2,2.981830511871722
222,2,3.0133609306599576
225,2,3.014253301003021
146,2,2.9907542153023545
119,2,2.982722882214785
45,2,2.960711080419225
53,2,2.9630907346673934
40,2,2.9592237965141193
17,3,2.9523822905506343
5,3,2.9488128091783814
10,3,2.9503000930834866
1,3,2.947622982054297
8,3,2.9497051795214446
30,3,2.9562492287039084
72,3,2.9687424135067944
58,3,2.964578018572499
28,3,2.9556543151418664
41,3,2.9595212532951405
48,3,2.961603450762288
47,3,2.961305993981267
36,3,2.958033969390035
43,3,2.9601161668571825
36,3,2.958033969390035
26,3,2.955059401579824
24,4,2.954464488017782
84,4,2.9723118948790472
104,4,2.978261030499469
79,4,2.9708246109739416
59,4,2.96487547535352
38,4,2.9586288829520773
27,4,2.955356858360845
16,4,2.952084833769613
9,5,2.9500026363024654
3,5,2.948217895616339
2,5,2.9479204388353177
1,5,2.947622982054297
4,5,2.94851535239736
16,5,2.952084833769613
60,5,2.965172932134541
157,5,2.9940262398935866
101,5,2.9773686601564058
49,5,2.961900907543309
30,5,2.9562492287039084
29,5,2.955951771922887
31,5,2.9565466854849296
38,5,2.9586288829520773
41,5,2.9595212532951405
80,5,2.971122067754963
149,5,2.991646585645418
109,5,2.979748314404574
89,5,2.9737991787841525
62,5,2.965767845696583
58,5,2.964578018572499
26,5,2.955059401579824
23,5,2.9541670312367607
