cnt,windspeed,Predicted Y
16,0.0,0.1791896829357287
40,0.0,0.18069888102777026
32,0.0,0.18019581499708975
13,0.0,0.17900103317422353
1,0.0,0.17824643412820276
1,0.0896,0.17824643412820276
2,0.0,0.1783093173820378
3,0.0,0.1783722006358729
8,0.0,0.1786866169050482
14,0.0,0.17906391642805858
36,0.2537,0.18044734801243
56,0.2836,0.18170501308913128
84,0.2836,0.1834657441965131
94,0.2985,0.18409457673486374
106,0.2836,0.18484917578088453
110,0.2985,0.18510070879622478
93,0.2985,0.18403169348102869
67,0.2836,0.182396728881317
35,0.2537,0.18038446475859493
37,0.2537,0.18051023126626506
36,0.2537,0.18044734801243
34,0.194,0.18032158150475988
28,0.2239,0.1799442819817495
39,0.2985,0.1806359977739352
17,0.2985,0.17925256618956378
17,0.2537,0.17925256618956378
9,0.2836,0.17874950015888327
6,0.194,0.17856085039737807
3,0.194,0.1783722006358729
2,0.2985,0.1783093173820378
1,0.194,0.17824643412820276
8,0.2239,0.1786866169050482
20,0.2239,0.179441215951069
53,0.2239,0.1815163633276261
70,0.2537,0.1825853786428222
93,0.2985,0.18403169348102869
75,0.1343,0.1828997949119975
59,0.194,0.1818936628506365
74,0.1642,0.18283691165816246
76,0.1642,0.1829626781658326
65,0.194,0.18227096237364687
53,0.3284,0.1815163633276261
30,0.4478,0.18007004848941963
22,0.3582,0.17956698245873912
31,0.3284,0.18013293174325468
9,0.2985,0.17874950015888327
8,0.1642,0.1786866169050482
5,0.3582,0.17849796714354302
2,0.4179,0.1783093173820378
1,0.3881,0.17824643412820276
3,0.2836,0.1783722006358729
30,0.3881,0.18007004848941963
64,0.194,0.18220807911981182
154,0.2836,0.18786757196496762
88,0.3881,0.18371727721185335
44,0.2537,0.18095041404311052
51,0.3284,0.18139059681995598
61,0.2985,0.18201942935830662
61,0.2836,0.18201942935830662
77,0.2836,0.18302556141966764
72,0.2537,0.18271114515049233
76,0.2537,0.1829626781658326
157,0.2239,0.1880562217264728
157,0.1045,0.1880562217264728
110,0.0,0.18510070879622478
52,0.1045,0.18145348007379103
52,0.1343,0.18145348007379103
20,0.1343,0.179441215951069
12,0.1045,0.17893814992038845
5,0.1045,0.17849796714354302
2,0.1045,0.1783093173820378
1,0.1343,0.17824643412820276
2,0.0896,0.1783093173820378
4,0.1045,0.17843508388970794
36,0.1045,0.18044734801243
94,0.1343,0.18409457673486374
179,0.1642,0.18943965331084422
100,0.2239,0.18447187625787415
42,0.3284,0.1808246475354404
57,0.2985,0.18176789634296636
78,0.1642,0.18308844467350271
97,0.194,0.18428322649636894
63,0.2239,0.18214519586597674
65,0.2537,0.18227096237364687
83,0.2537,0.18340286094267805
212,0.2239,0.19151480068740134
182,0.194,0.18962830307234943
112,0.1045,0.1852264753038949
54,0.1045,0.18157924658146116
48,0.0,0.18120194705845077
35,0.0896,0.18038446475859493
11,0.0896,0.1788752666665534
6,0.0,0.17856085039737807
6,0.0896,0.17856085039737807
2,0.0896,0.1783093173820378
2,0.2239,0.1783093173820378
3,0.1642,0.1783722006358729
33,0.2239,0.1802586982509248
88,0.194,0.18371727721185335
195,0.2985,0.19044578537220525
115,0.3284,0.1854151250654001
57,0.3284,0.18176789634296636
46,0.3284,0.18107618055078065
79,0.3284,0.18315132792733776
71,0.2985,0.18264826189665725
62,0.194,0.1820823126121417
62,0.194,0.1820823126121417
89,0.0896,0.18378016046568843
190,0.194,0.19013136910302994
169,0.1343,0.1888108207724936
132,0.1045,0.1864841403805962
89,0.1642,0.18378016046568843
43,0.194,0.18088753078927547
42,0.1343,0.1808246475354404
19,0.0,0.1793783326972339
11,0.0,0.1788752666665534
4,0.0,0.17843508388970794
2,0.0,0.1783093173820378
1,0.0896,0.17824643412820276
4,0.0896,0.17843508388970794
36,0.1045,0.18044734801243
