hr,casual,Predicted Y
0,3,10.876102847866257
1,8,13.023903021318985
2,5,15.171703194771712
3,3,17.31950336822444
4,0,19.46730354167717
5,0,21.615103715129894
6,2,23.76290388858262
7,1,25.91070406203535
8,1,28.058504235488076
9,8,30.206304408940802
10,12,32.35410458239353
11,26,34.501904755846255
12,29,36.649704929298984
13,47,38.797505102751714
14,35,40.94530527620444
15,40,43.093105449657166
16,41,45.240905623109896
17,15,47.388705796562625
18,9,49.53650597001535
19,6,51.68430614346808
20,11,53.83210631692081
21,3,55.97990649037353
22,11,58.12770666382626
23,15,60.27550683727899
0,4,10.876102847866257
1,1,13.023903021318985
2,1,15.171703194771712
3,2,17.31950336822444
4,2,19.46730354167717
6,0,23.76290388858262
7,0,25.91070406203535
8,0,28.058504235488076
9,1,30.206304408940802
10,7,32.35410458239353
11,16,34.501904755846255
12,20,36.649704929298984
13,11,38.797505102751714
14,4,40.94530527620444
15,19,43.093105449657166
16,9,45.240905623109896
17,7,47.388705796562625
18,10,49.53650597001535
19,1,51.68430614346808
20,5,53.83210631692081
21,11,55.97990649037353
22,0,58.12770666382626
23,0,60.27550683727899
0,0,10.876102847866257
1,0,13.023903021318985
4,0,19.46730354167717
5,0,21.615103715129894
6,0,23.76290388858262
7,1,25.91070406203535
8,1,28.058504235488076
9,7,30.206304408940802
10,11,32.35410458239353
11,10,34.501904755846255
12,13,36.649704929298984
13,8,38.797505102751714
14,11,40.94530527620444
15,14,43.093105449657166
16,9,45.240905623109896
17,11,47.388705796562625
18,9,49.53650597001535
19,8,51.68430614346808
20,3,53.83210631692081
21,3,55.97990649037353
22,0,58.12770666382626
23,1,60.27550683727899
0,0,10.876102847866257
1,0,13.023903021318985
2,0,15.171703194771712
4,0,19.46730354167717
5,0,21.615103715129894
6,0,23.76290388858262
7,2,25.91070406203535
8,2,28.058504235488076
9,2,30.206304408940802
10,5,32.35410458239353
11,7,34.501904755846255
12,12,36.649704929298984
13,18,38.797505102751714
14,9,40.94530527620444
15,17,43.093105449657166
16,15,45.240905623109896
17,10,47.388705796562625
18,3,49.53650597001535
19,2,51.68430614346808
20,1,53.83210631692081
21,0,55.97990649037353
22,1,58.12770666382626
23,2,60.27550683727899
0,0,10.876102847866257
1,0,13.023903021318985
2,0,15.171703194771712
4,0,19.46730354167717
5,0,21.615103715129894
6,0,23.76290388858262
7,1,25.91070406203535
8,3,28.058504235488076
9,6,30.206304408940802
10,4,32.35410458239353
11,12,34.501904755846255
12,5,36.649704929298984
13,6,38.797505102751714
14,10,40.94530527620444
15,7,43.093105449657166
16,4,45.240905623109896
17,4,47.388705796562625
18,3,49.53650597001535
19,5,51.68430614346808
20,7,53.83210631692081
21,3,55.97990649037353
22,1,58.12770666382626
23,1,60.27550683727899
0,0,10.876102847866257
1,0,13.023903021318985
2,0,15.171703194771712
4,0,19.46730354167717
5,0,21.615103715129894
6,0,23.76290388858262
7,0,25.91070406203535
8,3,28.058504235488076
9,6,30.206304408940802
10,3,32.35410458239353
11,2,34.501904755846255
12,6,36.649704929298984
13,12,38.797505102751714
14,11,40.94530527620444
15,8,43.093105449657166
16,12,45.240905623109896
17,9,47.388705796562625
18,5,49.53650597001535
19,3,51.68430614346808
20,3,53.83210631692081
21,0,55.97990649037353
22,1,58.12770666382626
23,4,60.27550683727899
0,4,10.876102847866257
1,2,13.023903021318985
2,0,15.171703194771712
4,0,19.46730354167717
5,0,21.615103715129894
6,8,23.76290388858262
7,8,25.91070406203535
8,20,28.058504235488076
9,9,30.206304408940802
10,16,32.35410458239353
11,19,34.501904755846255
12,9,36.649704929298984
13,9,38.797505102751714
14,7,40.94530527620444
15,9,43.093105449657166
16,5,45.240905623109896
17,9,47.388705796562625
18,7,49.53650597001535
19,3,51.68430614346808
20,1,53.83210631692081
21,0,55.97990649037353
22,2,58.12770666382626
23,1,60.27550683727899
0,1,10.876102847866257
1,1,13.023903021318985
2,3,15.171703194771712
3,0,17.31950336822444
4,0,19.46730354167717
5,0,21.615103715129894
6,0,23.76290388858262
7,1,25.91070406203535
8,0,28.058504235488076
9,0,30.206304408940802
10,5,32.35410458239353
11,2,34.501904755846255
12,8,36.649704929298984
13,7,38.797505102751714
14,12,40.94530527620444
15,5,43.093105449657166
16,8,45.240905623109896
17,5,47.388705796562625
18,3,49.53650597001535
19,4,51.68430614346808
20,0,53.83210631692081
21,2,55.97990649037353
22,1,58.12770666382626
23,0,60.27550683727899
0,1,10.876102847866257
1,0,13.023903021318985
2,0,15.171703194771712
3,0,17.31950336822444
4,0,19.46730354167717
5,0,21.615103715129894
6,0,23.76290388858262
7,1,25.91070406203535
8,0,28.058504235488076
9,0,30.206304408940802
10,0,32.35410458239353
11,2,34.501904755846255
12,4,36.649704929298984
13,6,38.797505102751714
14,8,40.94530527620444
15,5,43.093105449657166
16,13,45.240905623109896
17,3,47.388705796562625
18,4,49.53650597001535
19,1,51.68430614346808
20,0,53.83210631692081
21,1,55.97990649037353
22,5,58.12770666382626
23,0,60.27550683727899
0,2,10.876102847866257
1,1,13.023903021318985
2,0,15.171703194771712
3,0,17.31950336822444
4,1,19.46730354167717
5,0,21.615103715129894
6,0,23.76290388858262
7,2,25.91070406203535
8,4,28.058504235488076
9,2,30.206304408940802
10,0,32.35410458239353
11,2,34.501904755846255
12,5,36.649704929298984
13,4,38.797505102751714
14,0,40.94530527620444
15,2,43.093105449657166
16,4,45.240905623109896
17,4,47.388705796562625
18,1,49.53650597001535
19,3,51.68430614346808
20,1,53.83210631692081
21,1,55.97990649037353
22,2,58.12770666382626
23,0,60.27550683727899
0,2,10.876102847866257
1,0,13.023903021318985
2,0,15.171703194771712
5,0,21.615103715129894
6,0,23.76290388858262
7,2,25.91070406203535
8,3,28.058504235488076
9,3,30.206304408940802
10,3,32.35410458239353
11,4,34.501904755846255
12,2,36.649704929298984
13,6,38.797505102751714
14,3,40.94530527620444
15,2,43.093105449657166
16,4,45.240905623109896
17,6,47.388705796562625
18,1,49.53650597001535
19,0,51.68430614346808
20,0,53.83210631692081
21,0,55.97990649037353
22,1,58.12770666382626
23,1,60.27550683727899
0,0,10.876102847866257
1,0,13.023903021318985
2,0,15.171703194771712
5,0,21.615103715129894
6,0,23.76290388858262
7,0,25.91070406203535
8,3,28.058504235488076
9,3,30.206304408940802
10,0,32.35410458239353
11,3,34.501904755846255
12,3,36.649704929298984
13,0,38.797505102751714
14,0,40.94530527620444
15,1,43.093105449657166
16,5,45.240905623109896
17,0,47.388705796562625
18,2,49.53650597001535
19,1,51.68430614346808
20,2,53.83210631692081
21,0,55.97990649037353
22,1,58.12770666382626
23,1,60.27550683727899
0,1,10.876102847866257
1,0,13.023903021318985
2,0,15.171703194771712
3,0,17.31950336822444
4,0,19.46730354167717
5,0,21.615103715129894
6,0,23.76290388858262
7,0,25.91070406203535
8,5,28.058504235488076
9,2,30.206304408940802
10,2,32.35410458239353
11,4,34.501904755846255
12,3,36.649704929298984
13,2,38.797505102751714
14,3,40.94530527620444
15,5,43.093105449657166
16,2,45.240905623109896
17,4,47.388705796562625
18,3,49.53650597001535
19,1,51.68430614346808
20,0,53.83210631692081
21,0,55.97990649037353
22,0,58.12770666382626
23,1,60.27550683727899
0,0,10.876102847866257
1,0,13.023903021318985
2,0,15.171703194771712
3,0,17.31950336822444
