hr,cnt,Predicted Y
0,16,70.09516701034579
1,40,80.43295918025176
2,32,90.77075135015772
3,13,101.1085435200637
4,1,111.44633568996966
5,1,121.78412785987564
6,2,132.12192002978162
7,3,142.45971219968757
8,8,152.79750436959353
9,14,163.1352965394995
10,36,173.4730887094055
11,56,183.81088087931144
12,84,194.14867304921742
13,94,204.48646521912337
14,106,214.82425738902936
15,110,225.1620495589353
16,93,235.4998417288413
17,67,245.83763389874727
18,35,256.1754260686532
19,37,266.5132182385592
20,36,276.8510104084652
21,34,287.1888025783711
22,28,297.5265947482771
23,39,307.8643869181831
0,17,70.09516701034579
1,17,80.43295918025176
2,9,90.77075135015772
3,6,101.1085435200637
4,3,111.44633568996966
6,2,132.12192002978162
7,1,142.45971219968757
8,8,152.79750436959353
9,20,163.1352965394995
10,53,173.4730887094055
11,70,183.81088087931144
12,93,194.14867304921742
13,75,204.48646521912337
14,59,214.82425738902936
15,74,225.1620495589353
16,76,235.4998417288413
17,65,245.83763389874727
18,53,256.1754260686532
19,30,266.5132182385592
20,22,276.8510104084652
21,31,287.1888025783711
22,9,297.5265947482771
23,8,307.8643869181831
0,5,70.09516701034579
1,2,80.43295918025176
4,1,111.44633568996966
5,3,121.78412785987564
6,30,132.12192002978162
7,64,142.45971219968757
8,154,152.79750436959353
9,88,163.1352965394995
10,44,173.4730887094055
11,51,183.81088087931144
12,61,194.14867304921742
13,61,204.48646521912337
14,77,214.82425738902936
15,72,225.1620495589353
16,76,235.4998417288413
17,157,245.83763389874727
18,157,256.1754260686532
19,110,266.5132182385592
20,52,276.8510104084652
21,52,287.1888025783711
22,20,297.5265947482771
23,12,307.8643869181831
0,5,70.09516701034579
1,2,80.43295918025176
2,1,90.77075135015772
4,2,111.44633568996966
5,4,121.78412785987564
6,36,132.12192002978162
7,94,142.45971219968757
8,179,152.79750436959353
9,100,163.1352965394995
10,42,173.4730887094055
11,57,183.81088087931144
12,78,194.14867304921742
13,97,204.48646521912337
14,63,214.82425738902936
15,65,225.1620495589353
16,83,235.4998417288413
17,212,245.83763389874727
18,182,256.1754260686532
19,112,266.5132182385592
20,54,276.8510104084652
21,48,287.1888025783711
22,35,297.5265947482771
23,11,307.8643869181831
0,6,70.09516701034579
1,6,80.43295918025176
2,2,90.77075135015772
4,2,111.44633568996966
5,3,121.78412785987564
6,33,132.12192002978162
7,88,142.45971219968757
8,195,152.79750436959353
9,115,163.1352965394995
10,57,173.4730887094055
11,46,183.81088087931144
12,79,194.14867304921742
13,71,204.48646521912337
14,62,214.82425738902936
15,62,225.1620495589353
16,89,235.4998417288413
17,190,245.83763389874727
18,169,256.1754260686532
19,132,266.5132182385592
20,89,276.8510104084652
21,43,287.1888025783711
22,42,297.5265947482771
23,19,307.8643869181831
0,11,70.09516701034579
1,4,80.43295918025176
2,2,90.77075135015772
4,1,111.44633568996966
5,4,121.78412785987564
6,36,132.12192002978162
7,95,142.45971219968757
8,219,152.79750436959353
9,122,163.1352965394995
10,45,173.4730887094055
11,59,183.81088087931144
12,84,194.14867304921742
13,67,204.48646521912337
14,70,214.82425738902936
15,62,225.1620495589353
16,86,235.4998417288413
17,172,245.83763389874727
18,163,256.1754260686532
19,112,266.5132182385592
20,69,276.8510104084652
21,48,287.1888025783711
22,52,297.5265947482771
23,23,307.8643869181831
0,17,70.09516701034579
1,7,80.43295918025176
2,1,90.77075135015772
4,1,111.44633568996966
5,5,121.78412785987564
6,34,132.12192002978162
7,84,142.45971219968757
8,210,152.79750436959353
9,134,163.1352965394995
10,63,173.4730887094055
11,67,183.81088087931144
12,59,194.14867304921742
13,73,204.48646521912337
14,50,214.82425738902936
15,72,225.1620495589353
16,87,235.4998417288413
17,187,245.83763389874727
18,123,256.1754260686532
19,95,266.5132182385592
20,51,276.8510104084652
21,39,287.1888025783711
22,36,297.5265947482771
23,15,307.8643869181831
0,25,70.09516701034579
1,16,80.43295918025176
2,16,90.77075135015772
3,7,101.1085435200637
4,1,111.44633568996966
5,5,121.78412785987564
6,2,132.12192002978162
7,9,142.45971219968757
8,15,152.79750436959353
9,20,163.1352965394995
10,61,173.4730887094055
11,62,183.81088087931144
12,98,194.14867304921742
13,102,204.48646521912337
14,95,214.82425738902936
15,74,225.1620495589353
16,76,235.4998417288413
17,69,245.83763389874727
18,55,256.1754260686532
19,30,266.5132182385592
20,28,276.8510104084652
21,37,287.1888025783711
22,34,297.5265947482771
23,22,307.8643869181831
0,25,70.09516701034579
1,12,80.43295918025176
2,11,90.77075135015772
3,4,101.1085435200637
4,1,111.44633568996966
5,1,121.78412785987564
6,1,132.12192002978162
7,6,142.45971219968757
8,10,152.79750436959353
9,19,163.1352965394995
10,49,173.4730887094055
11,49,183.81088087931144
12,83,194.14867304921742
13,75,204.48646521912337
14,72,214.82425738902936
15,82,225.1620495589353
16,92,235.4998417288413
17,62,245.83763389874727
18,48,256.1754260686532
19,41,266.5132182385592
20,38,276.8510104084652
21,20,287.1888025783711
22,15,297.5265947482771
23,6,307.8643869181831
0,5,70.09516701034579
1,1,80.43295918025176
2,3,90.77075135015772
3,1,101.1085435200637
4,3,111.44633568996966
5,3,121.78412785987564
6,31,132.12192002978162
7,77,142.45971219968757
8,188,152.79750436959353
9,94,163.1352965394995
10,31,173.4730887094055
11,30,183.81088087931144
12,52,194.14867304921742
13,54,204.48646521912337
14,47,214.82425738902936
15,45,225.1620495589353
16,74,235.4998417288413
17,178,245.83763389874727
18,155,256.1754260686532
19,95,266.5132182385592
20,74,276.8510104084652
21,38,287.1888025783711
22,24,297.5265947482771
23,18,307.8643869181831
0,12,70.09516701034579
1,3,80.43295918025176
2,3,90.77075135015772
5,6,121.78412785987564
6,27,132.12192002978162
7,99,142.45971219968757
8,217,152.79750436959353
9,130,163.1352965394995
10,54,173.4730887094055
11,35,183.81088087931144
12,57,194.14867304921742
13,52,204.48646521912337
14,63,214.82425738902936
15,47,225.1620495589353
16,76,235.4998417288413
17,136,245.83763389874727
18,95,256.1754260686532
19,51,266.5132182385592
20,32,276.8510104084652
21,20,287.1888025783711
22,29,297.5265947482771
23,19,307.8643869181831
0,7,70.09516701034579
1,6,80.43295918025176
2,1,90.77075135015772
5,5,121.78412785987564
6,16,132.12192002978162
7,54,142.45971219968757
8,128,152.79750436959353
9,81,163.1352965394995
10,39,173.4730887094055
11,35,183.81088087931144
12,55,194.14867304921742
13,49,204.48646521912337
14,44,214.82425738902936
15,49,225.1620495589353
16,68,235.4998417288413
17,139,245.83763389874727
18,137,256.1754260686532
19,83,266.5132182385592
20,56,276.8510104084652
21,57,287.1888025783711
22,33,297.5265947482771
23,20,307.8643869181831
0,7,70.09516701034579
1,2,80.43295918025176
2,2,90.77075135015772
3,3,101.1085435200637
4,4,111.44633568996966
5,3,121.78412785987564
6,28,132.12192002978162
7,72,142.45971219968757
8,202,152.79750436959353
9,139,163.1352965394995
10,38,173.4730887094055
11,37,183.81088087931144
12,52,194.14867304921742
13,83,204.48646521912337
14,42,214.82425738902936
15,60,225.1620495589353
16,78,235.4998417288413
17,162,245.83763389874727
18,144,256.1754260686532
19,99,266.5132182385592
20,64,276.8510104084652
21,40,287.1888025783711
22,30,297.5265947482771
23,15,307.8643869181831
0,14,70.09516701034579
1,5,80.43295918025176
2,1,90.77075135015772
3,1,101.1085435200637
5,8,121.78412785987564
6,17,132.12192002978162
7,70,142.45971219968757
8,158,152.79750436959353
9,117,163.1352965394995
10,44,173.4730887094055
11,53,183.81088087931144
12,61,194.14867304921742
13,77,204.48646521912337
14,64,214.82425738902936
15,68,225.1620495589353
16,90,235.4998417288413
17,159,245.83763389874727
18,139,256.1754260686532
19,92,266.5132182385592
20,68,276.8510104084652
21,52,287.1888025783711
22,36,297.5265947482771
23,27,307.8643869181831
0,28,70.09516701034579
1,20,80.43295918025176
2,12,90.77075135015772
3,8,101.1085435200637
4,5,111.44633568996966
5,1,121.78412785987564
6,3,132.12192002978162
7,10,142.45971219968757
8,23,152.79750436959353
9,33,163.1352965394995
