hr,hum,Predicted Y
0,0.81,0.7163121044732169
1,0.8,0.7085970980017289
2,0.8,0.700882091530241
3,0.75,0.6931670850587529
4,0.75,0.6854520785872649
5,0.75,0.6777370721157769
6,0.8,0.6700220656442889
7,0.86,0.6623070591728009
8,0.75,0.6545920527013129
9,0.76,0.6468770462298249
10,0.76,0.6391620397583369
11,0.81,0.6314470332868489
12,0.77,0.6237320268153609
13,0.72,0.6160170203438728
14,0.72,0.6083020138723849
15,0.77,0.6005870074008969
16,0.82,0.5928720009294088
17,0.82,0.5851569944579209
18,0.88,0.5774419879864329
19,0.88,0.5697269815149448
20,0.87,0.5620119750434569
21,0.87,0.5542969685719689
22,0.94,0.5465819621004808
23,0.88,0.5388669556289929
0,0.88,0.7163121044732169
1,0.94,0.7085970980017289
2,1.0,0.700882091530241
3,0.94,0.6931670850587529
4,0.94,0.6854520785872649
6,0.77,0.6700220656442889
7,0.76,0.6623070591728009
8,0.71,0.6545920527013129
9,0.76,0.6468770462298249
10,0.81,0.6391620397583369
11,0.71,0.6314470332868489
12,0.66,0.6237320268153609
13,0.66,0.6160170203438728
14,0.76,0.6083020138723849
15,0.81,0.6005870074008969
16,0.71,0.5928720009294088
17,0.57,0.5851569944579209
18,0.46,0.5774419879864329
19,0.42,0.5697269815149448
20,0.39,0.5620119750434569
21,0.44,0.5542969685719689
22,0.44,0.5465819621004808
23,0.47,0.5388669556289929
0,0.44,0.7163121044732169
1,0.44,0.7085970980017289
4,0.47,0.6854520785872649
5,0.47,0.6777370721157769
6,0.5,0.6700220656442889
7,0.5,0.6623070591728009
8,0.5,0.6545920527013129
9,0.43,0.6468770462298249
10,0.43,0.6391620397583369
11,0.4,0.6314470332868489
12,0.35,0.6237320268153609
13,0.35,0.6160170203438728
14,0.3,0.6083020138723849
15,0.3,0.6005870074008969
16,0.3,0.5928720009294088
17,0.3,0.5851569944579209
18,0.32,0.5774419879864329
19,0.47,0.5697269815149448
20,0.47,0.5620119750434569
21,0.64,0.5542969685719689
22,0.69,0.5465819621004808
23,0.55,0.5388669556289929
0,0.55,0.7163121044732169
1,0.59,0.7085970980017289
2,0.63,0.700882091530241
4,0.63,0.6854520785872649
5,0.68,0.6777370721157769
6,0.74,0.6700220656442889
7,0.74,0.6623070591728009
8,0.69,0.6545920527013129
9,0.64,0.6468770462298249
10,0.69,0.6391620397583369
11,0.51,0.6314470332868489
12,0.51,0.6237320268153609
13,0.56,0.6160170203438728
14,0.52,0.6083020138723849
15,0.52,0.6005870074008969
16,0.49,0.5928720009294088
17,0.48,0.5851569944579209
18,0.48,0.5774419879864329
19,0.48,0.5697269815149448
20,0.48,0.5620119750434569
21,0.64,0.5542969685719689
22,0.64,0.5465819621004808
23,0.69,0.5388669556289929
0,0.64,0.7163121044732169
1,0.74,0.7085970980017289
2,0.74,0.700882091530241
4,0.48,0.6854520785872649
5,0.47,0.6777370721157769
6,0.47,0.6700220656442889
7,0.43,0.6623070591728009
8,0.4,0.6545920527013129
9,0.37,0.6468770462298249
10,0.37,0.6391620397583369
11,0.33,0.6314470332868489
12,0.33,0.6237320268153609
13,0.3,0.6160170203438728
14,0.28,0.6083020138723849
15,0.28,0.6005870074008969
16,0.28,0.5928720009294088
17,0.38,0.5851569944579209
18,0.38,0.5774419879864329
19,0.38,0.5697269815149448
20,0.47,0.5620119750434569
21,0.51,0.5542969685719689
22,0.55,0.5465819621004808
23,0.47,0.5388669556289929
0,0.55,0.7163121044732169
1,0.64,0.7085970980017289
2,0.64,0.700882091530241
4,0.64,0.6854520785872649
5,0.69,0.6777370721157769
6,0.63,0.6700220656442889
7,0.59,0.6623070591728009
8,0.59,0.6545920527013129
9,0.51,0.6468770462298249
10,0.47,0.6391620397583369
11,0.44,0.6314470332868489
12,0.35,0.6237320268153609
13,0.35,0.6160170203438728
14,0.36,0.6083020138723849
15,0.36,0.6005870074008969
16,0.38,0.5928720009294088
17,0.51,0.5851569944579209
18,0.51,0.5774419879864329
19,0.55,0.5697269815149448
20,0.51,0.5620119750434569
21,0.55,0.5542969685719689
22,0.51,0.5465819621004808
23,0.59,0.5388669556289929
0,0.64,0.7163121044732169
1,0.69,0.7085970980017289
2,0.69,0.700882091530241
4,0.69,0.6854520785872649
5,0.55,0.6777370721157769
6,0.69,0.6700220656442889
7,0.69,0.6623070591728009
8,0.51,0.6545920527013129
9,0.47,0.6468770462298249
10,0.37,0.6391620397583369
11,0.4,0.6314470332868489
12,0.37,0.6237320268153609
13,0.37,0.6160170203438728
14,0.4,0.6083020138723849
15,0.37,0.6005870074008969
16,0.37,0.5928720009294088
17,0.37,0.5851569944579209
18,0.4,0.5774419879864329
19,0.55,0.5697269815149448
20,0.47,0.5620119750434569
21,0.47,0.5542969685719689
22,0.43,0.5465819621004808
23,0.51,0.5388669556289929
0,0.51,0.7163121044732169
1,0.55,0.7085970980017289
2,0.55,0.700882091530241
3,0.55,0.6931670850587529
4,0.55,0.6854520785872649
5,0.74,0.6777370721157769
6,0.74,0.6700220656442889
7,0.74,0.6623070591728009
8,0.93,0.6545920527013129
9,0.93,0.6468770462298249
10,0.8,0.6391620397583369
11,0.69,0.6314470332868489
12,0.59,0.6237320268153609
13,0.44,0.6160170203438728
14,0.32,0.6083020138723849
15,0.32,0.6005870074008969
16,0.29,0.5928720009294088
17,0.37,0.5851569944579209
18,0.39,0.5774419879864329
19,0.36,0.5697269815149448
20,0.36,0.5620119750434569
21,0.39,0.5542969685719689
22,0.36,0.5465819621004808
23,0.39,0.5388669556289929
0,0.42,0.7163121044732169
1,0.42,0.7085970980017289
2,0.46,0.700882091530241
3,0.46,0.6931670850587529
4,0.53,0.6854520785872649
5,0.53,0.6777370721157769
6,0.49,0.6700220656442889
7,0.53,0.6623070591728009
8,0.49,0.6545920527013129
9,0.46,0.6468770462298249
10,0.43,0.6391620397583369
11,0.4,0.6314470332868489
12,0.37,0.6237320268153609
13,0.34,0.6160170203438728
14,0.32,0.6083020138723849
15,0.35,0.6005870074008969
16,0.34,0.5928720009294088
17,0.37,0.5851569944579209
18,0.4,0.5774419879864329
19,0.43,0.5697269815149448
20,0.46,0.5620119750434569
21,0.46,0.5542969685719689
22,0.46,0.5465819621004808
23,0.5,0.5388669556289929
0,0.5,0.7163121044732169
1,0.5,0.7085970980017289
2,0.5,0.700882091530241
3,0.5,0.6931670850587529
4,0.54,0.6854520785872649
5,0.54,0.6777370721157769
6,0.5,0.6700220656442889
7,0.5,0.6623070591728009
8,0.5,0.6545920527013129
9,0.5,0.6468770462298249
10,0.5,0.6391620397583369
11,0.47,0.6314470332868489
12,0.4,0.6237320268153609
13,0.4,0.6160170203438728
14,0.4,0.6083020138723849
15,0.4,0.6005870074008969
16,0.4,0.5928720009294088
17,0.4,0.5851569944579209
18,0.4,0.5774419879864329
19,0.47,0.5697269815149448
20,0.5,0.5620119750434569
21,0.59,0.5542969685719689
22,0.59,0.5465819621004808
23,0.59,0.5388669556289929
0,0.59,0.7163121044732169
1,0.59,0.7085970980017289
2,0.55,0.700882091530241
5,0.55,0.6777370721157769
6,0.55,0.6700220656442889
7,0.55,0.6623070591728009
8,0.51,0.6545920527013129
9,0.51,0.6468770462298249
10,0.51,0.6391620397583369
11,0.47,0.6314470332868489
12,0.51,0.6237320268153609
13,0.59,0.6160170203438728
14,0.59,0.6083020138723849
15,0.8,0.6005870074008969
16,0.86,0.5928720009294088
17,0.86,0.5851569944579209
18,0.93,0.5774419879864329
19,0.93,0.5697269815149448
20,0.93,0.5620119750434569
21,0.86,0.5542969685719689
22,0.93,0.5465819621004808
23,0.93,0.5388669556289929
0,0.86,0.7163121044732169
1,0.86,0.7085970980017289
2,0.86,0.700882091530241
5,0.86,0.6777370721157769
6,0.93,0.6700220656442889
7,0.69,0.6623070591728009
8,0.59,0.6545920527013129
9,0.59,0.6468770462298249
10,0.55,0.6391620397583369
11,0.51,0.6314470332868489
12,0.47,0.6237320268153609
13,0.44,0.6160170203438728
14,0.47,0.6083020138723849
15,0.47,0.6005870074008969
16,0.44,0.5928720009294088
17,0.47,0.5851569944579209
18,0.47,0.5774419879864329
19,0.47,0.5697269815149448
20,0.5,0.5620119750434569
21,0.55,0.5542969685719689
22,0.55,0.5465819621004808
23,0.59,0.5388669556289929
0,0.59,0.7163121044732169
1,0.5,0.7085970980017289
2,0.5,0.700882091530241
3,0.5,0.6931670850587529
4,0.5,0.6854520785872649
5,0.5,0.6777370721157769
6,0.54,0.6700220656442889
7,0.54,0.6623070591728009
8,0.5,0.6545920527013129
9,0.5,0.6468770462298249
10,0.5,0.6391620397583369
11,0.44,0.6314470332868489
12,0.44,0.6237320268153609
13,0.41,0.6160170203438728
14,0.41,0.6083020138723849
15,0.38,0.6005870074008969
16,0.38,0.5928720009294088
17,0.4,0.5851569944579209
18,0.4,0.5774419879864329
19,0.47,0.5697269815149448
20,0.47,0.5620119750434569
21,0.46,0.5542969685719689
22,0.46,0.5465819621004808
23,0.5,0.5388669556289929
0,0.5,0.7163121044732169
1,0.54,0.7085970980017289
2,0.54,0.700882091530241
3,0.54,0.6931670850587529
5,0.54,0.6777370721157769
6,0.54,0.6700220656442889
7,0.74,0.6623070591728009
8,0.68,0.6545920527013129
9,0.69,0.6468770462298249
10,0.55,0.6391620397583369
11,0.51,0.6314470332868489
