hr,instant,Predicted Y
0,1,8730.004438902419
1,2,8726.53987678988
2,3,8723.075314677342
3,4,8719.610752564804
4,5,8716.146190452266
5,6,8712.68162833973
6,7,8709.217066227191
7,8,8705.752504114653
8,9,8702.287942002115
9,10,8698.823379889576
10,11,8695.358817777038
11,12,8691.8942556645
12,13,8688.429693551961
13,14,8684.965131439423
14,15,8681.500569326885
15,16,8678.036007214349
16,17,8674.57144510181
17,18,8671.106882989272
18,19,8667.642320876734
19,20,8664.177758764195
20,21,8660.713196651657
21,22,8657.248634539119
22,23,8653.78407242658
23,24,8650.319510314042
0,25,8730.004438902419
1,26,8726.53987678988
2,27,8723.075314677342
3,28,8719.610752564804
4,29,8716.146190452266
6,30,8709.217066227191
7,31,8705.752504114653
8,32,8702.287942002115
9,33,8698.823379889576
10,34,8695.358817777038
11,35,8691.8942556645
12,36,8688.429693551961
13,37,8684.965131439423
14,38,8681.500569326885
15,39,8678.036007214349
16,40,8674.57144510181
17,41,8671.106882989272
18,42,8667.642320876734
19,43,8664.177758764195
20,44,8660.713196651657
21,45,8657.248634539119
22,46,8653.78407242658
23,47,8650.319510314042
0,48,8730.004438902419
1,49,8726.53987678988
4,50,8716.146190452266
5,51,8712.68162833973
6,52,8709.217066227191
7,53,8705.752504114653
8,54,8702.287942002115
9,55,8698.823379889576
10,56,8695.358817777038
11,57,8691.8942556645
12,58,8688.429693551961
13,59,8684.965131439423
14,60,8681.500569326885
15,61,8678.036007214349
16,62,8674.57144510181
17,63,8671.106882989272
18,64,8667.642320876734
19,65,8664.177758764195
20,66,8660.713196651657
21,67,8657.248634539119
22,68,8653.78407242658
23,69,8650.319510314042
0,70,8730.004438902419
1,71,8726.53987678988
2,72,8723.075314677342
4,73,8716.146190452266
5,74,8712.68162833973
6,75,8709.217066227191
7,76,8705.752504114653
8,77,8702.287942002115
9,78,8698.823379889576
10,79,8695.358817777038
11,80,8691.8942556645
12,81,8688.429693551961
13,82,8684.965131439423
14,83,8681.500569326885
15,84,8678.036007214349
16,85,8674.57144510181
17,86,8671.106882989272
18,87,8667.642320876734
19,88,8664.177758764195
20,89,8660.713196651657
21,90,8657.248634539119
22,91,8653.78407242658
23,92,8650.319510314042
0,93,8730.004438902419
1,94,8726.53987678988
2,95,8723.075314677342
4,96,8716.146190452266
5,97,8712.68162833973
6,98,8709.217066227191
7,99,8705.752504114653
8,100,8702.287942002115
9,101,8698.823379889576
10,102,8695.358817777038
11,103,8691.8942556645
12,104,8688.429693551961
13,105,8684.965131439423
14,106,8681.500569326885
15,107,8678.036007214349
16,108,8674.57144510181
17,109,8671.106882989272
18,110,8667.642320876734
19,111,8664.177758764195
20,112,8660.713196651657
21,113,8657.248634539119
22,114,8653.78407242658
23,115,8650.319510314042
0,116,8730.004438902419
1,117,8726.53987678988
2,118,8723.075314677342
4,119,8716.146190452266
5,120,8712.68162833973
6,121,8709.217066227191
7,122,8705.752504114653
8,123,8702.287942002115
9,124,8698.823379889576
10,125,8695.358817777038
11,126,8691.8942556645
12,127,8688.429693551961
13,128,8684.965131439423
14,129,8681.500569326885
15,130,8678.036007214349
16,131,8674.57144510181
17,132,8671.106882989272
18,133,8667.642320876734
19,134,8664.177758764195
20,135,8660.713196651657
21,136,8657.248634539119
22,137,8653.78407242658
23,138,8650.319510314042
0,139,8730.004438902419
1,140,8726.53987678988
2,141,8723.075314677342
4,142,8716.146190452266
5,143,8712.68162833973
6,144,8709.217066227191
7,145,8705.752504114653
8,146,8702.287942002115
9,147,8698.823379889576
10,148,8695.358817777038
11,149,8691.8942556645
12,150,8688.429693551961
13,151,8684.965131439423
14,152,8681.500569326885
15,153,8678.036007214349
16,154,8674.57144510181
17,155,8671.106882989272
18,156,8667.642320876734
19,157,8664.177758764195
20,158,8660.713196651657
21,159,8657.248634539119
22,160,8653.78407242658
23,161,8650.319510314042
0,162,8730.004438902419
1,163,8726.53987678988
2,164,8723.075314677342
3,165,8719.610752564804
4,166,8716.146190452266
5,167,8712.68162833973
6,168,8709.217066227191
7,169,8705.752504114653
8,170,8702.287942002115
9,171,8698.823379889576
10,172,8695.358817777038
11,173,8691.8942556645
12,174,8688.429693551961
13,175,8684.965131439423
14,176,8681.500569326885
15,177,8678.036007214349
