hr,windspeed,Predicted Y
0,0.0,0.1620567280224833
1,0.0,0.16448519264217068
2,0.0,0.16691365726185806
3,0.0,0.16934212188154543
4,0.0,0.1717705865012328
5,0.0896,0.17419905112092016
6,0.0,0.17662751574060753
7,0.0,0.1790559803602949
8,0.0,0.18148444497998228
9,0.0,0.18391290959966966
10,0.2537,0.18634137421935704
11,0.2836,0.1887698388390444
12,0.2836,0.1911983034587318
13,0.2985,0.19362676807841916
14,0.2836,0.19605523269810654
15,0.2985,0.1984836973177939
16,0.2985,0.20091216193748127
17,0.2836,0.20334062655716864
18,0.2537,0.20576909117685602
19,0.2537,0.2081975557965434
20,0.2537,0.21062602041623077
21,0.194,0.21305448503591815
22,0.2239,0.2154829496556055
23,0.2985,0.21791141427529287
0,0.2985,0.1620567280224833
1,0.2537,0.16448519264217068
2,0.2836,0.16691365726185806
3,0.194,0.16934212188154543
4,0.194,0.1717705865012328
6,0.2985,0.17662751574060753
7,0.194,0.1790559803602949
8,0.2239,0.18148444497998228
9,0.2239,0.18391290959966966
10,0.2239,0.18634137421935704
11,0.2537,0.1887698388390444
12,0.2985,0.1911983034587318
13,0.1343,0.19362676807841916
14,0.194,0.19605523269810654
15,0.1642,0.1984836973177939
16,0.1642,0.20091216193748127
17,0.194,0.20334062655716864
18,0.3284,0.20576909117685602
19,0.4478,0.2081975557965434
20,0.3582,0.21062602041623077
21,0.3284,0.21305448503591815
22,0.2985,0.2154829496556055
23,0.1642,0.21791141427529287
0,0.3582,0.1620567280224833
1,0.4179,0.16448519264217068
4,0.3881,0.1717705865012328
5,0.2836,0.17419905112092016
6,0.3881,0.17662751574060753
7,0.194,0.1790559803602949
8,0.2836,0.18148444497998228
9,0.3881,0.18391290959966966
10,0.2537,0.18634137421935704
11,0.3284,0.1887698388390444
12,0.2985,0.1911983034587318
13,0.2836,0.19362676807841916
14,0.2836,0.19605523269810654
15,0.2537,0.1984836973177939
16,0.2537,0.20091216193748127
17,0.2239,0.20334062655716864
18,0.1045,0.20576909117685602
19,0.0,0.2081975557965434
20,0.1045,0.21062602041623077
21,0.1343,0.21305448503591815
22,0.1343,0.2154829496556055
23,0.1045,0.21791141427529287
0,0.1045,0.1620567280224833
1,0.1045,0.16448519264217068
2,0.1343,0.16691365726185806
4,0.0896,0.1717705865012328
5,0.1045,0.17419905112092016
6,0.1045,0.17662751574060753
7,0.1343,0.1790559803602949
8,0.1642,0.18148444497998228
9,0.2239,0.18391290959966966
10,0.3284,0.18634137421935704
11,0.2985,0.1887698388390444
12,0.1642,0.1911983034587318
13,0.194,0.19362676807841916
14,0.2239,0.19605523269810654
15,0.2537,0.1984836973177939
16,0.2537,0.20091216193748127
17,0.2239,0.20334062655716864
18,0.194,0.20576909117685602
19,0.1045,0.2081975557965434
20,0.1045,0.21062602041623077
21,0.0,0.21305448503591815
22,0.0896,0.2154829496556055
23,0.0896,0.21791141427529287
0,0.0,0.1620567280224833
1,0.0896,0.16448519264217068
2,0.0896,0.16691365726185806
4,0.2239,0.1717705865012328
5,0.1642,0.17419905112092016
6,0.2239,0.17662751574060753
7,0.194,0.1790559803602949
8,0.2985,0.18148444497998228
9,0.3284,0.18391290959966966
10,0.3284,0.18634137421935704
11,0.3284,0.1887698388390444
12,0.3284,0.1911983034587318
13,0.2985,0.19362676807841916
14,0.194,0.19605523269810654
15,0.194,0.1984836973177939
16,0.0896,0.20091216193748127
17,0.194,0.20334062655716864
18,0.1343,0.20576909117685602
19,0.1045,0.2081975557965434
20,0.1642,0.21062602041623077
21,0.194,0.21305448503591815
22,0.1343,0.2154829496556055
23,0.0,0.21791141427529287
0,0.0,0.1620567280224833
1,0.0,0.16448519264217068
2,0.0,0.16691365726185806
4,0.0896,0.1717705865012328
5,0.0896,0.17419905112092016
6,0.1045,0.17662751574060753
7,0.0,0.1790559803602949
8,0.0,0.18148444497998228
9,0.0,0.18391290959966966
10,0.0,0.18634137421935704
11,0.0896,0.1887698388390444
12,0.0,0.1911983034587318
13,0.1045,0.19362676807841916
14,0.1642,0.19605523269810654
15,0.0,0.1984836973177939
16,0.1642,0.20091216193748127
17,0.1642,0.20334062655716864
18,0.1343,0.20576909117685602
19,0.0896,0.2081975557965434
20,0.1642,0.21062602041623077
21,0.2239,0.21305448503591815
22,0.2836,0.2154829496556055
23,0.194,0.21791141427529287
0,0.194,0.1620567280224833
1,0.2239,0.16448519264217068
2,0.2239,0.16691365726185806
4,0.1343,0.1717705865012328
5,0.0,0.17419905112092016
6,0.0,0.17662751574060753
7,0.1343,0.1790559803602949
8,0.2537,0.18148444497998228
9,0.2985,0.18391290959966966
10,0.3284,0.18634137421935704
11,0.2239,0.1887698388390444
12,0.2537,0.1911983034587318
13,0.2836,0.19362676807841916
14,0.2537,0.19605523269810654
15,0.1642,0.1984836973177939
16,0.1642,0.20091216193748127
17,0.0,0.20334062655716864
18,0.0896,0.20576909117685602
19,0.0896,0.2081975557965434
20,0.1045,0.21062602041623077
21,0.1343,0.21305448503591815
22,0.1642,0.2154829496556055
23,0.1642,0.21791141427529287
0,0.1642,0.1620567280224833
1,0.0896,0.16448519264217068
2,0.0,0.16691365726185806
3,0.1642,0.16934212188154543
4,0.1642,0.1717705865012328
5,0.1642,0.17419905112092016
6,0.1642,0.17662751574060753
7,0.1045,0.1790559803602949
8,0.1045,0.18148444497998228
9,0.1045,0.18391290959966966
10,0.1642,0.18634137421935704
11,0.3881,0.1887698388390444
12,0.3582,0.1911983034587318
13,0.3284,0.19362676807841916
14,0.4925,0.19605523269810654
15,0.4478,0.1984836973177939
16,0.4478,0.20091216193748127
17,0.5522,0.20334062655716864
18,0.2985,0.20576909117685602
19,0.2537,0.2081975557965434
20,0.2537,0.21062602041623077
21,0.3582,0.21305448503591815
22,0.3881,0.2154829496556055
23,0.4478,0.21791141427529287
0,0.3881,0.1620567280224833
1,0.4627,0.16448519264217068
2,0.4627,0.16691365726185806
3,0.4179,0.16934212188154543
4,0.194,0.1717705865012328
5,0.194,0.17419905112092016
6,0.2836,0.17662751574060753
7,0.194,0.1790559803602949
8,0.2836,0.18148444497998228
9,0.5224,0.18391290959966966
10,0.3881,0.18634137421935704
11,0.5224,0.1887698388390444
12,0.4478,0.1911983034587318
13,0.4478,0.19362676807841916
14,0.4627,0.19605523269810654
15,0.3582,0.1984836973177939
16,0.4478,0.20091216193748127
17,0.3881,0.20334062655716864
18,0.3284,0.20576909117685602
19,0.3284,0.2081975557965434
20,0.2537,0.21062602041623077
21,0.4179,0.21305448503591815
22,0.2985,0.2154829496556055
23,0.194,0.21791141427529287
0,0.2836,0.1620567280224833
1,0.2836,0.16448519264217068
2,0.2239,0.16691365726185806
3,0.2239,0.16934212188154543
4,0.1343,0.1717705865012328
5,0.2537,0.17419905112092016
6,0.2836,0.17662751574060753
7,0.2239,0.1790559803602949
8,0.2836,0.18148444497998228
9,0.2537,0.18391290959966966
10,0.2985,0.18634137421935704
11,0.2836,0.1887698388390444
12,0.2836,0.1911983034587318
13,0.2836,0.19362676807841916
14,0.2239,0.19605523269810654
15,0.2239,0.1984836973177939
16,0.1343,0.20091216193748127
17,0.1045,0.20334062655716864
18,0.2239,0.20576909117685602
19,0.1642,0.2081975557965434
20,0.1642,0.21062602041623077
21,0.194,0.21305448503591815
22,0.1642,0.2154829496556055
23,0.1642,0.21791141427529287
0,0.1045,0.1620567280224833
1,0.1642,0.16448519264217068
2,0.194,0.16691365726185806
5,0.1343,0.17419905112092016
6,0.1343,0.17662751574060753
7,0.0,0.1790559803602949
8,0.0896,0.18148444497998228
9,0.1642,0.18391290959966966
10,0.1642,0.18634137421935704
11,0.1343,0.1887698388390444
12,0.1045,0.1911983034587318
13,0.0896,0.19362676807841916
14,0.0896,0.19605523269810654
15,0.0896,0.1984836973177939
16,0.2239,0.20091216193748127
17,0.2239,0.20334062655716864
18,0.1045,0.20576909117685602
19,0.0,0.2081975557965434
20,0.194,0.21062602041623077
21,0.0896,0.21305448503591815
22,0.1045,0.2154829496556055
23,0.0896,0.21791141427529287
0,0.0896,0.1620567280224833
1,0.1045,0.16448519264217068
2,0.1343,0.16691365726185806
5,0.1642,0.17419905112092016
6,0.1343,0.17662751574060753
7,0.1343,0.1790559803602949
8,0.1642,0.18148444497998228
9,0.3284,0.18391290959966966
10,0.2239,0.18634137421935704
11,0.3881,0.1887698388390444
12,0.5821,0.1911983034587318
13,0.3582,0.19362676807841916
14,0.3284,0.19605523269810654
15,0.4179,0.1984836973177939
16,0.3284,0.20091216193748127
17,0.3582,0.20334062655716864
18,0.5224,0.20576909117685602
19,0.4179,0.2081975557965434
20,0.3284,0.21062602041623077
21,0.3284,0.21305448503591815
22,0.4478,0.2154829496556055
23,0.4179,0.21791141427529287
0,0.2836,0.1620567280224833
1,0.2836,0.16448519264217068
2,0.3582,0.16691365726185806
3,0.3284,0.16934212188154543
4,0.2537,0.1717705865012328
5,0.2985,0.17419905112092016
6,0.1343,0.17662751574060753
7,0.1343,0.1790559803602949
8,0.194,0.18148444497998228
9,0.3284,0.18391290959966966
10,0.3582,0.18634137421935704
11,0.4478,0.1887698388390444
12,0.4179,0.1911983034587318
13,0.4478,0.19362676807841916
14,0.3881,0.19605523269810654
15,0.2985,0.1984836973177939
16,0.3582,0.20091216193748127
17,0.2836,0.20334062655716864
18,0.3284,0.20576909117685602
19,0.2537,0.2081975557965434
20,0.2239,0.21062602041623077
21,0.2985,0.21305448503591815
22,0.3284,0.2154829496556055
23,0.194,0.21791141427529287
0,0.194,0.1620567280224833
1,0.1642,0.16448519264217068
2,0.1343,0.16691365726185806
3,0.1045,0.16934212188154543
5,0.0896,0.17419905112092016
6,0.0,0.17662751574060753
7,0.1642,0.1790559803602949
8,0.0,0.18148444497998228
9,0.1343,0.18391290959966966
10,0.194,0.18634137421935704
11,0.2836,0.1887698388390444
12,0.2537,0.1911983034587318
13,0.3881,0.19362676807841916
14,0.2836,0.19605523269810654
15,0.1642,0.1984836973177939
16,0.1045,0.20091216193748127
17,0.1642,0.20334062655716864
18,0.0,0.20576909117685602
19,0.0896,0.2081975557965434
20,0.0,0.21062602041623077
21,0.0,0.21305448503591815
22,0.0,0.2154829496556055
23,0.0,0.21791141427529287
0,0.0,0.1620567280224833
1,0.0896,0.16448519264217068
2,0.0896,0.16691365726185806
3,0.0,0.16934212188154543
4,0.0,0.1717705865012328
5,0.0,0.17419905112092016
6,0.1045,0.17662751574060753
7,0.0,0.1790559803602949
8,0.1343,0.18148444497998228
9,0.1343,0.18391290959966966
10,0.1642,0.18634137421935704
11,0.2239,0.1887698388390444
12,0.2239,0.1911983034587318
13,0.2985,0.19362676807841916
14,0.2836,0.19605523269810654
15,0.194,0.1984836973177939
16,0.194,0.20091216193748127
17,0.2836,0.20334062655716864
18,0.2537,0.20576909117685602
19,0.2537,0.2081975557965434
20,0.2537,0.21062602041623077
21,0.2239,0.21305448503591815
22,0.1045,0.2154829496556055
23,0.2836,0.21791141427529287
0,0.0,0.1620567280224833
1,0.1343,0.16448519264217068
2,0.0896,0.16691365726185806
3,0.0,0.16934212188154543
4,0.1642,0.1717705865012328
5,0.1642,0.17419905112092016
6,0.1642,0.17662751574060753
7,0.2985,0.1790559803602949
8,0.2836,0.18148444497998228
9,0.2537,0.18391290959966966
10,0.2836,0.18634137421935704
11,0.2537,0.1887698388390444
12,0.2836,0.1911983034587318
13,0.2985,0.19362676807841916
14,0.2537,0.19605523269810654
15,0.2537,0.1984836973177939
16,0.2239,0.20091216193748127
17,0.2537,0.20334062655716864
18,0.1642,0.20576909117685602
19,0.1343,0.2081975557965434
20,0.1642,0.21062602041623077
21,0.1642,0.21305448503591815
22,0.1343,0.2154829496556055
23,0.1045,0.21791141427529287
0,0.2239,0.1620567280224833
1,0.194,0.16448519264217068
2,0.2537,0.16691365726185806
3,0.194,0.16934212188154543
4,0.1343,0.1717705865012328
5,0.1642,0.17419905112092016
6,0.194,0.17662751574060753
7,0.1343,0.1790559803602949
8,0.2239,0.18148444497998228
9,0.2239,0.18391290959966966
10,0.2537,0.18634137421935704
11,0.194,0.1887698388390444
12,0.1343,0.1911983034587318
13,0.1343,0.19362676807841916
14,0.1045,0.19605523269810654
15,0.1642,0.1984836973177939
16,0.1642,0.20091216193748127
17,0.194,0.20334062655716864
18,0.2537,0.20576909117685602
19,0.194,0.2081975557965434
20,0.194,0.21062602041623077
21,0.194,0.21305448503591815
22,0.2537,0.2154829496556055
23,0.2836,0.21791141427529287
12,0.3284,0.1911983034587318
13,0.2239,0.19362676807841916
14,0.1642,0.19605523269810654
15,0.1642,0.1984836973177939
16,0.194,0.20091216193748127
17,0.194,0.20334062655716864
18,0.1642,0.20576909117685602
19,0.1343,0.2081975557965434
20,0.0,0.21062602041623077
21,0.1045,0.21305448503591815
22,0.0896,0.2154829496556055
23,0.0,0.21791141427529287
0,0.0,0.1620567280224833
1,0.1343,0.16448519264217068
