hum,casual,Predicted Y
0.81,3,19.46692279399383
0.8,8,20.35378566544871
0.8,5,20.35378566544871
0.75,3,24.788100022723157
0.75,0,24.788100022723157
0.75,0,24.788100022723157
0.8,2,20.35378566544871
0.86,1,15.0326084367194
0.75,1,24.788100022723157
0.76,8,23.901237151268262
0.76,12,23.901237151268262
0.81,26,19.46692279399383
0.77,29,23.01437427981338
0.72,47,27.448688637087812
0.72,35,27.448688637087812
0.77,40,23.01437427981338
0.82,41,18.58005992253895
0.82,15,18.58005992253895
0.88,9,13.258882693809625
0.88,6,13.258882693809625
0.87,11,14.14574556526452
0.87,3,14.14574556526452
0.94,11,7.937705465080313
0.88,15,13.258882693809625
0.88,4,13.258882693809625
0.94,1,7.937705465080313
1.0,1,2.6165282363509874
0.94,2,7.937705465080313
0.94,2,7.937705465080313
0.77,0,23.01437427981338
0.76,0,23.901237151268262
0.71,0,28.3355515085427
0.76,1,23.901237151268262
0.81,7,19.46692279399383
0.71,16,28.3355515085427
0.66,20,32.76986586581713
0.66,11,32.76986586581713
0.76,4,23.901237151268262
0.81,19,19.46692279399383
0.71,9,28.3355515085427
0.57,7,40.75163170891112
0.46,10,50.50712329491486
0.42,1,54.05457478073441
0.39,5,56.71516339509907
0.44,11,52.28084903782464
0.44,0,52.28084903782464
0.47,0,49.62026042345998
0.44,0,52.28084903782464
0.44,0,52.28084903782464
0.47,0,49.62026042345998
0.47,0,49.62026042345998
0.5,0,46.95967180909532
0.5,1,46.95967180909532
0.5,1,46.95967180909532
0.43,7,53.167711909279525
0.43,11,53.167711909279525
0.4,10,55.82830052364418
0.35,13,60.26261488091862
0.35,8,60.26261488091862
0.3,11,64.69692923819305
0.3,14,64.69692923819305
0.3,9,64.69692923819305
0.3,11,64.69692923819305
0.32,9,62.923203495283275
0.47,8,49.62026042345998
0.47,3,49.62026042345998
0.64,3,34.543591608726906
0.69,0,30.109277251452475
0.55,1,42.52535745182088
0.55,0,42.52535745182088
0.59,0,38.977905966001344
0.63,0,35.430454480181794
0.63,0,35.430454480181794
0.68,0,30.996140122907356
0.74,0,25.674962894178037
0.74,2,25.674962894178037
0.69,2,30.109277251452475
0.64,2,34.543591608726906
0.69,5,30.109277251452475
0.51,7,46.07280893764043
0.51,12,46.07280893764043
0.56,18,41.63849458036599
0.52,9,45.185946066185544
0.52,17,45.185946066185544
0.49,15,47.84653468055021
0.48,10,48.733397552005094
0.48,3,48.733397552005094
0.48,2,48.733397552005094
0.48,1,48.733397552005094
0.64,0,34.543591608726906
0.64,1,34.543591608726906
0.69,2,30.109277251452475
0.64,0,34.543591608726906
0.74,0,25.674962894178037
0.74,0,25.674962894178037
0.48,0,48.733397552005094
0.47,0,49.62026042345998
0.47,0,49.62026042345998
0.43,1,53.167711909279525
0.4,3,55.82830052364418
0.37,6,58.488889138008844
0.37,4,58.488889138008844
0.33,12,62.036340623828394
0.33,5,62.036340623828394
0.3,6,64.69692923819305
0.28,10,66.47065498110283
0.28,7,66.47065498110283
0.28,4,66.47065498110283
0.38,4,57.602026266553956
0.38,3,57.602026266553956
0.38,5,57.602026266553956
0.47,7,49.62026042345998
0.51,3,46.07280893764043
0.55,1,42.52535745182088
0.47,1,49.62026042345998
0.55,0,42.52535745182088
0.64,0,34.543591608726906
0.64,0,34.543591608726906
0.64,0,34.543591608726906
0.69,0,30.109277251452475
0.63,0,35.430454480181794
0.59,0,38.977905966001344
0.59,3,38.977905966001344
0.51,6,46.07280893764043
0.47,3,49.62026042345998
0.44,2,52.28084903782464
0.35,6,60.26261488091862
0.35,12,60.26261488091862
0.36,11,59.37575200946373
0.36,8,59.37575200946373
0.38,12,57.602026266553956
0.51,9,46.07280893764043
0.51,5,46.07280893764043
0.55,3,42.52535745182088
0.51,3,46.07280893764043
0.55,0,42.52535745182088
0.51,1,46.07280893764043
0.59,4,38.977905966001344
0.64,4,34.543591608726906
0.69,2,30.109277251452475
0.69,0,30.109277251452475
0.69,0,30.109277251452475
0.55,0,42.52535745182088
0.69,8,30.109277251452475
0.69,8,30.109277251452475
0.51,20,46.07280893764043
0.47,9,49.62026042345998
0.37,16,58.488889138008844
0.4,19,55.82830052364418
0.37,9,58.488889138008844
0.37,9,58.488889138008844
0.4,7,55.82830052364418
0.37,9,58.488889138008844
0.37,5,58.488889138008844
0.37,9,58.488889138008844
0.4,7,55.82830052364418
0.55,3,42.52535745182088
0.47,1,49.62026042345998
0.47,0,49.62026042345998
0.43,2,53.167711909279525
0.51,1,46.07280893764043
0.51,1,46.07280893764043
0.55,1,42.52535745182088
0.55,3,42.52535745182088
0.55,0,42.52535745182088
0.55,0,42.52535745182088
0.74,0,25.674962894178037
0.74,0,25.674962894178037
0.74,1,25.674962894178037
0.93,0,8.824568336535194
0.93,0,8.824568336535194
0.8,5,20.35378566544871
0.69,2,30.109277251452475
0.59,8,38.977905966001344
0.44,7,52.28084903782464
0.32,12,62.923203495283275
0.32,5,62.923203495283275
0.29,8,65.58379210964794
0.37,5,58.488889138008844
0.39,3,56.71516339509907
0.36,4,59.37575200946373
0.36,0,59.37575200946373
0.39,2,56.71516339509907
0.36,1,59.37575200946373
0.39,0,56.71516339509907
0.42,1,54.05457478073441
0.42,0,54.05457478073441
0.46,0,50.50712329491486
0.46,0,50.50712329491486
0.53,0,44.299083194730656
0.53,0,44.299083194730656
0.49,0,47.84653468055021
0.53,1,44.299083194730656
0.49,0,47.84653468055021
0.46,0,50.50712329491486
0.43,0,53.167711909279525
0.4,2,55.82830052364418
0.37,4,58.488889138008844
0.34,6,61.1494777523735
0.32,8,62.923203495283275
0.35,5,60.26261488091862
0.34,13,61.1494777523735
0.37,3,58.488889138008844
0.4,4,55.82830052364418
0.43,1,53.167711909279525
0.46,0,50.50712329491486
0.46,1,50.50712329491486
0.46,5,50.50712329491486
0.5,0,46.95967180909532
0.5,2,46.95967180909532
0.5,1,46.95967180909532
0.5,0,46.95967180909532
0.5,0,46.95967180909532
0.54,1,43.41222032327577
0.54,0,43.41222032327577
0.5,0,46.95967180909532
0.5,2,46.95967180909532
0.5,4,46.95967180909532
0.5,2,46.95967180909532
0.5,0,46.95967180909532
0.47,2,49.62026042345998
0.4,5,55.82830052364418
0.4,4,55.82830052364418
0.4,0,55.82830052364418
0.4,2,55.82830052364418
0.4,4,55.82830052364418
0.4,4,55.82830052364418
0.4,1,55.82830052364418
0.47,3,49.62026042345998
0.5,1,46.95967180909532
0.59,1,38.977905966001344
0.59,2,38.977905966001344
0.59,0,38.977905966001344
0.59,2,38.977905966001344
0.59,0,38.977905966001344
0.55,0,42.52535745182088
0.55,0,42.52535745182088
0.55,0,42.52535745182088
0.55,2,42.52535745182088
0.51,3,46.07280893764043
0.51,3,46.07280893764043
0.51,3,46.07280893764043
0.47,4,49.62026042345998
0.51,2,46.07280893764043
0.59,6,38.977905966001344
0.59,3,38.977905966001344
0.8,2,20.35378566544871
0.86,4,15.0326084367194
0.86,6,15.0326084367194
0.93,1,8.824568336535194
0.93,0,8.824568336535194
0.93,0,8.824568336535194
0.86,0,15.0326084367194
0.93,1,8.824568336535194
0.93,1,8.824568336535194
0.86,0,15.0326084367194
0.86,0,15.0326084367194
0.86,0,15.0326084367194
0.86,0,15.0326084367194
0.93,0,8.824568336535194
0.69,0,30.109277251452475
0.59,3,38.977905966001344
0.59,3,38.977905966001344
0.55,0,42.52535745182088
0.51,3,46.07280893764043
0.47,3,49.62026042345998
0.44,0,52.28084903782464
0.47,0,49.62026042345998
0.47,1,49.62026042345998
0.44,5,52.28084903782464
0.47,0,49.62026042345998
0.47,2,49.62026042345998
0.47,1,49.62026042345998
0.5,2,46.95967180909532
0.55,0,42.52535745182088
0.55,1,42.52535745182088
0.59,1,38.977905966001344
0.59,1,38.977905966001344
0.5,0,46.95967180909532
0.5,0,46.95967180909532
0.5,0,46.95967180909532
0.5,0,46.95967180909532
0.5,0,46.95967180909532
0.54,0,43.41222032327577
0.54,0,43.41222032327577
0.5,5,46.95967180909532
0.5,2,46.95967180909532
0.5,2,46.95967180909532
0.44,4,52.28084903782464
0.44,3,52.28084903782464
