hum,cnt,Predicted Y
0.81,16,133.97517825354748
0.8,40,137.0111008356429
0.8,32,137.0111008356429
0.75,13,152.1907137461199
0.75,1,152.1907137461199
0.75,1,152.1907137461199
0.8,2,137.0111008356429
0.86,3,118.7955653430705
0.75,8,152.1907137461199
0.76,14,149.15479116402452
0.76,36,149.15479116402452
0.81,56,133.97517825354748
0.77,84,146.1188685819291
0.72,94,161.29848149240613
0.72,106,161.29848149240613
0.77,110,146.1188685819291
0.82,93,130.93925567145212
0.82,67,130.93925567145212
0.88,35,112.72372017887972
0.88,37,112.72372017887972
0.87,36,115.75964276097511
0.87,34,115.75964276097511
0.94,28,94.50818468630735
0.88,39,112.72372017887972
0.88,17,112.72372017887972
0.94,17,94.50818468630735
1.0,9,76.29264919373492
0.94,6,94.50818468630735
0.94,3,94.50818468630735
0.77,2,146.1188685819291
0.76,1,149.15479116402452
0.71,8,164.33440407450152
0.76,20,149.15479116402452
0.81,53,133.97517825354748
0.71,70,164.33440407450152
0.66,93,179.5140169849785
0.66,75,179.5140169849785
0.76,59,149.15479116402452
0.81,74,133.97517825354748
0.71,76,164.33440407450152
0.57,65,206.8373202238371
0.46,53,240.2324686268865
0.42,30,252.37615895526812
0.39,22,261.4839267015543
0.44,31,246.3043137910773
0.44,9,246.3043137910773
0.47,8,237.19654604479112
0.44,5,246.3043137910773
0.44,2,246.3043137910773
0.47,1,237.19654604479112
0.47,3,237.19654604479112
0.5,30,228.0887782985049
0.5,64,228.0887782985049
0.5,154,228.0887782985049
0.43,88,249.3402363731727
0.43,44,249.3402363731727
0.4,51,258.4480041194589
0.35,61,273.6276170299359
0.35,61,273.6276170299359
0.3,77,288.8072299404129
0.3,72,288.8072299404129
0.3,76,288.8072299404129
0.3,157,288.8072299404129
0.32,157,282.7353847762221
0.47,110,237.19654604479112
0.47,52,237.19654604479112
0.64,52,185.58586214916932
0.69,20,170.40624923869234
0.55,12,212.9091653880279
0.55,5,212.9091653880279
0.59,2,200.76547505964632
0.63,1,188.6217847312647
0.63,2,188.6217847312647
0.68,4,173.4421718207877
0.74,36,155.2266363282153
0.74,94,155.2266363282153
0.69,179,170.40624923869234
0.64,100,185.58586214916932
0.69,42,170.40624923869234
0.51,57,225.0528557164095
0.51,78,225.0528557164095
0.56,97,209.87324280593248
0.52,63,222.0169331343141
0.52,65,222.0169331343141
0.49,83,231.1247008806003
0.48,212,234.16062346269572
0.48,182,234.16062346269572
0.48,112,234.16062346269572
0.48,54,234.16062346269572
0.64,48,185.58586214916932
0.64,35,185.58586214916932
0.69,11,170.40624923869234
0.64,6,185.58586214916932
0.74,6,155.2266363282153
0.74,2,155.2266363282153
0.48,2,234.16062346269572
0.47,3,237.19654604479112
0.47,33,237.19654604479112
0.43,88,249.3402363731727
0.4,195,258.4480041194589
0.37,115,267.5557718657451
0.37,57,267.5557718657451
0.33,46,279.6994621941267
0.33,79,279.6994621941267
0.3,71,288.8072299404129
0.28,62,294.87907510460366
0.28,62,294.87907510460366
0.28,89,294.87907510460366
0.38,190,264.5198492836497
0.38,169,264.5198492836497
0.38,132,264.5198492836497
0.47,89,237.19654604479112
0.51,43,225.0528557164095
0.55,42,212.9091653880279
0.47,19,237.19654604479112
0.55,11,212.9091653880279
0.64,4,185.58586214916932
0.64,2,185.58586214916932
0.64,1,185.58586214916932
0.69,4,170.40624923869234
0.63,36,188.6217847312647
0.59,95,200.76547505964632
0.59,219,200.76547505964632
0.51,122,225.0528557164095
0.47,45,237.19654604479112
0.44,59,246.3043137910773
0.35,84,273.6276170299359
0.35,67,273.6276170299359
0.36,70,270.5916944478405
0.36,62,270.5916944478405
0.38,86,264.5198492836497
0.51,172,225.0528557164095
0.51,163,225.0528557164095
0.55,112,212.9091653880279
0.51,69,225.0528557164095
0.55,48,212.9091653880279
0.51,52,225.0528557164095
0.59,23,200.76547505964632
0.64,17,185.58586214916932
0.69,7,170.40624923869234
0.69,1,170.40624923869234
0.69,1,170.40624923869234
0.55,5,212.9091653880279
0.69,34,170.40624923869234
0.69,84,170.40624923869234
0.51,210,225.0528557164095
0.47,134,237.19654604479112
0.37,63,267.5557718657451
0.4,67,258.4480041194589
0.37,59,267.5557718657451
0.37,73,267.5557718657451
0.4,50,258.4480041194589
0.37,72,267.5557718657451
0.37,87,267.5557718657451
0.37,187,267.5557718657451
0.4,123,258.4480041194589
0.55,95,212.9091653880279
0.47,51,237.19654604479112
0.47,39,237.19654604479112
0.43,36,249.3402363731727
0.51,15,225.0528557164095
0.51,25,225.0528557164095
0.55,16,212.9091653880279
0.55,16,212.9091653880279
0.55,7,212.9091653880279
0.55,1,212.9091653880279
0.74,5,155.2266363282153
0.74,2,155.2266363282153
0.74,9,155.2266363282153
0.93,15,97.54410726840268
0.93,20,97.54410726840268
0.8,61,137.0111008356429
0.69,62,170.40624923869234
0.59,98,200.76547505964632
0.44,102,246.3043137910773
0.32,95,282.7353847762221
0.32,74,282.7353847762221
0.29,76,291.8431525225083
0.37,69,267.5557718657451
0.39,55,261.4839267015543
0.36,30,270.5916944478405
0.36,28,270.5916944478405
0.39,37,261.4839267015543
0.36,34,270.5916944478405
0.39,22,261.4839267015543
0.42,25,252.37615895526812
0.42,12,252.37615895526812
0.46,11,240.2324686268865
0.46,4,240.2324686268865
0.53,1,218.9810105522187
0.53,1,218.9810105522187
0.49,1,231.1247008806003
0.53,6,218.9810105522187
0.49,10,231.1247008806003
0.46,19,240.2324686268865
0.43,49,249.3402363731727
0.4,49,258.4480041194589
0.37,83,267.5557718657451
0.34,75,276.6635396120313
0.32,72,282.7353847762221
0.35,82,273.6276170299359
0.34,92,276.6635396120313
0.37,62,267.5557718657451
0.4,48,258.4480041194589
0.43,41,249.3402363731727
0.46,38,240.2324686268865
0.46,20,240.2324686268865
0.46,15,240.2324686268865
0.5,6,228.0887782985049
0.5,5,228.0887782985049
0.5,1,228.0887782985049
0.5,3,228.0887782985049
0.5,1,228.0887782985049
0.54,3,215.9450879701233
0.54,3,215.9450879701233
0.5,31,228.0887782985049
0.5,77,228.0887782985049
0.5,188,228.0887782985049
0.5,94,228.0887782985049
0.5,31,228.0887782985049
0.47,30,237.19654604479112
0.4,52,258.4480041194589
0.4,54,258.4480041194589
