hum,hr,Predicted Y
0.81,0,9.735600147886087
0.8,1,9.834694100844764
0.8,2,9.834694100844764
0.75,3,10.330163865638152
0.75,4,10.330163865638152
0.75,5,10.330163865638152
0.8,6,9.834694100844764
0.86,7,9.240130383092701
0.75,8,10.330163865638152
0.76,9,10.231069912679475
0.76,10,10.231069912679475
0.81,11,9.735600147886087
0.77,12,10.131975959720798
0.72,13,10.627445724514185
0.72,14,10.627445724514185
0.77,15,10.131975959720798
0.82,16,9.63650619492741
0.82,17,9.63650619492741
0.88,18,9.041942477175345
0.88,19,9.041942477175345
0.87,20,9.141036430134024
0.87,21,9.141036430134024
0.94,22,8.447378759423282
0.88,23,9.041942477175345
0.88,0,9.041942477175345
0.94,1,8.447378759423282
1.0,2,7.852815041671217
0.94,3,8.447378759423282
0.94,4,8.447378759423282
0.77,6,10.131975959720798
0.76,7,10.231069912679475
0.71,8,10.72653967747286
0.76,9,10.231069912679475
0.81,10,9.735600147886087
0.71,11,10.72653967747286
0.66,12,11.222009442266248
0.66,13,11.222009442266248
0.76,14,10.231069912679475
0.81,15,9.735600147886087
0.71,16,10.72653967747286
0.57,17,12.113855018894345
0.46,18,13.203888501439796
0.42,19,13.600264313274506
0.39,20,13.897546172150538
0.44,21,13.40207640735715
0.44,22,13.40207640735715
0.47,23,13.10479454848112
0.44,0,13.40207640735715
0.44,1,13.40207640735715
0.47,4,13.10479454848112
0.47,5,13.10479454848112
0.5,6,12.807512689605087
0.5,7,12.807512689605087
0.5,8,12.807512689605087
0.43,9,13.501170360315829
0.43,10,13.501170360315829
0.4,11,13.79845221919186
0.35,12,14.293921983985248
0.35,13,14.293921983985248
0.3,14,14.789391748778634
0.3,15,14.789391748778634
0.3,16,14.789391748778634
0.3,17,14.789391748778634
0.32,18,14.59120384286128
0.47,19,13.10479454848112
0.47,20,13.10479454848112
0.64,21,11.420197348183603
0.69,22,10.924727583390217
0.55,23,12.3120429248117
0.55,0,12.3120429248117
0.59,1,11.91566711297699
0.63,2,11.519291301142282
0.63,4,11.519291301142282
0.68,5,11.023821536348894
0.74,6,10.42925781859683
0.74,7,10.42925781859683
0.69,8,10.924727583390217
0.64,9,11.420197348183603
0.69,10,10.924727583390217
0.51,11,12.70841873664641
0.51,12,12.70841873664641
0.56,13,12.212948971853022
0.52,14,12.609324783687732
0.52,15,12.609324783687732
0.49,16,12.906606642563764
0.48,17,13.005700595522441
0.48,18,13.005700595522441
0.48,19,13.005700595522441
0.48,20,13.005700595522441
0.64,21,11.420197348183603
0.64,22,11.420197348183603
0.69,23,10.924727583390217
0.64,0,11.420197348183603
0.74,1,10.42925781859683
0.74,2,10.42925781859683
0.48,4,13.005700595522441
0.47,5,13.10479454848112
0.47,6,13.10479454848112
0.43,7,13.501170360315829
0.4,8,13.79845221919186
0.37,9,14.095734078067892
0.37,10,14.095734078067892
0.33,11,14.492109889902602
0.33,12,14.492109889902602
0.3,13,14.789391748778634
0.28,14,14.987579654695988
0.28,15,14.987579654695988
0.28,16,14.987579654695988
0.38,17,13.996640125109217
0.38,18,13.996640125109217
0.38,19,13.996640125109217
0.47,20,13.10479454848112
0.51,21,12.70841873664641
0.55,22,12.3120429248117
0.47,23,13.10479454848112
0.55,0,12.3120429248117
0.64,1,11.420197348183603
0.64,2,11.420197348183603
0.64,4,11.420197348183603
0.69,5,10.924727583390217
0.63,6,11.519291301142282
0.59,7,11.91566711297699
0.59,8,11.91566711297699
0.51,9,12.70841873664641
0.47,10,13.10479454848112
0.44,11,13.40207640735715
0.35,12,14.293921983985248
0.35,13,14.293921983985248
0.36,14,14.19482803102657
0.36,15,14.19482803102657
0.38,16,13.996640125109217
0.51,17,12.70841873664641
0.51,18,12.70841873664641
0.55,19,12.3120429248117
0.51,20,12.70841873664641
0.55,21,12.3120429248117
0.51,22,12.70841873664641
0.59,23,11.91566711297699
0.64,0,11.420197348183603
0.69,1,10.924727583390217
0.69,2,10.924727583390217
0.69,4,10.924727583390217
0.55,5,12.3120429248117
0.69,6,10.924727583390217
0.69,7,10.924727583390217
0.51,8,12.70841873664641
0.47,9,13.10479454848112
0.37,10,14.095734078067892
0.4,11,13.79845221919186
0.37,12,14.095734078067892
0.37,13,14.095734078067892
0.4,14,13.79845221919186
0.37,15,14.095734078067892
0.37,16,14.095734078067892
0.37,17,14.095734078067892
0.4,18,13.79845221919186
0.55,19,12.3120429248117
0.47,20,13.10479454848112
0.47,21,13.10479454848112
0.43,22,13.501170360315829
0.51,23,12.70841873664641
0.51,0,12.70841873664641
0.55,1,12.3120429248117
0.55,2,12.3120429248117
0.55,3,12.3120429248117
0.55,4,12.3120429248117
0.74,5,10.42925781859683
0.74,6,10.42925781859683
0.74,7,10.42925781859683
0.93,8,8.54647271238196
0.93,9,8.54647271238196
0.8,10,9.834694100844764
0.69,11,10.924727583390217
0.59,12,11.91566711297699
0.44,13,13.40207640735715
0.32,14,14.59120384286128
0.32,15,14.59120384286128
0.29,16,14.888485701737313
0.37,17,14.095734078067892
0.39,18,13.897546172150538
0.36,19,14.19482803102657
0.36,20,14.19482803102657
0.39,21,13.897546172150538
0.36,22,14.19482803102657
0.39,23,13.897546172150538
0.42,0,13.600264313274506
0.42,1,13.600264313274506
0.46,2,13.203888501439796
0.46,3,13.203888501439796
0.53,4,12.510230830729054
0.53,5,12.510230830729054
0.49,6,12.906606642563764
0.53,7,12.510230830729054
0.49,8,12.906606642563764
0.46,9,13.203888501439796
0.43,10,13.501170360315829
0.4,11,13.79845221919186
0.37,12,14.095734078067892
0.34,13,14.393015936943925
0.32,14,14.59120384286128
0.35,15,14.293921983985248
0.34,16,14.393015936943925
0.37,17,14.095734078067892
0.4,18,13.79845221919186
0.43,19,13.501170360315829
0.46,20,13.203888501439796
0.46,21,13.203888501439796
0.46,22,13.203888501439796
0.5,23,12.807512689605087
0.5,0,12.807512689605087
0.5,1,12.807512689605087
0.5,2,12.807512689605087
0.5,3,12.807512689605087
0.54,4,12.411136877770378
0.54,5,12.411136877770378
0.5,6,12.807512689605087
0.5,7,12.807512689605087
0.5,8,12.807512689605087
0.5,9,12.807512689605087
0.5,10,12.807512689605087
0.47,11,13.10479454848112
0.4,12,13.79845221919186
0.4,13,13.79845221919186
0.4,14,13.79845221919186
0.4,15,13.79845221919186
0.4,16,13.79845221919186
0.4,17,13.79845221919186
0.4,18,13.79845221919186
0.47,19,13.10479454848112
0.5,20,12.807512689605087
0.59,21,11.91566711297699
0.59,22,11.91566711297699
0.59,23,11.91566711297699
0.59,0,11.91566711297699
0.59,1,11.91566711297699
0.55,2,12.3120429248117
0.55,5,12.3120429248117
0.55,6,12.3120429248117
0.55,7,12.3120429248117
0.51,8,12.70841873664641
0.51,9,12.70841873664641
0.51,10,12.70841873664641
0.47,11,13.10479454848112
0.51,12,12.70841873664641
0.59,13,11.91566711297699
0.59,14,11.91566711297699
0.8,15,9.834694100844764
0.86,16,9.240130383092701
0.86,17,9.240130383092701
0.93,18,8.54647271238196
0.93,19,8.54647271238196
0.93,20,8.54647271238196
0.86,21,9.240130383092701
0.93,22,8.54647271238196
0.93,23,8.54647271238196
0.86,0,9.240130383092701
0.86,1,9.240130383092701
0.86,2,9.240130383092701
0.86,5,9.240130383092701
0.93,6,8.54647271238196
0.69,7,10.924727583390217
0.59,8,11.91566711297699
0.59,9,11.91566711297699
0.55,10,12.3120429248117
0.51,11,12.70841873664641
0.47,12,13.10479454848112
0.44,13,13.40207640735715
0.47,14,13.10479454848112
0.47,15,13.10479454848112
0.44,16,13.40207640735715
0.47,17,13.10479454848112
0.47,18,13.10479454848112
0.47,19,13.10479454848112
0.5,20,12.807512689605087
0.55,21,12.3120429248117
0.55,22,12.3120429248117
0.59,23,11.91566711297699
0.59,0,11.91566711297699
0.5,1,12.807512689605087
0.5,2,12.807512689605087
0.5,3,12.807512689605087
0.5,4,12.807512689605087
0.5,5,12.807512689605087
0.54,6,12.411136877770378
0.54,7,12.411136877770378
0.5,8,12.807512689605087
0.5,9,12.807512689605087
0.5,10,12.807512689605087
0.44,11,13.40207640735715
0.44,12,13.40207640735715
0.41,13,13.699358266233183
0.41,14,13.699358266233183
0.38,15,13.996640125109217
0.38,16,13.996640125109217
0.4,17,13.79845221919186
0.4,18,13.79845221919186
0.47,19,13.10479454848112
0.47,20,13.10479454848112
0.46,21,13.203888501439796
0.46,22,13.203888501439796
0.5,23,12.807512689605087
0.5,0,12.807512689605087
0.54,1,12.411136877770378
0.54,2,12.411136877770378
0.54,3,12.411136877770378
0.54,5,12.411136877770378
0.54,6,12.411136877770378
0.74,7,10.42925781859683
0.68,8,11.023821536348894
0.69,9,10.924727583390217
0.55,10,12.3120429248117
0.51,11,12.70841873664641
0.44,12,13.40207640735715
0.37,13,14.095734078067892
0.41,14,13.699358266233183
0.38,15,13.996640125109217
0.41,16,13.699358266233183
0.41,17,13.699358266233183
0.47,18,13.10479454848112
0.59,19,11.91566711297699
0.59,20,11.91566711297699
0.69,21,10.924727583390217
0.69,22,10.924727583390217
0.55,23,12.3120429248117
0.55,0,12.3120429248117
0.59,1,11.91566711297699
0.59,2,11.91566711297699
0.59,3,11.91566711297699
0.59,4,11.91566711297699
0.59,5,11.91566711297699
0.63,6,11.519291301142282
0.63,7,11.519291301142282
0.63,8,11.519291301142282
0.64,9,11.420197348183603
0.59,10,11.91566711297699
0.55,11,12.3120429248117
0.48,12,13.005700595522441
0.38,13,13.996640125109217
0.39,14,13.897546172150538
0.36,15,14.19482803102657
0.34,16,14.393015936943925
0.36,17,14.19482803102657
0.45,18,13.302982454398474
0.39,19,13.897546172150538
0.39,20,13.897546172150538
0.39,21,13.897546172150538
0.42,22,13.600264313274506
0.45,23,13.302982454398474
0.56,0,12.212948971853022
0.56,1,12.212948971853022
0.56,2,12.212948971853022
0.69,3,10.924727583390217
0.56,4,12.212948971853022
0.56,5,12.212948971853022
0.56,6,12.212948971853022
0.56,7,12.212948971853022
0.55,8,12.3120429248117
0.51,9,12.70841873664641
0.51,10,12.70841873664641
0.44,11,13.40207640735715
0.41,12,13.699358266233183
0.35,13,14.293921983985248
0.36,14,14.19482803102657
0.38,15,13.996640125109217
0.38,16,13.996640125109217
0.37,17,14.095734078067892
0.4,18,13.79845221919186
0.47,19,13.10479454848112
0.47,20,13.10479454848112
0.51,21,12.70841873664641
0.49,22,12.906606642563764
0.4,23,13.79845221919186
0.47,0,13.10479454848112
0.44,1,13.40207640735715
0.43,2,13.501170360315829
0.43,3,13.501170360315829
0.43,4,13.501170360315829
0.43,5,13.501170360315829
0.43,6,13.501170360315829
0.5,7,12.807512689605087
0.47,8,13.10479454848112
0.47,9,13.10479454848112
0.5,10,12.807512689605087
0.55,11,12.3120429248117
0.47,12,13.10479454848112
0.47,13,13.10479454848112
0.43,14,13.501170360315829
0.47,15,13.10479454848112
0.47,16,13.10479454848112
0.51,17,12.70841873664641
0.55,18,12.3120429248117
0.59,19,11.91566711297699
0.8,20,9.834694100844764
0.8,21,9.834694100844764
0.93,22,8.54647271238196
0.86,23,9.240130383092701
0.86,12,9.240130383092701
0.86,13,9.240130383092701
0.8,14,9.834694100844764
0.87,15,9.141036430134024
0.87,16,9.141036430134024
0.82,17,9.63650619492741
0.8,18,9.834694100844764
0.8,19,9.834694100844764
0.87,20,9.141036430134024
0.93,21,8.54647271238196
0.93,22,8.54647271238196
0.93,23,8.54647271238196
0.93,0,8.54647271238196
0.93,1,8.54647271238196
0.93,2,8.54647271238196
0.93,4,8.54647271238196
0.93,5,8.54647271238196
0.93,6,8.54647271238196
0.92,7,8.645566665340636
0.93,8,8.54647271238196
0.93,9,8.54647271238196
0.93,10,8.54647271238196
0.87,11,9.141036430134024
0.81,12,9.735600147886087
0.62,13,11.618385254100957
0.58,14,12.01476106593567
