hum,instant,Predicted Y
0.81,1,8735.517056773433
0.8,2,8733.026671713505
0.8,3,8733.026671713505
0.75,4,8720.574746413862
0.75,5,8720.574746413862
0.75,6,8720.574746413862
0.8,7,8733.026671713505
0.86,8,8747.968982073075
0.75,9,8720.574746413862
0.76,10,8723.065131473792
0.76,11,8723.065131473792
0.81,12,8735.517056773433
0.77,13,8725.55551653372
0.72,14,8713.103591234078
0.72,15,8713.103591234078
0.77,16,8725.55551653372
0.82,17,8738.00744183336
0.82,18,8738.00744183336
0.88,19,8752.949752192932
0.88,20,8752.949752192932
0.87,21,8750.459367133004
0.87,22,8750.459367133004
0.94,23,8767.892062552502
0.88,24,8752.949752192932
0.88,25,8752.949752192932
0.94,26,8767.892062552502
1.0,27,8782.834372912072
0.94,28,8767.892062552502
0.94,29,8767.892062552502
0.77,30,8725.55551653372
0.76,31,8723.065131473792
0.71,32,8710.61320617415
0.76,33,8723.065131473792
0.81,34,8735.517056773433
0.71,35,8710.61320617415
0.66,36,8698.161280874509
0.66,37,8698.161280874509
0.76,38,8723.065131473792
0.81,39,8735.517056773433
0.71,40,8710.61320617415
0.57,41,8675.747815335153
0.46,42,8648.35357967594
0.42,43,8638.392039436227
0.39,44,8630.920884256442
0.44,45,8643.372809556084
0.44,46,8643.372809556084
0.47,47,8650.843964735868
0.44,48,8643.372809556084
0.44,49,8643.372809556084
0.47,50,8650.843964735868
0.47,51,8650.843964735868
0.5,52,8658.315119915655
0.5,53,8658.315119915655
0.5,54,8658.315119915655
0.43,55,8640.882424496156
0.43,56,8640.882424496156
0.4,57,8633.41126931637
0.35,58,8620.959344016728
0.35,59,8620.959344016728
0.3,60,8608.507418717087
0.3,61,8608.507418717087
0.3,62,8608.507418717087
0.3,63,8608.507418717087
0.32,64,8613.488188836944
0.47,65,8650.843964735868
0.47,66,8650.843964735868
0.64,67,8693.180510754652
0.69,68,8705.632436054293
0.55,69,8670.767045215296
0.55,70,8670.767045215296
0.59,71,8680.728585455008
0.63,72,8690.690125694722
0.63,73,8690.690125694722
0.68,74,8703.142050994364
0.74,75,8718.084361353935
0.74,76,8718.084361353935
0.69,77,8705.632436054293
0.64,78,8693.180510754652
0.69,79,8705.632436054293
0.51,80,8660.805504975582
0.51,81,8660.805504975582
0.56,82,8673.257430275224
0.52,83,8663.29589003551
0.52,84,8663.29589003551
0.49,85,8655.824734855725
0.48,86,8653.334349795798
0.48,87,8653.334349795798
0.48,88,8653.334349795798
0.48,89,8653.334349795798
0.64,90,8693.180510754652
0.64,91,8693.180510754652
0.69,92,8705.632436054293
0.64,93,8693.180510754652
0.74,94,8718.084361353935
0.74,95,8718.084361353935
0.48,96,8653.334349795798
0.47,97,8650.843964735868
0.47,98,8650.843964735868
0.43,99,8640.882424496156
0.4,100,8633.41126931637
0.37,101,8625.940114136585
0.37,102,8625.940114136585
0.33,103,8615.978573896871
0.33,104,8615.978573896871
0.3,105,8608.507418717087
0.28,106,8603.52664859723
0.28,107,8603.52664859723
0.28,108,8603.52664859723
0.38,109,8628.430499196513
0.38,110,8628.430499196513
0.38,111,8628.430499196513
0.47,112,8650.843964735868
0.51,113,8660.805504975582
0.55,114,8670.767045215296
0.47,115,8650.843964735868
0.55,116,8670.767045215296
0.64,117,8693.180510754652
0.64,118,8693.180510754652
0.64,119,8693.180510754652
0.69,120,8705.632436054293
0.63,121,8690.690125694722
0.59,122,8680.728585455008
0.59,123,8680.728585455008
0.51,124,8660.805504975582
0.47,125,8650.843964735868
0.44,126,8643.372809556084
0.35,127,8620.959344016728
0.35,128,8620.959344016728
0.36,129,8623.449729076658
0.36,130,8623.449729076658
0.38,131,8628.430499196513
0.51,132,8660.805504975582
0.51,133,8660.805504975582
0.55,134,8670.767045215296
0.51,135,8660.805504975582
0.55,136,8670.767045215296
0.51,137,8660.805504975582
0.59,138,8680.728585455008
0.64,139,8693.180510754652
0.69,140,8705.632436054293
0.69,141,8705.632436054293
0.69,142,8705.632436054293
0.55,143,8670.767045215296
0.69,144,8705.632436054293
0.69,145,8705.632436054293
0.51,146,8660.805504975582
0.47,147,8650.843964735868
0.37,148,8625.940114136585
0.4,149,8633.41126931637
0.37,150,8625.940114136585
0.37,151,8625.940114136585
0.4,152,8633.41126931637
0.37,153,8625.940114136585
0.37,154,8625.940114136585
0.37,155,8625.940114136585
0.4,156,8633.41126931637
0.55,157,8670.767045215296
0.47,158,8650.843964735868
0.47,159,8650.843964735868
0.43,160,8640.882424496156
0.51,161,8660.805504975582
0.51,162,8660.805504975582
0.55,163,8670.767045215296
0.55,164,8670.767045215296
0.55,165,8670.767045215296
0.55,166,8670.767045215296
0.74,167,8718.084361353935
0.74,168,8718.084361353935
0.74,169,8718.084361353935
0.93,170,8765.401677492573
0.93,171,8765.401677492573
0.8,172,8733.026671713505
0.69,173,8705.632436054293
0.59,174,8680.728585455008
0.44,175,8643.372809556084
0.32,176,8613.488188836944
0.32,177,8613.488188836944
0.29,178,8606.01703365716
0.37,179,8625.940114136585
0.39,180,8630.920884256442
0.36,181,8623.449729076658
0.36,182,8623.449729076658
0.39,183,8630.920884256442
0.36,184,8623.449729076658
0.39,185,8630.920884256442
0.42,186,8638.392039436227
0.42,187,8638.392039436227
0.46,188,8648.35357967594
0.46,189,8648.35357967594
0.53,190,8665.78627509544
0.53,191,8665.78627509544
0.49,192,8655.824734855725
0.53,193,8665.78627509544
0.49,194,8655.824734855725
0.46,195,8648.35357967594
0.43,196,8640.882424496156
0.4,197,8633.41126931637
0.37,198,8625.940114136585
0.34,199,8618.4689589568
0.32,200,8613.488188836944
0.35,201,8620.959344016728
0.34,202,8618.4689589568
0.37,203,8625.940114136585
0.4,204,8633.41126931637
0.43,205,8640.882424496156
0.46,206,8648.35357967594
0.46,207,8648.35357967594
0.46,208,8648.35357967594
0.5,209,8658.315119915655
0.5,210,8658.315119915655
0.5,211,8658.315119915655
0.5,212,8658.315119915655
0.5,213,8658.315119915655
0.54,214,8668.276660155367
0.54,215,8668.276660155367
0.5,216,8658.315119915655
0.5,217,8658.315119915655
0.5,218,8658.315119915655
0.5,219,8658.315119915655
0.5,220,8658.315119915655
0.47,221,8650.843964735868
0.4,222,8633.41126931637
0.4,223,8633.41126931637
0.4,224,8633.41126931637
0.4,225,8633.41126931637
0.4,226,8633.41126931637
0.4,227,8633.41126931637
0.4,228,8633.41126931637
0.47,229,8650.843964735868
0.5,230,8658.315119915655
0.59,231,8680.728585455008
0.59,232,8680.728585455008
0.59,233,8680.728585455008
0.59,234,8680.728585455008
0.59,235,8680.728585455008
0.55,236,8670.767045215296
0.55,237,8670.767045215296
0.55,238,8670.767045215296
0.55,239,8670.767045215296
0.51,240,8660.805504975582
0.51,241,8660.805504975582
0.51,242,8660.805504975582
0.47,243,8650.843964735868
0.51,244,8660.805504975582
0.59,245,8680.728585455008
0.59,246,8680.728585455008
0.8,247,8733.026671713505
0.86,248,8747.968982073075
0.86,249,8747.968982073075
0.93,250,8765.401677492573
0.93,251,8765.401677492573
0.93,252,8765.401677492573
0.86,253,8747.968982073075
0.93,254,8765.401677492573
0.93,255,8765.401677492573
0.86,256,8747.968982073075
0.86,257,8747.968982073075
0.86,258,8747.968982073075
0.86,259,8747.968982073075
0.93,260,8765.401677492573
0.69,261,8705.632436054293
0.59,262,8680.728585455008
0.59,263,8680.728585455008
0.55,264,8670.767045215296
0.51,265,8660.805504975582
0.47,266,8650.843964735868
0.44,267,8643.372809556084
0.47,268,8650.843964735868
0.47,269,8650.843964735868
0.44,270,8643.372809556084
0.47,271,8650.843964735868
0.47,272,8650.843964735868
0.47,273,8650.843964735868
0.5,274,8658.315119915655
0.55,275,8670.767045215296
0.55,276,8670.767045215296
0.59,277,8680.728585455008
0.59,278,8680.728585455008
0.5,279,8658.315119915655
0.5,280,8658.315119915655
0.5,281,8658.315119915655
0.5,282,8658.315119915655
0.5,283,8658.315119915655
0.54,284,8668.276660155367
0.54,285,8668.276660155367
0.5,286,8658.315119915655
0.5,287,8658.315119915655
0.5,288,8658.315119915655
0.44,289,8643.372809556084
0.44,290,8643.372809556084
0.41,291,8635.9016543763
0.41,292,8635.9016543763
0.38,293,8628.430499196513
0.38,294,8628.430499196513
0.4,295,8633.41126931637
0.4,296,8633.41126931637
0.47,297,8650.843964735868
0.47,298,8650.843964735868
0.46,299,8648.35357967594
0.46,300,8648.35357967594
0.5,301,8658.315119915655
0.5,302,8658.315119915655
0.54,303,8668.276660155367
0.54,304,8668.276660155367
0.54,305,8668.276660155367
0.54,306,8668.276660155367
0.54,307,8668.276660155367
0.74,308,8718.084361353935
0.68,309,8703.142050994364
0.69,310,8705.632436054293
0.55,311,8670.767045215296
0.51,312,8660.805504975582
0.44,313,8643.372809556084
0.37,314,8625.940114136585
0.41,315,8635.9016543763
0.38,316,8628.430499196513
0.41,317,8635.9016543763
0.41,318,8635.9016543763
0.47,319,8650.843964735868
0.59,320,8680.728585455008
0.59,321,8680.728585455008
0.69,322,8705.632436054293
0.69,323,8705.632436054293
0.55,324,8670.767045215296
0.55,325,8670.767045215296
0.59,326,8680.728585455008
0.59,327,8680.728585455008
0.59,328,8680.728585455008
0.59,329,8680.728585455008
0.59,330,8680.728585455008
0.63,331,8690.690125694722
0.63,332,8690.690125694722
0.63,333,8690.690125694722
0.64,334,8693.180510754652
0.59,335,8680.728585455008
0.55,336,8670.767045215296
0.48,337,8653.334349795798
0.38,338,8628.430499196513
0.39,339,8630.920884256442
0.36,340,8623.449729076658
0.34,341,8618.4689589568
0.36,342,8623.449729076658
0.45,343,8645.863194616011
0.39,344,8630.920884256442
0.39,345,8630.920884256442
0.39,346,8630.920884256442
0.42,347,8638.392039436227
0.45,348,8645.863194616011
0.56,349,8673.257430275224
0.56,350,8673.257430275224
0.56,351,8673.257430275224
0.69,352,8705.632436054293
0.56,353,8673.257430275224
0.56,354,8673.257430275224
0.56,355,8673.257430275224
0.56,356,8673.257430275224
0.55,357,8670.767045215296
0.51,358,8660.805504975582
0.51,359,8660.805504975582
0.44,360,8643.372809556084
0.41,361,8635.9016543763
0.35,362,8620.959344016728
0.36,363,8623.449729076658
0.38,364,8628.430499196513
0.38,365,8628.430499196513
0.37,366,8625.940114136585
0.4,367,8633.41126931637
