hum,windspeed,Predicted Y
0.81,0.0,0.15647490338699052
0.8,0.0,0.15831450996440735
0.8,0.0,0.15831450996440735
0.75,0.0,0.1675125428514915
0.75,0.0,0.1675125428514915
0.75,0.0896,0.1675125428514915
0.8,0.0,0.15831450996440735
0.86,0.0,0.1472768704999064
0.75,0.0,0.1675125428514915
0.76,0.0,0.16567293627407467
0.76,0.2537,0.16567293627407467
0.81,0.2836,0.15647490338699052
0.77,0.2836,0.16383332969665784
0.72,0.2985,0.173031362583742
0.72,0.2836,0.173031362583742
0.77,0.2985,0.16383332969665784
0.82,0.2985,0.15463529680957372
0.82,0.2836,0.15463529680957372
0.88,0.2537,0.14359765734507277
0.88,0.2537,0.14359765734507277
0.87,0.2537,0.14543726392248957
0.87,0.194,0.14543726392248957
0.94,0.2239,0.1325600178805718
0.88,0.2985,0.14359765734507277
0.88,0.2985,0.14359765734507277
0.94,0.2537,0.1325600178805718
1.0,0.2836,0.12152237841607083
0.94,0.194,0.1325600178805718
0.94,0.194,0.1325600178805718
0.77,0.2985,0.16383332969665784
0.76,0.194,0.16567293627407467
0.71,0.2239,0.17487096916115882
0.76,0.2239,0.16567293627407467
0.81,0.2239,0.15647490338699052
0.71,0.2537,0.17487096916115882
0.66,0.2985,0.18406900204824295
0.66,0.1343,0.18406900204824295
0.76,0.194,0.16567293627407467
0.81,0.1642,0.15647490338699052
0.71,0.1642,0.17487096916115882
0.57,0.194,0.2006254612449944
0.46,0.3284,0.2208611335965795
0.42,0.4478,0.2282195599062468
0.39,0.3582,0.23373837963849725
0.44,0.3284,0.22454034675141316
0.44,0.2985,0.22454034675141316
0.47,0.1642,0.21902152701916267
0.44,0.3582,0.22454034675141316
0.44,0.4179,0.22454034675141316
0.47,0.3881,0.21902152701916267
0.47,0.2836,0.21902152701916267
0.5,0.3881,0.21350270728691217
0.5,0.194,0.21350270728691217
0.5,0.2836,0.21350270728691217
0.43,0.3881,0.22637995332882996
0.43,0.2537,0.22637995332882996
0.4,0.3284,0.23189877306108042
0.35,0.2985,0.24109680594816457
0.35,0.2836,0.24109680594816457
0.3,0.2836,0.2502948388352487
0.3,0.2537,0.2502948388352487
0.3,0.2537,0.2502948388352487
0.3,0.2239,0.2502948388352487
0.32,0.1045,0.24661562568041506
0.47,0.0,0.21902152701916267
0.47,0.1045,0.21902152701916267
0.64,0.1343,0.1877482152030766
0.69,0.1343,0.17855018231599248
0.55,0.1045,0.20430467439982802
0.55,0.1045,0.20430467439982802
0.59,0.1045,0.19694624809016076
0.63,0.1343,0.18958782178049344
0.63,0.0896,0.18958782178049344
0.68,0.1045,0.1803897888934093
0.74,0.1045,0.16935214942890833
0.74,0.1343,0.16935214942890833
0.69,0.1642,0.17855018231599248
0.64,0.2239,0.1877482152030766
0.69,0.3284,0.17855018231599248
0.51,0.2985,0.21166310070949534
0.51,0.1642,0.21166310070949534
0.56,0.194,0.2024650678224112
0.52,0.2239,0.20982349413207851
0.52,0.2537,0.20982349413207851
0.49,0.2537,0.215342313864329
0.48,0.2239,0.21718192044174583
0.48,0.194,0.21718192044174583
0.48,0.1045,0.21718192044174583
0.48,0.1045,0.21718192044174583
0.64,0.0,0.1877482152030766
0.64,0.0896,0.1877482152030766
0.69,0.0896,0.17855018231599248
0.64,0.0,0.1877482152030766
0.74,0.0896,0.16935214942890833
0.74,0.0896,0.16935214942890833
0.48,0.2239,0.21718192044174583
0.47,0.1642,0.21902152701916267
0.47,0.2239,0.21902152701916267
0.43,0.194,0.22637995332882996
0.4,0.2985,0.23189877306108042
0.37,0.3284,0.2374175927933309
0.37,0.3284,0.2374175927933309
0.33,0.3284,0.24477601910299823
0.33,0.3284,0.24477601910299823
0.3,0.2985,0.2502948388352487
0.28,0.194,0.2539740519900824
0.28,0.194,0.2539740519900824
0.28,0.0896,0.2539740519900824
0.38,0.194,0.23557798621591408
0.38,0.1343,0.23557798621591408
0.38,0.1045,0.23557798621591408
0.47,0.1642,0.21902152701916267
0.51,0.194,0.21166310070949534
0.55,0.1343,0.20430467439982802
0.47,0.0,0.21902152701916267
0.55,0.0,0.20430467439982802
0.64,0.0,0.1877482152030766
0.64,0.0,0.1877482152030766
0.64,0.0896,0.1877482152030766
0.69,0.0896,0.17855018231599248
0.63,0.1045,0.18958782178049344
0.59,0.0,0.19694624809016076
0.59,0.0,0.19694624809016076
0.51,0.0,0.21166310070949534
0.47,0.0,0.21902152701916267
0.44,0.0896,0.22454034675141316
0.35,0.0,0.24109680594816457
0.35,0.1045,0.24109680594816457
0.36,0.1642,0.23925719937074774
0.36,0.0,0.23925719937074774
0.38,0.1642,0.23557798621591408
0.51,0.1642,0.21166310070949534
0.51,0.1343,0.21166310070949534
0.55,0.0896,0.20430467439982802
0.51,0.1642,0.21166310070949534
0.55,0.2239,0.20430467439982802
0.51,0.2836,0.21166310070949534
0.59,0.194,0.19694624809016076
0.64,0.194,0.1877482152030766
0.69,0.2239,0.17855018231599248
0.69,0.2239,0.17855018231599248
0.69,0.1343,0.17855018231599248
0.55,0.0,0.20430467439982802
0.69,0.0,0.17855018231599248
0.69,0.1343,0.17855018231599248
0.51,0.2537,0.21166310070949534
0.47,0.2985,0.21902152701916267
0.37,0.3284,0.2374175927933309
0.4,0.2239,0.23189877306108042
0.37,0.2537,0.2374175927933309
0.37,0.2836,0.2374175927933309
0.4,0.2537,0.23189877306108042
0.37,0.1642,0.2374175927933309
0.37,0.1642,0.2374175927933309
0.37,0.0,0.2374175927933309
0.4,0.0896,0.23189877306108042
0.55,0.0896,0.20430467439982802
0.47,0.1045,0.21902152701916267
0.47,0.1343,0.21902152701916267
0.43,0.1642,0.22637995332882996
0.51,0.1642,0.21166310070949534
0.51,0.1642,0.21166310070949534
0.55,0.0896,0.20430467439982802
0.55,0.0,0.20430467439982802
0.55,0.1642,0.20430467439982802
0.55,0.1642,0.20430467439982802
0.74,0.1642,0.16935214942890833
0.74,0.1642,0.16935214942890833
0.74,0.1045,0.16935214942890833
0.93,0.1045,0.13439962445798861
0.93,0.1045,0.13439962445798861
0.8,0.1642,0.15831450996440735
0.69,0.3881,0.17855018231599248
0.59,0.3582,0.19694624809016076
0.44,0.3284,0.22454034675141316
0.32,0.4925,0.24661562568041506
0.32,0.4478,0.24661562568041506
0.29,0.4478,0.25213444541266555
0.37,0.5522,0.2374175927933309
0.39,0.2985,0.23373837963849725
0.36,0.2537,0.23925719937074774
0.36,0.2537,0.23925719937074774
0.39,0.3582,0.23373837963849725
0.36,0.3881,0.23925719937074774
0.39,0.4478,0.23373837963849725
0.42,0.3881,0.2282195599062468
0.42,0.4627,0.2282195599062468
0.46,0.4627,0.2208611335965795
0.46,0.4179,0.2208611335965795
0.53,0.194,0.20798388755466168
0.53,0.194,0.20798388755466168
0.49,0.2836,0.215342313864329
0.53,0.194,0.20798388755466168
0.49,0.2836,0.215342313864329
0.46,0.5224,0.2208611335965795
0.43,0.3881,0.22637995332882996
0.4,0.5224,0.23189877306108042
0.37,0.4478,0.2374175927933309
0.34,0.4478,0.2429364125255814
0.32,0.4627,0.24661562568041506
0.35,0.3582,0.24109680594816457
0.34,0.4478,0.2429364125255814
0.37,0.3881,0.2374175927933309
0.4,0.3284,0.23189877306108042
0.43,0.3284,0.22637995332882996
0.46,0.2537,0.2208611335965795
0.46,0.4179,0.2208611335965795
0.46,0.2985,0.2208611335965795
0.5,0.194,0.21350270728691217
0.5,0.2836,0.21350270728691217
0.5,0.2836,0.21350270728691217
0.5,0.2239,0.21350270728691217
0.5,0.2239,0.21350270728691217
0.54,0.1343,0.20614428097724485
0.54,0.2537,0.20614428097724485
0.5,0.2836,0.21350270728691217
0.5,0.2239,0.21350270728691217
0.5,0.2836,0.21350270728691217
0.5,0.2537,0.21350270728691217
0.5,0.2985,0.21350270728691217
0.47,0.2836,0.21902152701916267
0.4,0.2836,0.23189877306108042
0.4,0.2836,0.23189877306108042
0.4,0.2239,0.23189877306108042
0.4,0.2239,0.23189877306108042
0.4,0.1343,0.23189877306108042
0.4,0.1045,0.23189877306108042
0.4,0.2239,0.23189877306108042
0.47,0.1642,0.21902152701916267
0.5,0.1642,0.21350270728691217
0.59,0.194,0.19694624809016076
0.59,0.1642,0.19694624809016076
0.59,0.1642,0.19694624809016076
0.59,0.1045,0.19694624809016076
0.59,0.1642,0.19694624809016076
0.55,0.194,0.20430467439982802
0.55,0.1343,0.20430467439982802
0.55,0.1343,0.20430467439982802
0.55,0.0,0.20430467439982802
0.51,0.0896,0.21166310070949534
