instant,hr,Predicted Y
1,0,11.60393055359394
2,1,11.603923973006223
3,2,11.603917392418506
4,3,11.603910811830788
5,4,11.603904231243071
6,5,11.603897650655354
7,6,11.603891070067636
8,7,11.603884489479919
9,8,11.603877908892201
10,9,11.603871328304484
11,10,11.603864747716766
12,11,11.603858167129049
13,12,11.603851586541332
14,13,11.603845005953614
15,14,11.603838425365897
16,15,11.60383184477818
17,16,11.603825264190462
18,17,11.603818683602745
19,18,11.603812103015027
20,19,11.60380552242731
21,20,11.603798941839592
22,21,11.603792361251875
23,22,11.603785780664158
24,23,11.60377920007644
25,0,11.603772619488723
26,1,11.603766038901005
27,2,11.603759458313288
28,3,11.60375287772557
29,4,11.603746297137853
30,6,11.603739716550136
31,7,11.603733135962418
32,8,11.6037265553747
33,9,11.603719974786983
34,10,11.603713394199266
35,11,11.603706813611549
36,12,11.603700233023831
37,13,11.603693652436114
38,14,11.603687071848396
39,15,11.603680491260679
40,16,11.603673910672962
41,17,11.603667330085244
42,18,11.603660749497527
43,19,11.60365416890981
44,20,11.603647588322092
45,21,11.603641007734375
46,22,11.603634427146657
47,23,11.603627846558942
48,0,11.603621265971224
49,1,11.603614685383507
50,4,11.60360810479579
51,5,11.603601524208072
52,6,11.603594943620354
53,7,11.603588363032637
54,8,11.60358178244492
55,9,11.603575201857202
56,10,11.603568621269485
57,11,11.603562040681767
58,12,11.60355546009405
59,13,11.603548879506333
60,14,11.603542298918615
61,15,11.603535718330898
62,16,11.60352913774318
63,17,11.603522557155463
64,18,11.603515976567746
65,19,11.603509395980028
66,20,11.60350281539231
67,21,11.603496234804593
68,22,11.603489654216876
69,23,11.603483073629159
70,0,11.603476493041441
71,1,11.603469912453724
72,2,11.603463331866006
73,4,11.603456751278289
74,5,11.603450170690571
75,6,11.603443590102854
76,7,11.603437009515137
77,8,11.60343042892742
78,9,11.603423848339702
79,10,11.603417267751984
80,11,11.603410687164267
81,12,11.60340410657655
82,13,11.603397525988832
83,14,11.603390945401115
84,15,11.603384364813397
85,16,11.60337778422568
86,17,11.603371203637963
