instant,hum,Predicted Y
1,0.81,0.6240288998712935
2,0.8,0.62402926814607
3,0.8,0.6240296364208464
4,0.75,0.6240300046956229
5,0.75,0.6240303729703993
6,0.75,0.6240307412451758
7,0.8,0.6240311095199522
8,0.86,0.6240314777947287
9,0.75,0.6240318460695051
10,0.76,0.6240322143442816
11,0.76,0.624032582619058
12,0.81,0.6240329508938345
13,0.77,0.6240333191686109
14,0.72,0.6240336874433874
15,0.72,0.6240340557181638
16,0.77,0.6240344239929403
17,0.82,0.6240347922677167
18,0.82,0.6240351605424932
19,0.88,0.6240355288172696
20,0.88,0.6240358970920461
21,0.87,0.6240362653668226
22,0.87,0.624036633641599
23,0.94,0.6240370019163755
24,0.88,0.6240373701911519
25,0.88,0.6240377384659284
26,0.94,0.6240381067407048
27,1.0,0.6240384750154813
28,0.94,0.6240388432902577
29,0.94,0.6240392115650342
30,0.77,0.6240395798398106
31,0.76,0.6240399481145871
32,0.71,0.6240403163893635
33,0.76,0.62404068466414
34,0.81,0.6240410529389164
35,0.71,0.6240414212136929
36,0.66,0.6240417894884693
37,0.66,0.6240421577632458
38,0.76,0.6240425260380222
39,0.81,0.6240428943127987
40,0.71,0.6240432625875751
41,0.57,0.6240436308623516
42,0.46,0.624043999137128
43,0.42,0.6240443674119045
44,0.39,0.624044735686681
45,0.44,0.6240451039614574
46,0.44,0.6240454722362339
47,0.47,0.6240458405110103
48,0.44,0.6240462087857868
49,0.44,0.6240465770605632
50,0.47,0.6240469453353397
51,0.47,0.6240473136101161
52,0.5,0.6240476818848926
53,0.5,0.624048050159669
54,0.5,0.6240484184344455
55,0.43,0.6240487867092219
56,0.43,0.6240491549839984
57,0.4,0.6240495232587748
58,0.35,0.6240498915335513
59,0.35,0.6240502598083277
60,0.3,0.6240506280831042
61,0.3,0.6240509963578806
62,0.3,0.6240513646326571
63,0.3,0.6240517329074335
64,0.32,0.62405210118221
65,0.47,0.6240524694569864
66,0.47,0.6240528377317629
67,0.64,0.6240532060065394
68,0.69,0.6240535742813158
69,0.55,0.6240539425560923
70,0.55,0.6240543108308687
71,0.59,0.6240546791056452
72,0.63,0.6240550473804216
73,0.63,0.6240554156551981
74,0.68,0.6240557839299745
75,0.74,0.624056152204751
76,0.74,0.6240565204795274
77,0.69,0.6240568887543039
78,0.64,0.6240572570290803
79,0.69,0.6240576253038568
80,0.51,0.6240579935786332
81,0.51,0.6240583618534097
82,0.56,0.6240587301281861
83,0.52,0.6240590984029626
84,0.52,0.624059466677739
85,0.49,0.6240598349525155
86,0.48,0.6240602032272919
87,0.48,0.6240605715020684
88,0.48,0.6240609397768448
89,0.48,0.6240613080516213
90,0.64,0.6240616763263978
91,0.64,0.6240620446011742
92,0.69,0.6240624128759507
93,0.64,0.6240627811507271
94,0.74,0.6240631494255036
95,0.74,0.62406351770028
96,0.48,0.6240638859750565
97,0.47,0.6240642542498329
98,0.47,0.6240646225246094
99,0.43,0.6240649907993858
100,0.4,0.6240653590741623
101,0.37,0.6240657273489387
102,0.37,0.6240660956237152
103,0.33,0.6240664638984916
104,0.33,0.6240668321732681
105,0.3,0.6240672004480445
106,0.28,0.624067568722821
107,0.28,0.6240679369975974
108,0.28,0.6240683052723739
