instant,windspeed,Predicted Y
1,0.0,0.20588371780923714
2,0.0,0.20588190101656795
3,0.0,0.20588008422389872
4,0.0,0.20587826743122953
5,0.0,0.2058764506385603
6,0.0896,0.2058746338458911
7,0.0,0.20587281705322188
8,0.0,0.2058710002605527
9,0.0,0.20586918346788347
10,0.0,0.20586736667521427
11,0.2537,0.20586554988254505
12,0.2836,0.20586373308987582
13,0.2836,0.20586191629720663
14,0.2985,0.2058600995045374
15,0.2836,0.2058582827118682
16,0.2985,0.20585646591919898
17,0.2985,0.2058546491265298
18,0.2836,0.20585283233386056
19,0.2537,0.20585101554119137
20,0.2537,0.20584919874852214
21,0.2537,0.20584738195585295
22,0.194,0.20584556516318372
23,0.2239,0.20584374837051453
24,0.2985,0.2058419315778453
25,0.2985,0.20584011478517608
26,0.2537,0.20583829799250689
27,0.2836,0.20583648119983766
28,0.194,0.20583466440716847
29,0.194,0.20583284761449924
30,0.2985,0.20583103082183005
31,0.194,0.20582921402916082
32,0.2239,0.20582739723649163
33,0.2239,0.2058255804438224
34,0.2239,0.2058237636511532
35,0.2537,0.20582194685848398
36,0.2985,0.20582013006581476
37,0.1343,0.20581831327314556
38,0.194,0.20581649648047634
39,0.1642,0.20581467968780714
40,0.1642,0.20581286289513792
41,0.194,0.20581104610246873
42,0.3284,0.2058092293097995
43,0.4478,0.2058074125171303
44,0.3582,0.20580559572446108
45,0.3284,0.2058037789317919
46,0.2985,0.20580196213912266
47,0.1642,0.20580014534645344
48,0.3582,0.20579832855378424
49,0.4179,0.20579651176111502
50,0.3881,0.20579469496844582
51,0.2836,0.2057928781757766
52,0.3881,0.2057910613831074
53,0.194,0.20578924459043818
54,0.2836,0.20578742779776898
55,0.3881,0.20578561100509976
56,0.2537,0.20578379421243057
57,0.3284,0.20578197741976134
58,0.2985,0.20578016062709212
59,0.2836,0.20577834383442292
60,0.2836,0.2057765270417537
61,0.2537,0.2057747102490845
62,0.2537,0.20577289345641528
63,0.2239,0.20577107666374608
64,0.1045,0.20576925987107686
65,0.0,0.20576744307840766
66,0.1045,0.20576562628573844
67,0.1343,0.20576380949306924
68,0.1343,0.20576199270040002
69,0.1045,0.20576017590773082
70,0.1045,0.2057583591150616
71,0.1045,0.20575654232239238
72,0.1343,0.20575472552972318
73,0.0896,0.20575290873705396
74,0.1045,0.20575109194438476
75,0.1045,0.20574927515171554
76,0.1343,0.20574745835904634
77,0.1642,0.20574564156637712
78,0.2239,0.20574382477370792
79,0.3284,0.2057420079810387
80,0.2985,0.2057401911883695
81,0.1642,0.20573837439570028
82,0.194,0.20573655760303106
83,0.2239,0.20573474081036186
84,0.2537,0.20573292401769264
85,0.2537,0.20573110722502344
86,0.2239,0.20572929043235422
87,0.194,0.20572747363968502
88,0.1045,0.2057256568470158
89,0.1045,0.2057238400543466
90,0.0,0.20572202326167738
91,0.0896,0.20572020646900818
92,0.0896,0.20571838967633896
93,0.0,0.20571657288366973
94,0.0896,0.20571475609100054
95,0.0896,0.20571293929833132
96,0.2239,0.20571112250566212
97,0.1642,0.2057093057129929
98,0.2239,0.2057074889203237
99,0.194,0.20570567212765448
100,0.2985,0.20570385533498528
