registered,casual,Predicted Y
13,3,12.441874704003204
32,8,15.577483395121547
27,5,14.7523232132483
10,3,11.946778594879255
1,0,10.46149026750741
1,0,10.46149026750741
0,2,10.29645823113276
2,1,10.626522303882059
7,1,11.451682485755308
6,8,11.286650449380659
24,12,14.25722710412435
30,26,15.247419322372249
55,29,19.373220231738486
47,47,18.052963940741293
71,35,22.01373281373288
70,40,21.848700777358232
52,41,18.878124122614537
52,15,18.878124122614537
26,9,14.587291176873649
31,6,15.412451358746898
25,11,14.422259140499
31,3,15.412451358746898
17,11,13.102002849501803
24,15,14.25722710412435
13,4,12.441874704003204
16,1,12.936970813127154
8,1,11.616714522129957
4,2,10.956586376631359
1,2,10.46149026750741
2,0,10.626522303882059
1,0,10.46149026750741
8,0,11.616714522129957
19,1,13.432066922251103
46,7,17.887931904366642
54,16,19.20818819536384
73,20,22.34379688648218
64,11,20.858508559110334
55,4,19.373220231738486
55,19,19.373220231738486
67,9,21.353604668234283
58,7,19.868316340862435
43,10,17.392835795242693
29,1,15.082387285997598
17,5,13.102002849501803
20,11,13.597098958625752
9,0,11.781746558504606
8,0,11.616714522129957
5,0,11.121618413006008
2,0,10.626522303882059
1,0,10.46149026750741
3,0,10.79155434025671
30,0,15.247419322372249
63,1,20.693476522735686
153,1,35.54635979645415
81,7,23.664053177479374
33,11,15.742515431496196
41,10,17.062771722493395
48,13,18.21799597711594
53,8,19.043156158989188
66,11,21.188572631859632
58,14,19.868316340862435
67,9,21.353604668234283
146,11,34.3911355418316
148,9,34.7211996145809
102,8,27.12972594134702
49,3,18.383028013490588
49,3,18.383028013490588
20,0,13.597098958625752
11,1,12.111810631253906
5,0,11.121618413006008
2,0,10.626522303882059
1,0,10.46149026750741
2,0,10.626522303882059
4,0,10.956586376631359
36,0,16.237611540620144
92,2,25.479405577600524
177,2,39.507128669445734
98,2,26.46959779584842
37,5,16.402643576994794
50,7,18.54806004986524
66,12,21.188572631859632
79,18,23.33398910473008
54,9,19.20818819536384
48,17,18.21799597711594
68,15,21.51863670460893
202,10,43.632929578811975
179,3,39.837192742195036
110,2,28.449982232344215
53,1,19.043156158989188
48,0,18.21799597711594
34,1,15.907547467870845
9,2,11.781746558504606
6,0,11.286650449380659
6,0,11.286650449380659
2,0,10.626522303882059
2,0,10.626522303882059
3,0,10.79155434025671
33,0,15.742515431496196
87,1,24.654245395727273
192,3,41.98260921506548
109,6,28.284950195969564
53,4,19.043156158989188
34,12,15.907547467870845
74,5,22.50882892285683
65,6,21.02354059548498
52,10,18.878124122614537
55,7,19.373220231738486
85,4,24.324181322977974
186,4,40.99241699681758
166,3,37.69177626932459
127,5,31.255526850713256
82,7,23.829085213854025
40,3,16.897739686118744
41,1,17.062771722493395
18,1,13.267034885876452
11,0,12.111810631253906
4,0,10.956586376631359
2,0,10.626522303882059
1,0,10.46149026750741
4,0,10.956586376631359
36,0,16.237611540620144
95,0,25.974501686724473
216,3,45.943378088057074
116,6,29.44017445059211
42,3,17.227803758868042
57,2,19.703284304487788
78,6,23.16895706835543
55,12,19.373220231738486
59,11,20.033348377237086
54,8,19.20818819536384
74,12,22.50882892285683
163,9,37.19668016020064
158,5,36.3715199783274
109,3,28.284950195969564
66,3,21.188572631859632
48,0,18.21799597711594
51,1,18.71309208623989
19,4,13.432066922251103
13,4,12.441874704003204
5,2,11.121618413006008
1,0,10.46149026750741
1,0,10.46149026750741
5,0,11.121618413006008
26,8,14.587291176873649
76,8,22.83889299560613
190,20,41.652545142316185
125,9,30.925462777963958
47,16,18.052963940741293
48,19,18.21799597711594
50,9,18.54806004986524
64,9,20.858508559110334
43,7,17.392835795242693
63,9,20.693476522735686
82,5,23.829085213854025
178,9,39.67216070582039
116,7,29.44017445059211
92,3,25.479405577600524
50,1,18.54806004986524
39,0,16.732707649744093
34,2,15.907547467870845
14,1,12.606906740377855
24,1,14.25722710412435
15,1,12.771938776752505
13,3,12.441874704003204
7,0,11.451682485755308
1,0,10.46149026750741
5,0,11.121618413006008
2,0,10.626522303882059
8,1,11.616714522129957
15,0,12.771938776752505
20,0,13.597098958625752
56,5,19.538252268113137
60,2,20.198380413611737
