registered,weekday,Predicted Y
13,6,2.963424882147722
32,6,2.9688578940962738
27,6,2.967428154109813
10,6,2.9625670381558455
1,6,2.9599935061802154
1,6,2.9599935061802154
0,6,2.9597075581829233
2,6,2.960279454177508
7,6,2.961709194163969
6,6,2.9614232461666767
24,6,2.966570310117936
30,6,2.9682859981016896
55,6,2.9754346980339945
47,6,2.973147114055657
71,6,2.9800098659906697
70,6,2.9797239179933777
52,6,2.974576854042118
52,6,2.974576854042118
26,6,2.9671422061125208
31,6,2.9685719460989817
25,6,2.9668562581152282
31,6,2.9685719460989817
17,6,2.9645686741368906
24,6,2.966570310117936
13,0,2.963424882147722
16,0,2.9642827261395985
8,0,2.961995142161261
4,0,2.960851350172092
1,0,2.9599935061802154
2,0,2.960279454177508
1,0,2.9599935061802154
8,0,2.961995142161261
19,0,2.9651405701314753
46,0,2.972861166058365
54,0,2.9751487500367024
73,0,2.980581761985254
64,0,2.9780082300096242
55,0,2.9754346980339945
55,0,2.9754346980339945
67,0,2.978866074001501
58,0,2.9762925420258712
43,0,2.972003322066488
29,0,2.968000050104397
17,0,2.9645686741368906
20,0,2.9654265181287673
9,0,2.962281090158553
8,0,2.961995142161261
5,1,2.961137298169384
2,1,2.960279454177508
1,1,2.9599935061802154
3,1,2.9605654021748
30,1,2.9682859981016896
63,1,2.977722282012332
153,1,3.0034576017686305
81,1,2.982869345963592
33,1,2.969143842093566
41,1,2.9714314260719035
48,1,2.973433062052949
53,1,2.97486280203941
66,1,2.978580126004209
58,1,2.9762925420258712
67,1,2.978866074001501
146,1,3.001455965787585
148,1,3.002027861782169
102,1,2.988874253906728
49,1,2.973719010050241
49,1,2.973719010050241
20,1,2.9654265181287673
11,1,2.9628529861531376
5,2,2.961137298169384
2,2,2.960279454177508
1,2,2.9599935061802154
2,2,2.960279454177508
4,2,2.960851350172092
36,2,2.9700016860854426
92,2,2.986014773933806
177,2,3.0103203537036434
98,2,2.9877304619175593
37,2,2.9702876340827347
50,2,2.9740049580475336
66,2,2.978580126004209
79,2,2.9822974499690074
54,2,2.9751487500367024
48,2,2.973433062052949
68,2,2.979152021998793
202,2,3.0174690536359483
179,2,3.0108922496982276
110,2,2.9911618378850657
53,2,2.97486280203941
48,2,2.973433062052949
34,2,2.9694297900908584
9,2,2.962281090158553
6,3,2.9614232461666767
6,3,2.9614232461666767
2,3,2.960279454177508
2,3,2.960279454177508
3,3,2.9605654021748
33,3,2.969143842093566
87,3,2.984585033947345
192,3,3.0146095736630265
109,3,2.9908758898877736
53,3,2.97486280203941
34,3,2.9694297900908584
74,3,2.9808677099825465
65,3,2.9782941780069163
52,3,2.974576854042118
55,3,2.9754346980339945
85,3,2.984013137952761
186,3,3.012893885679273
166,3,3.007174925733429
127,3,2.996022953839033
82,3,2.983155293960884
40,3,2.9711454780746114
41,3,2.9714314260719035
18,3,2.964854622134183
11,4,2.9628529861531376
4,4,2.960851350172092
2,4,2.960279454177508
1,4,2.9599935061802154
4,4,2.960851350172092
36,4,2.9700016860854426
95,4,2.9868726179256826
216,4,3.0214723255980394
116,4,2.9928775258688187
42,4,2.971717374069196
57,4,2.9760065940285787
78,4,2.9820115019717153
55,4,2.9754346980339945
59,4,2.9765784900231633
54,4,2.9751487500367024
74,4,2.9808677099825465
163,4,3.0063170817415523
158,4,3.0048873417550914
109,4,2.9908758898877736
66,4,2.978580126004209
48,4,2.973433062052949
51,4,2.9742909060448257
19,4,2.9651405701314753
13,5,2.963424882147722
5,5,2.961137298169384
1,5,2.9599935061802154
1,5,2.9599935061802154
5,5,2.961137298169384
26,5,2.9671422061125208
76,5,2.9814396059771306
190,5,3.014037677668442
125,5,2.995451057844449
47,5,2.973147114055657
48,5,2.973433062052949
50,5,2.9740049580475336
64,5,2.9780082300096242
43,5,2.972003322066488
63,5,2.977722282012332
82,5,2.983155293960884
178,5,3.0106063017009355
116,5,2.9928775258688187
92,5,2.986014773933806
50,5,2.9740049580475336
39,5,2.9708595300773193
34,5,2.9694297900908584
14,5,2.9637108301450144
24,6,2.966570310117936
15,6,2.9639967781423064
13,6,2.963424882147722
7,6,2.961709194163969
1,6,2.9599935061802154
5,6,2.961137298169384
