weathersit,cnt,Predicted Y
1,16,206.64740831960722
1,40,206.64740831960722
1,32,206.64740831960722
1,13,206.64740831960722
1,1,206.64740831960722
2,1,166.24065562221122
1,2,206.64740831960722
1,3,206.64740831960722
1,8,206.64740831960722
1,14,206.64740831960722
1,36,206.64740831960722
1,56,206.64740831960722
1,84,206.64740831960722
2,94,166.24065562221122
2,106,166.24065562221122
2,110,166.24065562221122
2,93,166.24065562221122
2,67,166.24065562221122
3,35,125.83390292481523
3,37,125.83390292481523
2,36,166.24065562221122
2,34,166.24065562221122
2,28,166.24065562221122
2,39,166.24065562221122
2,17,166.24065562221122
2,17,166.24065562221122
2,9,166.24065562221122
2,6,166.24065562221122
2,3,166.24065562221122
3,2,125.83390292481523
2,1,166.24065562221122
3,8,125.83390292481523
2,20,166.24065562221122
2,53,166.24065562221122
2,70,166.24065562221122
2,93,166.24065562221122
2,75,166.24065562221122
3,59,125.83390292481523
3,74,125.83390292481523
3,76,125.83390292481523
1,65,206.64740831960722
2,53,166.24065562221122
1,30,206.64740831960722
1,22,206.64740831960722
1,31,206.64740831960722
1,9,206.64740831960722
1,8,206.64740831960722
1,5,206.64740831960722
1,2,206.64740831960722
1,1,206.64740831960722
1,3,206.64740831960722
1,30,206.64740831960722
1,64,206.64740831960722
1,154,206.64740831960722
1,88,206.64740831960722
1,44,206.64740831960722
1,51,206.64740831960722
1,61,206.64740831960722
1,61,206.64740831960722
1,77,206.64740831960722
1,72,206.64740831960722
1,76,206.64740831960722
1,157,206.64740831960722
1,157,206.64740831960722
1,110,206.64740831960722
1,52,206.64740831960722
1,52,206.64740831960722
1,20,206.64740831960722
1,12,206.64740831960722
1,5,206.64740831960722
1,2,206.64740831960722
1,1,206.64740831960722
1,2,206.64740831960722
1,4,206.64740831960722
1,36,206.64740831960722
1,94,206.64740831960722
1,179,206.64740831960722
1,100,206.64740831960722
2,42,166.24065562221122
1,57,206.64740831960722
1,78,206.64740831960722
1,97,206.64740831960722
1,63,206.64740831960722
1,65,206.64740831960722
1,83,206.64740831960722
1,212,206.64740831960722
1,182,206.64740831960722
1,112,206.64740831960722
1,54,206.64740831960722
1,48,206.64740831960722
1,35,206.64740831960722
1,11,206.64740831960722
1,6,206.64740831960722
1,6,206.64740831960722
1,2,206.64740831960722
1,2,206.64740831960722
1,3,206.64740831960722
1,33,206.64740831960722
1,88,206.64740831960722
1,195,206.64740831960722
1,115,206.64740831960722
1,57,206.64740831960722
1,46,206.64740831960722
1,79,206.64740831960722
1,71,206.64740831960722
1,62,206.64740831960722
1,62,206.64740831960722
1,89,206.64740831960722
1,190,206.64740831960722
1,169,206.64740831960722
1,132,206.64740831960722
1,89,206.64740831960722
1,43,206.64740831960722
1,42,206.64740831960722
1,19,206.64740831960722
1,11,206.64740831960722
1,4,206.64740831960722
1,2,206.64740831960722
2,1,166.24065562221122
2,4,166.24065562221122
2,36,166.24065562221122
2,95,166.24065562221122
1,219,206.64740831960722
2,122,166.24065562221122
1,45,206.64740831960722
1,59,206.64740831960722
1,84,206.64740831960722
1,67,206.64740831960722
1,70,206.64740831960722
1,62,206.64740831960722
1,86,206.64740831960722
1,172,206.64740831960722
1,163,206.64740831960722
1,112,206.64740831960722
1,69,206.64740831960722
2,48,166.24065562221122
2,52,166.24065562221122
2,23,166.24065562221122
2,17,166.24065562221122
2,7,166.24065562221122
2,1,166.24065562221122
2,1,166.24065562221122
3,5,125.83390292481523
2,34,166.24065562221122
1,84,206.64740831960722
1,210,206.64740831960722
1,134,206.64740831960722
1,63,206.64740831960722
2,67,166.24065562221122
2,59,166.24065562221122
2,73,166.24065562221122
2,50,166.24065562221122
2,72,166.24065562221122
2,87,166.24065562221122
2,187,166.24065562221122
1,123,206.64740831960722
1,95,206.64740831960722
1,51,206.64740831960722
1,39,206.64740831960722
2,36,166.24065562221122
2,15,166.24065562221122
2,25,166.24065562221122
2,16,166.24065562221122
2,16,166.24065562221122
3,7,125.83390292481523
3,1,125.83390292481523
2,5,166.24065562221122
2,2,166.24065562221122
2,9,166.24065562221122
3,15,125.83390292481523
3,20,125.83390292481523
2,61,166.24065562221122
2,62,166.24065562221122
2,98,166.24065562221122
1,102,206.64740831960722
1,95,206.64740831960722
1,74,206.64740831960722
1,76,206.64740831960722
1,69,206.64740831960722
1,55,206.64740831960722
1,30,206.64740831960722
1,28,206.64740831960722
1,37,206.64740831960722
1,34,206.64740831960722
1,22,206.64740831960722
1,25,206.64740831960722
1,12,206.64740831960722
1,11,206.64740831960722
