weathersit,hr,Predicted Y
1,0,11.639668921974398
1,1,11.639668921974398
1,2,11.639668921974398
1,3,11.639668921974398
1,4,11.639668921974398
2,5,11.42118614630222
1,6,11.639668921974398
1,7,11.639668921974398
1,8,11.639668921974398
1,9,11.639668921974398
1,10,11.639668921974398
1,11,11.639668921974398
1,12,11.639668921974398
2,13,11.42118614630222
2,14,11.42118614630222
2,15,11.42118614630222
2,16,11.42118614630222
2,17,11.42118614630222
3,18,11.202703370630044
3,19,11.202703370630044
2,20,11.42118614630222
2,21,11.42118614630222
2,22,11.42118614630222
2,23,11.42118614630222
2,0,11.42118614630222
2,1,11.42118614630222
2,2,11.42118614630222
2,3,11.42118614630222
2,4,11.42118614630222
3,6,11.202703370630044
2,7,11.42118614630222
3,8,11.202703370630044
2,9,11.42118614630222
2,10,11.42118614630222
2,11,11.42118614630222
2,12,11.42118614630222
2,13,11.42118614630222
3,14,11.202703370630044
3,15,11.202703370630044
3,16,11.202703370630044
1,17,11.639668921974398
2,18,11.42118614630222
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
1,23,11.639668921974398
1,0,11.639668921974398
1,1,11.639668921974398
1,4,11.639668921974398
1,5,11.639668921974398
1,6,11.639668921974398
1,7,11.639668921974398
1,8,11.639668921974398
1,9,11.639668921974398
1,10,11.639668921974398
1,11,11.639668921974398
1,12,11.639668921974398
1,13,11.639668921974398
1,14,11.639668921974398
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
1,23,11.639668921974398
1,0,11.639668921974398
1,1,11.639668921974398
1,2,11.639668921974398
1,4,11.639668921974398
1,5,11.639668921974398
1,6,11.639668921974398
1,7,11.639668921974398
1,8,11.639668921974398
1,9,11.639668921974398
2,10,11.42118614630222
1,11,11.639668921974398
1,12,11.639668921974398
1,13,11.639668921974398
1,14,11.639668921974398
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
1,23,11.639668921974398
1,0,11.639668921974398
1,1,11.639668921974398
1,2,11.639668921974398
1,4,11.639668921974398
1,5,11.639668921974398
1,6,11.639668921974398
1,7,11.639668921974398
1,8,11.639668921974398
1,9,11.639668921974398
1,10,11.639668921974398
1,11,11.639668921974398
1,12,11.639668921974398
1,13,11.639668921974398
1,14,11.639668921974398
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
1,23,11.639668921974398
1,0,11.639668921974398
1,1,11.639668921974398
1,2,11.639668921974398
2,4,11.42118614630222
2,5,11.42118614630222
2,6,11.42118614630222
2,7,11.42118614630222
1,8,11.639668921974398
2,9,11.42118614630222
1,10,11.639668921974398
1,11,11.639668921974398
1,12,11.639668921974398
1,13,11.639668921974398
1,14,11.639668921974398
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
2,21,11.42118614630222
2,22,11.42118614630222
2,23,11.42118614630222
2,0,11.42118614630222
2,1,11.42118614630222
2,2,11.42118614630222
2,4,11.42118614630222
3,5,11.202703370630044
2,6,11.42118614630222
1,7,11.639668921974398
1,8,11.639668921974398
1,9,11.639668921974398
1,10,11.639668921974398
2,11,11.42118614630222
2,12,11.42118614630222
2,13,11.42118614630222
2,14,11.42118614630222
2,15,11.42118614630222
2,16,11.42118614630222
2,17,11.42118614630222
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
2,22,11.42118614630222
2,23,11.42118614630222
2,0,11.42118614630222
2,1,11.42118614630222
2,2,11.42118614630222
3,3,11.202703370630044
3,4,11.202703370630044
2,5,11.42118614630222
2,6,11.42118614630222
2,7,11.42118614630222
3,8,11.202703370630044
3,9,11.202703370630044
2,10,11.42118614630222
2,11,11.42118614630222
2,12,11.42118614630222
1,13,11.639668921974398
1,14,11.639668921974398
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
1,23,11.639668921974398
1,0,11.639668921974398
1,1,11.639668921974398
1,2,11.639668921974398
1,3,11.639668921974398
1,4,11.639668921974398
1,5,11.639668921974398
1,6,11.639668921974398
1,7,11.639668921974398
1,8,11.639668921974398
1,9,11.639668921974398
1,10,11.639668921974398
1,11,11.639668921974398
1,12,11.639668921974398
1,13,11.639668921974398
1,14,11.639668921974398
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
1,23,11.639668921974398
1,0,11.639668921974398
1,1,11.639668921974398
1,2,11.639668921974398
1,3,11.639668921974398
1,4,11.639668921974398
1,5,11.639668921974398
1,6,11.639668921974398
1,7,11.639668921974398
2,8,11.42118614630222
2,9,11.42118614630222
2,10,11.42118614630222
2,11,11.42118614630222
2,12,11.42118614630222
2,13,11.42118614630222
2,14,11.42118614630222
2,15,11.42118614630222
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
1,23,11.639668921974398
1,0,11.639668921974398
1,1,11.639668921974398
2,2,11.42118614630222
2,5,11.42118614630222
2,6,11.42118614630222
2,7,11.42118614630222
2,8,11.42118614630222
2,9,11.42118614630222
2,10,11.42118614630222
2,11,11.42118614630222
2,12,11.42118614630222
2,13,11.42118614630222
2,14,11.42118614630222
2,15,11.42118614630222
2,16,11.42118614630222
2,17,11.42118614630222
3,18,11.202703370630044
3,19,11.202703370630044
3,20,11.202703370630044
3,21,11.202703370630044
3,22,11.202703370630044
3,23,11.202703370630044
2,0,11.42118614630222
2,1,11.42118614630222
1,2,11.639668921974398
1,5,11.639668921974398
1,6,11.639668921974398
1,7,11.639668921974398
1,8,11.639668921974398
1,9,11.639668921974398
1,10,11.639668921974398
1,11,11.639668921974398
1,12,11.639668921974398
1,13,11.639668921974398
1,14,11.639668921974398
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
1,23,11.639668921974398
1,0,11.639668921974398
1,1,11.639668921974398
1,2,11.639668921974398
1,3,11.639668921974398
1,4,11.639668921974398
1,5,11.639668921974398
1,6,11.639668921974398
1,7,11.639668921974398
1,8,11.639668921974398
1,9,11.639668921974398
2,10,11.42118614630222
2,11,11.42118614630222
1,12,11.639668921974398
1,13,11.639668921974398
1,14,11.639668921974398
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
1,23,11.639668921974398
1,0,11.639668921974398
1,1,11.639668921974398
1,2,11.639668921974398
1,3,11.639668921974398
1,5,11.639668921974398
1,6,11.639668921974398
1,7,11.639668921974398
1,8,11.639668921974398
1,9,11.639668921974398
1,10,11.639668921974398
1,11,11.639668921974398
1,12,11.639668921974398
1,13,11.639668921974398
1,14,11.639668921974398
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
2,22,11.42118614630222
2,23,11.42118614630222
1,0,11.639668921974398
2,1,11.42118614630222
2,2,11.42118614630222
2,3,11.42118614630222
2,4,11.42118614630222
1,5,11.639668921974398
1,6,11.639668921974398
1,7,11.639668921974398
1,8,11.639668921974398
1,9,11.639668921974398
1,10,11.639668921974398
1,11,11.639668921974398
1,12,11.639668921974398
1,13,11.639668921974398
1,14,11.639668921974398
2,15,11.42118614630222
2,16,11.42118614630222
2,17,11.42118614630222
2,18,11.42118614630222
2,19,11.42118614630222
2,20,11.42118614630222
2,21,11.42118614630222
2,22,11.42118614630222
1,23,11.639668921974398
1,0,11.639668921974398
1,1,11.639668921974398
1,2,11.639668921974398
1,3,11.639668921974398
1,4,11.639668921974398
2,5,11.42118614630222
2,6,11.42118614630222
2,7,11.42118614630222
1,8,11.639668921974398
1,9,11.639668921974398
1,10,11.639668921974398
1,11,11.639668921974398
1,12,11.639668921974398
1,13,11.639668921974398
1,14,11.639668921974398
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
2,22,11.42118614630222
2,23,11.42118614630222
2,0,11.42118614630222
2,1,11.42118614630222
2,2,11.42118614630222
2,3,11.42118614630222
2,4,11.42118614630222
2,5,11.42118614630222
2,6,11.42118614630222
2,7,11.42118614630222
2,8,11.42118614630222
2,9,11.42118614630222
2,10,11.42118614630222
2,11,11.42118614630222
2,12,11.42118614630222
2,13,11.42118614630222
2,14,11.42118614630222
2,15,11.42118614630222
2,16,11.42118614630222
1,17,11.639668921974398
2,18,11.42118614630222
3,19,11.202703370630044
3,20,11.202703370630044
3,21,11.202703370630044
3,22,11.202703370630044
3,23,11.202703370630044
2,12,11.42118614630222
2,13,11.42118614630222
2,14,11.42118614630222
2,15,11.42118614630222
2,16,11.42118614630222
2,17,11.42118614630222
2,18,11.42118614630222
2,19,11.42118614630222
2,20,11.42118614630222
2,21,11.42118614630222
2,22,11.42118614630222
2,23,11.42118614630222
2,0,11.42118614630222
3,1,11.202703370630044
3,2,11.202703370630044
3,4,11.202703370630044
2,5,11.42118614630222
2,6,11.42118614630222
2,7,11.42118614630222
2,8,11.42118614630222
2,9,11.42118614630222
2,10,11.42118614630222
2,11,11.42118614630222
2,12,11.42118614630222
1,13,11.639668921974398
1,14,11.639668921974398
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
1,23,11.639668921974398
1,0,11.639668921974398
1,1,11.639668921974398
1,2,11.639668921974398
1,3,11.639668921974398
1,4,11.639668921974398
1,5,11.639668921974398
1,6,11.639668921974398
1,7,11.639668921974398
1,8,11.639668921974398
2,9,11.42118614630222
1,10,11.639668921974398
2,11,11.42118614630222
2,12,11.42118614630222
2,13,11.42118614630222
2,14,11.42118614630222
2,15,11.42118614630222
2,16,11.42118614630222
2,17,11.42118614630222
2,18,11.42118614630222
1,19,11.639668921974398
2,20,11.42118614630222
2,21,11.42118614630222
2,22,11.42118614630222
2,23,11.42118614630222
2,0,11.42118614630222
2,1,11.42118614630222
3,2,11.202703370630044
3,3,11.202703370630044
2,4,11.42118614630222
1,5,11.639668921974398
1,6,11.639668921974398
1,7,11.639668921974398
1,8,11.639668921974398
1,9,11.639668921974398
1,10,11.639668921974398
1,11,11.639668921974398
1,12,11.639668921974398
1,13,11.639668921974398
1,14,11.639668921974398
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
1,23,11.639668921974398
1,0,11.639668921974398
2,1,11.42118614630222
2,2,11.42118614630222
2,3,11.42118614630222
2,4,11.42118614630222
2,6,11.42118614630222
1,7,11.639668921974398
1,8,11.639668921974398
1,9,11.639668921974398
2,10,11.42118614630222
2,11,11.42118614630222
2,12,11.42118614630222
1,13,11.639668921974398
1,14,11.639668921974398
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
1,23,11.639668921974398
1,0,11.639668921974398
1,1,11.639668921974398
1,2,11.639668921974398
1,3,11.639668921974398
2,5,11.42118614630222
2,6,11.42118614630222
1,7,11.639668921974398
1,8,11.639668921974398
1,9,11.639668921974398
1,10,11.639668921974398
1,11,11.639668921974398
1,12,11.639668921974398
1,13,11.639668921974398
1,14,11.639668921974398
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
1,23,11.639668921974398
1,0,11.639668921974398
1,1,11.639668921974398
1,3,11.639668921974398
1,4,11.639668921974398
1,5,11.639668921974398
1,6,11.639668921974398
1,7,11.639668921974398
1,8,11.639668921974398
1,9,11.639668921974398
1,10,11.639668921974398
1,11,11.639668921974398
2,12,11.42118614630222
2,13,11.42118614630222
2,14,11.42118614630222
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
2,22,11.42118614630222
2,23,11.42118614630222
2,0,11.42118614630222
2,1,11.42118614630222
1,2,11.639668921974398
1,4,11.639668921974398
1,5,11.639668921974398
1,6,11.639668921974398
1,7,11.639668921974398
2,8,11.42118614630222
2,9,11.42118614630222
2,10,11.42118614630222
2,11,11.42118614630222
2,12,11.42118614630222
2,13,11.42118614630222
2,14,11.42118614630222
2,15,11.42118614630222
2,16,11.42118614630222
1,17,11.639668921974398
2,18,11.42118614630222
2,19,11.42118614630222
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
2,23,11.42118614630222
2,0,11.42118614630222
2,1,11.42118614630222
3,2,11.202703370630044
3,5,11.202703370630044
3,6,11.202703370630044
3,7,11.202703370630044
3,8,11.202703370630044
3,9,11.202703370630044
3,10,11.202703370630044
3,11,11.202703370630044
3,12,11.202703370630044
3,13,11.202703370630044
3,14,11.202703370630044
3,15,11.202703370630044
4,16,10.984220594957865
3,17,11.202703370630044
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
1,23,11.639668921974398
2,0,11.42118614630222
2,1,11.42118614630222
2,2,11.42118614630222
2,3,11.42118614630222
2,5,11.42118614630222
2,6,11.42118614630222
2,7,11.42118614630222
2,8,11.42118614630222
3,9,11.202703370630044
3,10,11.202703370630044
3,11,11.202703370630044
3,12,11.202703370630044
3,13,11.202703370630044
3,14,11.202703370630044
2,15,11.42118614630222
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
2,19,11.42118614630222
2,20,11.42118614630222
2,21,11.42118614630222
1,22,11.639668921974398
1,23,11.639668921974398
1,0,11.639668921974398
1,1,11.639668921974398
1,2,11.639668921974398
1,3,11.639668921974398
1,4,11.639668921974398
1,6,11.639668921974398
1,7,11.639668921974398
1,8,11.639668921974398
1,9,11.639668921974398
2,10,11.42118614630222
2,11,11.42118614630222
2,12,11.42118614630222
2,13,11.42118614630222
2,14,11.42118614630222
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
2,19,11.42118614630222
1,20,11.639668921974398
1,21,11.639668921974398
1,22,11.639668921974398
1,23,11.639668921974398
1,0,11.639668921974398
1,1,11.639668921974398
1,2,11.639668921974398
1,3,11.639668921974398
1,4,11.639668921974398
1,5,11.639668921974398
1,7,11.639668921974398
2,8,11.42118614630222
2,9,11.42118614630222
2,10,11.42118614630222
1,11,11.639668921974398
1,12,11.639668921974398
1,13,11.639668921974398
1,14,11.639668921974398
1,15,11.639668921974398
1,16,11.639668921974398
1,17,11.639668921974398
1,18,11.639668921974398
1,19,11.639668921974398
2,20,11.42118614630222
2,21,11.42118614630222
2,22,11.42118614630222
2,23,11.42118614630222
2,0,11.42118614630222
1,1,11.639668921974398
1,2,11.639668921974398
1,3,11.639668921974398
1,4,11.639668921974398
1,5,11.639668921974398
1,6,11.639668921974398
2,7,11.42118614630222
2,8,11.42118614630222
2,9,11.42118614630222
2,10,11.42118614630222
2,11,11.42118614630222
2,12,11.42118614630222
2,13,11.42118614630222
2,14,11.42118614630222
2,15,11.42118614630222
2,16,11.42118614630222
2,17,11.42118614630222
2,18,11.42118614630222
1,19,11.639668921974398
3,20,11.202703370630044
3,21,11.202703370630044
2,22,11.42118614630222
2,23,11.42118614630222
2,0,11.42118614630222
2,1,11.42118614630222
2,2,11.42118614630222
2,3,11.42118614630222
3,5,11.202703370630044
3,6,11.202703370630044
3,7,11.202703370630044
3,8,11.202703370630044
2,9,11.42118614630222
2,10,11.42118614630222
2,11,11.42118614630222
2,12,11.42118614630222
2,13,11.42118614630222
2,14,11.42118614630222
2,15,11.42118614630222
2,16,11.42118614630222
2,17,11.42118614630222
2,18,11.42118614630222
2,19,11.42118614630222
2,20,11.42118614630222
2,21,11.42118614630222
2,22,11.42118614630222
3,23,11.202703370630044
3,0,11.202703370630044
3,1,11.202703370630044
3,2,11.202703370630044
3,3,11.202703370630044
3,4,11.202703370630044
3,5,11.202703370630044
3,6,11.202703370630044
3,7,11.202703370630044
3,8,11.202703370630044
2,9,11.42118614630222
2,10,11.42118614630222
2,11,11.42118614630222
2,12,11.42118614630222
