weekday,cnt,Predicted Y
6,16,196.75202101417455
6,40,196.75202101417455
6,32,196.75202101417455
6,13,196.75202101417455
6,1,196.75202101417455
6,1,196.75202101417455
6,2,196.75202101417455
6,3,196.75202101417455
6,8,196.75202101417455
6,14,196.75202101417455
6,36,196.75202101417455
6,56,196.75202101417455
6,84,196.75202101417455
6,94,196.75202101417455
6,106,196.75202101417455
6,110,196.75202101417455
6,93,196.75202101417455
6,67,196.75202101417455
6,35,196.75202101417455
6,37,196.75202101417455
6,36,196.75202101417455
6,34,196.75202101417455
6,28,196.75202101417455
6,39,196.75202101417455
0,17,182.1562374174539
0,17,182.1562374174539
0,9,182.1562374174539
0,6,182.1562374174539
0,3,182.1562374174539
0,2,182.1562374174539
0,1,182.1562374174539
0,8,182.1562374174539
0,20,182.1562374174539
0,53,182.1562374174539
0,70,182.1562374174539
0,93,182.1562374174539
0,75,182.1562374174539
0,59,182.1562374174539
0,74,182.1562374174539
0,76,182.1562374174539
0,65,182.1562374174539
0,53,182.1562374174539
0,30,182.1562374174539
0,22,182.1562374174539
0,31,182.1562374174539
0,9,182.1562374174539
0,8,182.1562374174539
1,5,184.58886801690733
1,2,184.58886801690733
1,1,184.58886801690733
1,3,184.58886801690733
1,30,184.58886801690733
1,64,184.58886801690733
1,154,184.58886801690733
1,88,184.58886801690733
1,44,184.58886801690733
1,51,184.58886801690733
1,61,184.58886801690733
1,61,184.58886801690733
1,77,184.58886801690733
1,72,184.58886801690733
1,76,184.58886801690733
1,157,184.58886801690733
1,157,184.58886801690733
1,110,184.58886801690733
1,52,184.58886801690733
1,52,184.58886801690733
1,20,184.58886801690733
1,12,184.58886801690733
2,5,187.02149861636076
2,2,187.02149861636076
2,1,187.02149861636076
2,2,187.02149861636076
2,4,187.02149861636076
2,36,187.02149861636076
2,94,187.02149861636076
2,179,187.02149861636076
2,100,187.02149861636076
2,42,187.02149861636076
2,57,187.02149861636076
2,78,187.02149861636076
2,97,187.02149861636076
2,63,187.02149861636076
2,65,187.02149861636076
2,83,187.02149861636076
2,212,187.02149861636076
2,182,187.02149861636076
2,112,187.02149861636076
2,54,187.02149861636076
2,48,187.02149861636076
2,35,187.02149861636076
2,11,187.02149861636076
3,6,189.45412921581422
3,6,189.45412921581422
3,2,189.45412921581422
3,2,189.45412921581422
3,3,189.45412921581422
3,33,189.45412921581422
3,88,189.45412921581422
3,195,189.45412921581422
3,115,189.45412921581422
3,57,189.45412921581422
3,46,189.45412921581422
3,79,189.45412921581422
3,71,189.45412921581422
3,62,189.45412921581422
3,62,189.45412921581422
3,89,189.45412921581422
3,190,189.45412921581422
3,169,189.45412921581422
3,132,189.45412921581422
3,89,189.45412921581422
3,43,189.45412921581422
3,42,189.45412921581422
3,19,189.45412921581422
4,11,191.88675981526765
4,4,191.88675981526765
4,2,191.88675981526765
4,1,191.88675981526765
4,4,191.88675981526765
4,36,191.88675981526765
4,95,191.88675981526765
4,219,191.88675981526765
4,122,191.88675981526765
4,45,191.88675981526765
4,59,191.88675981526765
4,84,191.88675981526765
4,67,191.88675981526765
4,70,191.88675981526765
4,62,191.88675981526765
4,86,191.88675981526765
4,172,191.88675981526765
4,163,191.88675981526765
4,112,191.88675981526765
4,69,191.88675981526765
4,48,191.88675981526765
4,52,191.88675981526765
4,23,191.88675981526765
5,17,194.31939041472108
5,7,194.31939041472108
5,1,194.31939041472108
5,1,194.31939041472108
5,5,194.31939041472108
5,34,194.31939041472108
5,84,194.31939041472108
5,210,194.31939041472108
5,134,194.31939041472108
5,63,194.31939041472108
5,67,194.31939041472108
5,59,194.31939041472108
5,73,194.31939041472108
5,50,194.31939041472108
5,72,194.31939041472108
5,87,194.31939041472108
5,187,194.31939041472108
5,123,194.31939041472108
5,95,194.31939041472108
5,51,194.31939041472108
5,39,194.31939041472108
5,36,194.31939041472108
5,15,194.31939041472108
6,25,196.75202101417455
6,16,196.75202101417455
6,16,196.75202101417455
6,7,196.75202101417455
6,1,196.75202101417455
6,5,196.75202101417455
6,2,196.75202101417455
6,9,196.75202101417455
6,15,196.75202101417455
6,20,196.75202101417455
6,61,196.75202101417455
6,62,196.75202101417455
6,98,196.75202101417455
6,102,196.75202101417455
6,95,196.75202101417455
6,74,196.75202101417455
6,76,196.75202101417455
6,69,196.75202101417455
6,55,196.75202101417455
6,30,196.75202101417455
6,28,196.75202101417455
6,37,196.75202101417455
6,34,196.75202101417455
6,22,196.75202101417455
0,25,182.1562374174539
0,12,182.1562374174539
0,11,182.1562374174539
0,4,182.1562374174539
0,1,182.1562374174539
0,1,182.1562374174539
0,1,182.1562374174539
0,6,182.1562374174539
0,10,182.1562374174539
0,19,182.1562374174539
0,49,182.1562374174539
0,49,182.1562374174539
0,83,182.1562374174539
0,75,182.1562374174539
0,72,182.1562374174539
0,82,182.1562374174539
0,92,182.1562374174539
0,62,182.1562374174539
0,48,182.1562374174539
0,41,182.1562374174539
0,38,182.1562374174539
0,20,182.1562374174539
0,15,182.1562374174539
0,6,182.1562374174539
1,5,184.58886801690733
1,1,184.58886801690733
1,3,184.58886801690733
1,1,184.58886801690733
1,3,184.58886801690733
1,3,184.58886801690733
1,31,184.58886801690733
1,77,184.58886801690733
1,188,184.58886801690733
1,94,184.58886801690733
1,31,184.58886801690733
1,30,184.58886801690733
1,52,184.58886801690733
1,54,184.58886801690733
1,47,184.58886801690733
1,45,184.58886801690733
1,74,184.58886801690733
1,178,184.58886801690733
1,155,184.58886801690733
1,95,184.58886801690733
1,74,184.58886801690733
1,38,184.58886801690733
1,24,184.58886801690733
1,18,184.58886801690733
2,12,187.02149861636076
2,3,187.02149861636076
2,3,187.02149861636076
2,6,187.02149861636076
2,27,187.02149861636076
2,99,187.02149861636076
2,217,187.02149861636076
2,130,187.02149861636076
2,54,187.02149861636076
2,35,187.02149861636076
2,57,187.02149861636076
2,52,187.02149861636076
2,63,187.02149861636076
2,47,187.02149861636076
2,76,187.02149861636076
2,136,187.02149861636076
2,95,187.02149861636076
2,51,187.02149861636076
2,32,187.02149861636076
2,20,187.02149861636076
2,29,187.02149861636076
2,19,187.02149861636076
3,7,189.45412921581422
3,6,189.45412921581422
3,1,189.45412921581422
3,5,189.45412921581422
3,16,189.45412921581422
3,54,189.45412921581422
3,128,189.45412921581422
3,81,189.45412921581422
3,39,189.45412921581422
3,35,189.45412921581422
3,55,189.45412921581422
3,49,189.45412921581422
3,44,189.45412921581422
3,49,189.45412921581422
3,68,189.45412921581422
3,139,189.45412921581422
3,137,189.45412921581422
3,83,189.45412921581422
3,56,189.45412921581422
3,57,189.45412921581422
3,33,189.45412921581422
3,20,189.45412921581422
4,7,191.88675981526765
4,2,191.88675981526765
4,2,191.88675981526765
4,3,191.88675981526765
