windspeed,casual,Predicted Y
0.0,3,28.759139476858167
0.0,8,28.759139476858167
0.0,5,28.759139476858167
0.0,3,28.759139476858167
0.0,0,28.759139476858167
0.0896,0,32.019413426403446
0.0,2,28.759139476858167
0.0,1,28.759139476858167
0.0,1,28.759139476858167
0.0,8,28.759139476858167
0.2537,12,37.99051783622912
0.2836,26,39.07848871894568
0.2836,29,39.07848871894568
0.2985,47,39.62065481100176
0.2836,35,39.07848871894568
0.2985,40,39.62065481100176
0.2985,41,39.62065481100176
0.2836,15,39.07848871894568
0.2537,9,37.99051783622912
0.2537,6,37.99051783622912
0.2537,11,37.99051783622912
0.194,3,35.8182147694004
0.2239,11,36.90618565211696
0.2985,15,39.62065481100176
0.2985,4,39.62065481100176
0.2537,1,37.99051783622912
0.2836,1,39.07848871894568
0.194,2,35.8182147694004
0.194,2,35.8182147694004
0.2985,0,39.62065481100176
0.194,0,35.8182147694004
0.2239,0,36.90618565211696
0.2239,1,36.90618565211696
0.2239,7,36.90618565211696
0.2537,16,37.99051783622912
0.2985,20,39.62065481100176
0.1343,11,33.64591170257168
0.194,4,35.8182147694004
0.1642,19,34.73388258528824
0.1642,9,34.73388258528824
0.194,7,35.8182147694004
0.3284,10,40.708625693718325
0.4478,1,45.053231827375754
0.3582,5,41.79295787783048
0.3284,11,40.708625693718325
0.2985,0,39.62065481100176
0.1642,0,34.73388258528824
0.3582,0,41.79295787783048
0.4179,0,43.9652609446592
0.3881,0,42.88092876054704
0.2836,0,39.07848871894568
0.3881,0,42.88092876054704
0.194,1,35.8182147694004
0.2836,1,39.07848871894568
0.3881,7,42.88092876054704
0.2537,11,37.99051783622912
0.3284,10,40.708625693718325
0.2985,13,39.62065481100176
0.2836,8,39.07848871894568
0.2836,11,39.07848871894568
0.2537,14,37.99051783622912
0.2537,9,37.99051783622912
0.2239,11,36.90618565211696
0.1045,9,32.561579518459524
0.0,8,28.759139476858167
0.1045,3,32.561579518459524
0.1343,3,33.64591170257168
0.1343,0,33.64591170257168
0.1045,1,32.561579518459524
0.1045,0,32.561579518459524
0.1045,0,32.561579518459524
