windspeed,cnt,Predicted Y
0.0,16,163.18533236293572
0.0,40,163.18533236293572
0.0,32,163.18533236293572
0.0,13,163.18533236293572
0.0,1,163.18533236293572
0.0896,1,175.57100579712161
0.0,2,163.18533236293572
0.0,3,163.18533236293572
0.0,8,163.18533236293572
0.0,14,163.18533236293572
0.2537,36,198.25503493272322
0.2836,56,202.38820050953302
0.2836,84,202.38820050953302
0.2985,94,204.44787164981616
0.2836,106,202.38820050953302
0.2985,110,204.44787164981616
0.2985,93,204.44787164981616
0.2836,67,202.38820050953302
0.2537,35,198.25503493272322
0.2537,37,198.25503493272322
0.2537,36,198.25503493272322
0.194,34,190.00252707534713
0.2239,28,194.13569265215693
0.2985,39,204.44787164981616
0.2985,17,204.44787164981616
0.2537,17,198.25503493272322
0.2836,9,202.38820050953302
0.194,6,190.00252707534713
0.194,3,190.00252707534713
0.2985,2,204.44787164981616
0.194,1,190.00252707534713
0.2239,8,194.13569265215693
0.2239,20,194.13569265215693
0.2239,53,194.13569265215693
0.2537,70,198.25503493272322
0.2985,93,204.44787164981616
0.1343,75,181.75001921797104
0.194,59,190.00252707534713
0.1642,74,185.88318479478085
0.1642,76,185.88318479478085
0.194,65,190.00252707534713
0.3284,53,208.58103722662597
0.4478,30,225.0860529413781
0.3582,22,212.70037950719225
0.3284,31,208.58103722662597
0.2985,9,204.44787164981616
0.1642,8,185.88318479478085
0.3582,5,212.70037950719225
0.4179,2,220.9528873645683
0.3881,1,216.83354508400203
0.2836,3,202.38820050953302
0.3881,30,216.83354508400203
0.194,64,190.00252707534713
0.2836,154,202.38820050953302
0.3881,88,216.83354508400203
0.2537,44,198.25503493272322
0.3284,51,208.58103722662597
0.2985,61,204.44787164981616
0.2836,61,202.38820050953302
0.2836,77,202.38820050953302
0.2537,72,198.25503493272322
0.2537,76,198.25503493272322
0.2239,157,194.13569265215693
0.1045,157,177.63067693740476
0.0,110,163.18533236293572
0.1045,52,177.63067693740476
0.1343,52,181.75001921797104
0.1343,20,181.75001921797104
0.1045,12,177.63067693740476
0.1045,5,177.63067693740476
0.1045,2,177.63067693740476
0.1343,1,181.75001921797104
0.0896,2,175.57100579712161
0.1045,4,177.63067693740476
0.1045,36,177.63067693740476
0.1343,94,181.75001921797104
0.1642,179,185.88318479478085
0.2239,100,194.13569265215693
0.3284,42,208.58103722662597
0.2985,57,204.44787164981616
0.1642,78,185.88318479478085
0.194,97,190.00252707534713
0.2239,63,194.13569265215693
0.2537,65,198.25503493272322
0.2537,83,198.25503493272322
0.2239,212,194.13569265215693
0.194,182,190.00252707534713
0.1045,112,177.63067693740476
0.1045,54,177.63067693740476
0.0,48,163.18533236293572
0.0896,35,175.57100579712161
0.0896,11,175.57100579712161
0.0,6,163.18533236293572
0.0896,6,175.57100579712161
0.0896,2,175.57100579712161
0.2239,2,194.13569265215693
0.1642,3,185.88318479478085
0.2239,33,194.13569265215693
0.194,88,190.00252707534713
0.2985,195,204.44787164981616
0.3284,115,208.58103722662597
0.3284,57,208.58103722662597
0.3284,46,208.58103722662597
0.3284,79,208.58103722662597
0.2985,71,204.44787164981616
0.194,62,190.00252707534713
0.194,62,190.00252707534713
0.0896,89,175.57100579712161
0.194,190,190.00252707534713
0.1343,169,181.75001921797104
0.1045,132,177.63067693740476
0.1642,89,185.88318479478085
0.194,43,190.00252707534713
0.1343,42,181.75001921797104
0.0,19,163.18533236293572
0.0,11,163.18533236293572
0.0,4,163.18533236293572
0.0,2,163.18533236293572
0.0896,1,175.57100579712161
0.0896,4,175.57100579712161
0.1045,36,177.63067693740476
0.0,95,163.18533236293572
0.0,219,163.18533236293572
0.0,122,163.18533236293572
0.0,45,163.18533236293572
0.0896,59,175.57100579712161
0.0,84,163.18533236293572
0.1045,67,177.63067693740476
0.1642,70,185.88318479478085
0.0,62,163.18533236293572
0.1642,86,185.88318479478085
0.1642,172,185.88318479478085
0.1343,163,181.75001921797104
0.0896,112,175.57100579712161
0.1642,69,185.88318479478085
0.2239,48,194.13569265215693
0.2836,52,202.38820050953302
0.194,23,190.00252707534713
0.194,17,190.00252707534713
0.2239,7,194.13569265215693
0.2239,1,194.13569265215693
0.1343,1,181.75001921797104
0.0,5,163.18533236293572
0.0,34,163.18533236293572
0.1343,84,181.75001921797104
0.2537,210,198.25503493272322
0.2985,134,204.44787164981616
0.3284,63,208.58103722662597
0.2239,67,194.13569265215693
0.2537,59,198.25503493272322
0.2836,73,202.38820050953302
0.2537,50,198.25503493272322
0.1642,72,185.88318479478085
0.1642,87,185.88318479478085
0.0,187,163.18533236293572
0.0896,123,175.57100579712161
0.0896,95,175.57100579712161
0.1045,51,177.63067693740476
0.1343,39,181.75001921797104
0.1642,36,185.88318479478085
0.1642,15,185.88318479478085
0.1642,25,185.88318479478085
0.0896,16,175.57100579712161
0.0,16,163.18533236293572
0.1642,7,185.88318479478085
0.1642,1,185.88318479478085
0.1642,5,185.88318479478085
0.1642,2,185.88318479478085
0.1045,9,177.63067693740476
0.1045,15,177.63067693740476
0.1045,20,177.63067693740476
0.1642,61,185.88318479478085
0.3881,62,216.83354508400203
0.3582,98,212.70037950719225
0.3284,102,208.58103722662597
0.4925,95,231.26506636222757
0.4478,74,225.0860529413781
0.4478,76,225.0860529413781
0.5522,69,239.51757421960366
0.2985,55,204.44787164981616
0.2537,30,198.25503493272322
0.2537,28,198.25503493272322
0.3582,37,212.70037950719225
0.3881,34,216.83354508400203
0.4478,22,225.0860529413781
0.3881,25,216.83354508400203
0.4627,12,227.14572408166129
0.4627,11,227.14572408166129
0.4179,4,220.9528873645683
0.194,1,190.00252707534713
0.194,1,190.00252707534713
0.2836,1,202.38820050953302
0.194,6,190.00252707534713
0.2836,10,202.38820050953302
0.5224,19,235.39823193903737
0.3881,49,216.83354508400203
0.5224,49,235.39823193903737
0.4478,83,225.0860529413781
0.4478,75,225.0860529413781
0.4627,72,227.14572408166129
0.3582,82,212.70037950719225
0.4478,92,225.0860529413781
0.3881,62,216.83354508400203
0.3284,48,208.58103722662597
0.3284,41,208.58103722662597
0.2537,38,198.25503493272322
0.4179,20,220.9528873645683
0.2985,15,204.44787164981616
0.194,6,190.00252707534713
0.2836,5,202.38820050953302
0.2836,1,202.38820050953302
0.2239,3,194.13569265215693
0.2239,1,194.13569265215693
0.1343,3,181.75001921797104
0.2537,3,198.25503493272322
0.2836,31,202.38820050953302
0.2239,77,194.13569265215693
0.2836,188,202.38820050953302
0.2537,94,198.25503493272322
0.2985,31,204.44787164981616
0.2836,30,202.38820050953302
0.2836,52,202.38820050953302
0.2836,54,202.38820050953302
0.2239,47,194.13569265215693
0.2239,45,194.13569265215693
0.1343,74,181.75001921797104
0.1045,178,177.63067693740476
0.2239,155,194.13569265215693
0.1642,95,185.88318479478085
0.1642,74,185.88318479478085
0.194,38,190.00252707534713
0.1642,24,185.88318479478085
0.1642,18,185.88318479478085
0.1045,12,177.63067693740476
0.1642,3,185.88318479478085
0.194,3,190.00252707534713
0.1343,6,181.75001921797104
0.1343,27,181.75001921797104
0.0,99,163.18533236293572
0.0896,217,175.57100579712161
0.1642,130,185.88318479478085
0.1642,54,185.88318479478085
0.1343,35,181.75001921797104
0.1045,57,177.63067693740476
0.0896,52,175.57100579712161
0.0896,63,175.57100579712161
0.0896,47,175.57100579712161
0.2239,76,194.13569265215693
0.2239,136,194.13569265215693
0.1045,95,177.63067693740476
0.0,51,163.18533236293572
0.194,32,190.00252707534713
0.0896,20,175.57100579712161
0.1045,29,177.63067693740476
0.0896,19,175.57100579712161
0.0896,7,175.57100579712161
0.1045,6,177.63067693740476
0.1343,1,181.75001921797104
0.1642,5,185.88318479478085
0.1343,16,181.75001921797104
0.1343,54,181.75001921797104
0.1642,128,185.88318479478085
0.3284,81,208.58103722662597
0.2239,39,194.13569265215693
0.3881,35,216.83354508400203
0.5821,55,243.65073979641343
0.3582,49,212.70037950719225
0.3284,44,208.58103722662597
0.4179,49,220.9528873645683
0.3284,68,208.58103722662597
0.3582,139,212.70037950719225
0.5224,137,235.39823193903737
0.4179,83,220.9528873645683
0.3284,56,208.58103722662597
0.3284,57,208.58103722662597
0.4478,33,225.0860529413781
0.4179,20,220.9528873645683
0.2836,7,202.38820050953302
0.2836,2,202.38820050953302
0.3582,2,212.70037950719225
0.3284,3,208.58103722662597
0.2537,4,198.25503493272322
0.2985,3,204.44787164981616
0.1343,28,181.75001921797104
0.1343,72,181.75001921797104
0.194,202,190.00252707534713
0.3284,139,208.58103722662597
0.3582,38,212.70037950719225
0.4478,37,225.0860529413781
0.4179,52,220.9528873645683
0.4478,83,225.0860529413781
0.3881,42,216.83354508400203
0.2985,60,204.44787164981616
0.3582,78,212.70037950719225
0.2836,162,202.38820050953302
0.3284,144,208.58103722662597
0.2537,99,198.25503493272322
0.2239,64,194.13569265215693
0.2985,40,204.44787164981616
0.3284,30,208.58103722662597
0.194,15,190.00252707534713
0.194,14,190.00252707534713
0.1642,5,185.88318479478085
0.1343,1,181.75001921797104
0.1045,1,177.63067693740476
0.0896,8,175.57100579712161
0.0,17,163.18533236293572
0.1642,70,185.88318479478085
0.0,158,163.18533236293572
0.1343,117,181.75001921797104
0.194,44,190.00252707534713
0.2836,53,202.38820050953302
0.2537,61,198.25503493272322
0.3881,77,216.83354508400203
0.2836,64,202.38820050953302
0.1642,68,185.88318479478085
0.1045,90,177.63067693740476
0.1642,159,185.88318479478085
0.0,139,163.18533236293572
0.0896,92,175.57100579712161
0.0,68,163.18533236293572
0.0,52,163.18533236293572
0.0,36,163.18533236293572
0.0,27,163.18533236293572
0.0,28,163.18533236293572
0.0896,20,175.57100579712161
0.0896,12,175.57100579712161
0.0,8,163.18533236293572
0.0,5,163.18533236293572
0.0,1,163.18533236293572
0.1045,3,177.63067693740476
0.0,10,163.18533236293572
0.1343,23,181.75001921797104
0.1343,33,181.75001921797104
0.1642,59,185.88318479478085
0.2239,72,194.13569265215693
0.2239,89,194.13569265215693
0.2985,101,204.44787164981616
0.2836,118,202.38820050953302
0.194,129,190.00252707534713
0.194,128,190.00252707534713
0.2836,83,202.38820050953302
0.2537,84,198.25503493272322
0.2537,74,198.25503493272322
0.2537,41,198.25503493272322
0.2239,57,194.13569265215693
0.1045,26,177.63067693740476
0.2836,44,202.38820050953302
0.0,39,163.18533236293572
0.1343,23,181.75001921797104
0.0896,16,175.57100579712161
0.0,15,163.18533236293572
0.1642,1,185.88318479478085
0.1642,2,185.88318479478085
0.1642,1,185.88318479478085
0.2985,3,204.44787164981616
0.2836,18,202.38820050953302
0.2537,32,198.25503493272322
0.2836,79,202.38820050953302
0.2537,93,198.25503493272322
0.2836,104,202.38820050953302
0.2985,118,204.44787164981616
0.2537,91,198.25503493272322
0.2537,113,198.25503493272322
0.2239,99,194.13569265215693
0.2537,105,198.25503493272322
0.1642,67,185.88318479478085
0.1343,61,181.75001921797104
0.1642,57,185.88318479478085
0.1642,28,185.88318479478085
0.1343,21,181.75001921797104
0.1045,18,177.63067693740476
0.2239,17,194.13569265215693
0.194,16,190.00252707534713
0.2537,8,198.25503493272322
0.194,2,190.00252707534713
0.1343,3,181.75001921797104
0.1642,1,185.88318479478085
0.194,5,190.00252707534713
0.1343,13,181.75001921797104
0.2239,33,194.13569265215693
0.2239,47,194.13569265215693
0.2537,57,198.25503493272322
0.194,64,190.00252707534713
0.1343,80,181.75001921797104
0.1343,93,181.75001921797104
0.1045,86,177.63067693740476
0.1642,93,185.88318479478085
0.1642,82,185.88318479478085
0.194,71,190.00252707534713
0.2537,92,198.25503493272322
0.194,60,190.00252707534713
0.194,33,190.00252707534713
0.194,27,190.00252707534713
0.2537,13,198.25503493272322
0.2836,4,202.38820050953302
0.3284,3,208.58103722662597
0.2239,22,194.13569265215693
0.1642,28,185.88318479478085
0.1642,35,185.88318479478085
0.194,61,190.00252707534713
0.194,125,190.00252707534713
0.1642,133,185.88318479478085
0.1343,99,181.75001921797104
0.0,83,163.18533236293572
0.1045,41,177.63067693740476
0.0896,33,175.57100579712161
0.0,20,163.18533236293572
0.0,3,163.18533236293572
0.1343,7,181.75001921797104
0.1343,3,181.75001921797104
0.1343,2,181.75001921797104
0.0896,7,175.57100579712161
0.0896,32,175.57100579712161
0.1045,90,177.63067693740476
0.1045,197,177.63067693740476
0.1045,109,177.63067693740476
0.1343,47,181.75001921797104
0.0896,52,175.57100579712161
0.0896,70,175.57100579712161
0.2836,78,202.38820050953302
0.2537,75,198.25503493272322
0.2836,82,202.38820050953302
0.3881,104,216.83354508400203
0.3284,197,208.58103722662597
0.2836,161,202.38820050953302
0.4179,112,220.9528873645683
0.2985,76,204.44787164981616
0.4179,59,220.9528873645683
0.1642,59,185.88318479478085
0.4627,28,227.14572408166129
0.3881,13,216.83354508400203
0.0,5,163.18533236293572
0.0,2,163.18533236293572
0.1642,1,185.88318479478085
0.1642,1,185.88318479478085
0.2239,6,194.13569265215693
0.2239,35,194.13569265215693
0.2239,101,194.13569265215693
0.2836,249,202.38820050953302
0.2239,143,194.13569265215693
0.2985,57,204.44787164981616
0.1642,68,185.88318479478085
0.0,84,163.18533236293572
0.1045,98,177.63067693740476
0.1343,81,181.75001921797104
0.194,70,190.00252707534713
0.1343,91,181.75001921797104
0.1045,215,177.63067693740476
0.194,185,190.00252707534713
0.3284,152,208.58103722662597
0.2836,126,202.38820050953302
