windspeed,hr,Predicted Y
0.0,0,10.07213395258575
0.0,1,10.07213395258575
0.0,2,10.07213395258575
0.0,3,10.07213395258575
0.0,4,10.07213395258575
0.0896,5,10.767175642522256
0.0,6,10.07213395258575
0.0,7,10.07213395258575
0.0,8,10.07213395258575
0.0,9,10.07213395258575
0.2537,10,12.040125880452845
0.2836,11,12.272065015822282
0.2836,12,12.272065015822282
0.2985,13,12.387646725421098
0.2836,14,12.272065015822282
0.2985,15,12.387646725421098
0.2985,16,12.387646725421098
0.2836,17,12.272065015822282
0.2537,18,12.040125880452845
0.2537,19,12.040125880452845
0.2537,20,12.040125880452845
0.194,21,11.577023325885776
0.2239,22,11.808962461255211
0.2985,23,12.387646725421098
0.2985,0,12.387646725421098
0.2537,1,12.040125880452845
0.2836,2,12.272065015822282
0.194,3,11.577023325885776
0.194,4,11.577023325885776
0.2985,6,12.387646725421098
0.194,7,11.577023325885776
0.2239,8,11.808962461255211
0.2239,9,11.808962461255211
0.2239,10,11.808962461255211
0.2537,11,12.040125880452845
0.2985,12,12.387646725421098
0.1343,13,11.113920771318705
0.194,14,11.577023325885776
0.1642,15,11.345859906688142
0.1642,16,11.345859906688142
0.194,17,11.577023325885776
0.3284,18,12.619585860790535
0.4478,19,13.545790969924674
0.3582,20,12.850749279988168
0.3284,21,12.619585860790535
0.2985,22,12.387646725421098
0.1642,23,11.345859906688142
0.3582,0,12.850749279988168
0.4179,1,13.313851834555237
0.3881,4,13.082688415357605
0.2836,5,12.272065015822282
0.3881,6,13.082688415357605
0.194,7,11.577023325885776
0.2836,8,12.272065015822282
0.3881,9,13.082688415357605
0.2537,10,12.040125880452845
0.3284,11,12.619585860790535
0.2985,12,12.387646725421098
0.2836,13,12.272065015822282
0.2836,14,12.272065015822282
0.2537,15,12.040125880452845
0.2537,16,12.040125880452845
0.2239,17,11.808962461255211
0.1045,18,10.882757352121073
0.0,19,10.07213395258575
0.1045,20,10.882757352121073
0.1343,21,11.113920771318705
0.1343,22,11.113920771318705
0.1045,23,10.882757352121073
0.1045,0,10.882757352121073
0.1045,1,10.882757352121073
0.1343,2,11.113920771318705
0.0896,4,10.767175642522256
0.1045,5,10.882757352121073
0.1045,6,10.882757352121073
0.1343,7,11.113920771318705
0.1642,8,11.345859906688142
0.2239,9,11.808962461255211
0.3284,10,12.619585860790535
0.2985,11,12.387646725421098
0.1642,12,11.345859906688142
0.194,13,11.577023325885776
0.2239,14,11.808962461255211
0.2537,15,12.040125880452845
0.2537,16,12.040125880452845
0.2239,17,11.808962461255211
0.194,18,11.577023325885776
0.1045,19,10.882757352121073
0.1045,20,10.882757352121073
0.0,21,10.07213395258575
0.0896,22,10.767175642522256
0.0896,23,10.767175642522256
0.0,0,10.07213395258575
0.0896,1,10.767175642522256
0.0896,2,10.767175642522256
0.2239,4,11.808962461255211
0.1642,5,11.345859906688142
0.2239,6,11.808962461255211
0.194,7,11.577023325885776
0.2985,8,12.387646725421098
0.3284,9,12.619585860790535
0.3284,10,12.619585860790535
