workingday,cnt,Predicted Y
0,16,181.40533188248097
0,40,181.40533188248097
0,32,181.40533188248097
0,13,181.40533188248097
0,1,181.40533188248097
0,1,181.40533188248097
0,2,181.40533188248097
0,3,181.40533188248097
0,8,181.40533188248097
0,14,181.40533188248097
0,36,181.40533188248097
0,56,181.40533188248097
0,84,181.40533188248097
0,94,181.40533188248097
0,106,181.40533188248097
0,110,181.40533188248097
0,93,181.40533188248097
0,67,181.40533188248097
0,35,181.40533188248097
0,37,181.40533188248097
0,36,181.40533188248097
0,34,181.40533188248097
0,28,181.40533188248097
0,39,181.40533188248097
0,17,181.40533188248097
0,17,181.40533188248097
0,9,181.40533188248097
0,6,181.40533188248097
0,3,181.40533188248097
0,2,181.40533188248097
0,1,181.40533188248097
0,8,181.40533188248097
0,20,181.40533188248097
0,53,181.40533188248097
0,70,181.40533188248097
0,93,181.40533188248097
0,75,181.40533188248097
0,59,181.40533188248097
0,74,181.40533188248097
0,76,181.40533188248097
0,65,181.40533188248097
0,53,181.40533188248097
0,30,181.40533188248097
0,22,181.40533188248097
0,31,181.40533188248097
0,9,181.40533188248097
0,8,181.40533188248097
1,5,193.2077538980194
1,2,193.2077538980194
1,1,193.2077538980194
1,3,193.2077538980194
1,30,193.2077538980194
1,64,193.2077538980194
1,154,193.2077538980194
1,88,193.2077538980194
1,44,193.2077538980194
1,51,193.2077538980194
1,61,193.2077538980194
1,61,193.2077538980194
1,77,193.2077538980194
1,72,193.2077538980194
1,76,193.2077538980194
1,157,193.2077538980194
1,157,193.2077538980194
1,110,193.2077538980194
1,52,193.2077538980194
1,52,193.2077538980194
1,20,193.2077538980194
1,12,193.2077538980194
1,5,193.2077538980194
1,2,193.2077538980194
1,1,193.2077538980194
1,2,193.2077538980194
1,4,193.2077538980194
1,36,193.2077538980194
1,94,193.2077538980194
1,179,193.2077538980194
1,100,193.2077538980194
1,42,193.2077538980194
1,57,193.2077538980194
1,78,193.2077538980194
1,97,193.2077538980194
1,63,193.2077538980194
1,65,193.2077538980194
1,83,193.2077538980194
1,212,193.2077538980194
1,182,193.2077538980194
1,112,193.2077538980194
1,54,193.2077538980194
1,48,193.2077538980194
1,35,193.2077538980194
1,11,193.2077538980194
1,6,193.2077538980194
