atemp,casual,Predicted Y
0.2879,3,11.200084810123542
0.2727,8,9.219847797812001
0.2727,5,9.219847797812001
0.2879,3,11.200084810123542
0.2879,0,11.200084810123542
0.2576,0,7.252638660581454
0.2727,2,9.219847797812001
0.2576,1,7.252638660581454
0.2879,1,11.200084810123542
0.3485,8,19.094977109207726
0.3939,12,25.00963239598036
0.3333,26,17.114740096896178
0.4242,29,28.957078545522457
0.4545,47,32.904524695064545
0.4545,35,32.904524695064545
0.4394,40,30.937315557833998
0.4242,41,28.957078545522457
0.4394,15,30.937315557833998
0.4242,9,28.957078545522457
0.4242,6,28.957078545522457
0.4091,11,26.98986940829191
0.4091,3,26.98986940829191
0.4091,11,26.98986940829191
0.4545,15,32.904524695064545
0.4545,4,32.904524695064545
0.4394,1,30.937315557833998
0.4242,1,28.957078545522457
0.4545,2,32.904524695064545
0.4545,2,32.904524695064545
0.4242,0,28.957078545522457
0.4091,0,26.98986940829191
0.4091,0,26.98986940829191
0.3939,1,25.00963239598036
0.3485,7,19.094977109207726
0.3333,16,17.114740096896178
0.3333,20,17.114740096896178
0.3485,11,19.094977109207726
0.3485,4,19.094977109207726
0.3333,19,17.114740096896178
0.3333,9,17.114740096896178
0.3333,7,17.114740096896178
0.3333,10,17.114740096896178
0.2879,1,11.200084810123542
0.2727,5,9.219847797812001
0.2273,11,3.305192511039362
0.2121,0,1.3249554987278174
0.2273,0,3.305192511039362
0.197,0,-0.64225363850273
0.1667,0,-4.589699788044822
0.1364,0,-8.537145937586914
0.1364,0,-8.537145937586914
0.1061,0,-12.484592087129004
0.1364,1,-8.537145937586914
0.1212,1,-10.517382949898456
0.1364,7,-8.537145937586914
0.1667,11,-4.589699788044822
0.1818,10,-2.6224906508142745
0.2121,13,1.3249554987278174
0.2121,8,1.3249554987278174
0.2424,11,5.272401648269909
0.2424,14,5.272401648269909
0.2424,9,5.272401648269909
0.2273,11,3.305192511039362
0.2576,9,7.252638660581454
0.2576,8,7.252638660581454
0.2273,3,3.305192511039362
0.197,3,-0.64225363850273
0.1515,0,-6.569936800356366
0.2121,1,1.3249554987278174
0.1818,0,-2.6224906508142745
0.1818,0,-2.6224906508142745
0.1515,0,-6.569936800356366
0.1818,0,-2.6224906508142745
0.1515,0,-6.569936800356366
0.1515,0,-6.569936800356366
0.1515,2,-6.569936800356366
0.1515,2,-6.569936800356366
0.1515,2,-6.569936800356366
0.1364,5,-8.537145937586914
0.2121,7,1.3249554987278174
0.2273,12,3.305192511039362
0.2273,18,3.305192511039362
0.2576,9,7.252638660581454
0.2727,17,9.219847797812001
0.2879,15,11.200084810123542
0.2727,10,9.219847797812001
0.2576,3,7.252638660581454
0.2576,2,7.252638660581454
