atemp,cnt,Predicted Y
0.2879,1,192.8732020886265
0.2727,1,193.149096760745
0.2727,1,193.149096760745
0.2879,1,192.8732020886265
0.2879,1,192.8732020886265
0.2576,1,193.42317633633644
0.2727,1,193.149096760745
0.2576,1,193.42317633633644
0.2879,1,192.8732020886265
0.3485,1,191.77325359320665
0.3939,1,190.9491997699053
0.3333,1,192.04914826532516
0.4242,1,190.39922552219537
0.4545,1,189.84925127448543
0.4545,1,189.84925127448543
0.4394,1,190.12333085007685
0.4242,1,190.39922552219537
0.4394,1,190.12333085007685
0.4242,1,190.39922552219537
0.4242,1,190.39922552219537
0.4091,1,190.67330509778677
0.4091,1,190.67330509778677
0.4091,1,190.67330509778677
0.4545,1,189.84925127448543
0.4545,1,189.84925127448543
0.4394,1,190.12333085007685
0.4242,1,190.39922552219537
0.4545,1,189.84925127448543
0.4545,1,189.84925127448543
0.4242,1,190.39922552219537
0.4091,1,190.67330509778677
0.4091,1,190.67330509778677
0.3939,1,190.9491997699053
0.3485,1,191.77325359320665
0.3333,1,192.04914826532516
0.3333,1,192.04914826532516
0.3485,1,191.77325359320665
0.3485,1,191.77325359320665
0.3333,1,192.04914826532516
0.3333,1,192.04914826532516
0.3333,1,192.04914826532516
0.3333,1,192.04914826532516
0.2879,1,192.8732020886265
0.2727,1,193.149096760745
0.2273,1,193.97315058404635
0.2121,1,194.24904525616486
0.2273,1,193.97315058404635
0.197,1,194.5231248317563
0.1667,1,195.07309907946623
0.1364,1,195.62307332717614
0.1364,1,195.62307332717614
0.1061,1,196.17304757488608
0.1364,1,195.62307332717614
0.1212,1,195.89896799929465
0.1364,1,195.62307332717614
0.1667,1,195.07309907946623
0.1818,1,194.7990195038748
0.2121,1,194.24904525616486
0.2121,1,194.24904525616486
0.2424,1,193.69907100845495
0.2424,1,193.69907100845495
0.2424,1,193.69907100845495
0.2273,1,193.97315058404635
0.2576,1,193.42317633633644
0.2576,1,193.42317633633644
0.2273,1,193.97315058404635
0.197,1,194.5231248317563
0.1515,1,195.34899375158474
0.2121,1,194.24904525616486
0.1818,1,194.7990195038748
