casual,atemp,Predicted Y
3,0.2879,0.42405932236784694
8,0.2727,0.43197268907004766
5,0.2727,0.42722466904872725
3,0.2879,0.42405932236784694
0,0.2879,0.4193113023465265
0,0.2576,0.4193113023465265
2,0.2727,0.42247664902740684
1,0.2576,0.4208939756869667
1,0.2879,0.4208939756869667
8,0.3485,0.43197268907004766
12,0.3939,0.4383033824318083
26,0.3333,0.4604608091979703
29,0.4242,0.4652088292192907
47,0.4545,0.4936969493472133
35,0.4545,0.47470486926193156
40,0.4394,0.4826182359641323
41,0.4242,0.48420090930457244
15,0.4394,0.4430514024531287
9,0.4242,0.4335553624104878
6,0.4242,0.4288073423891674
11,0.4091,0.4367207090913681
3,0.4091,0.42405932236784694
11,0.4091,0.4367207090913681
15,0.4545,0.4430514024531287
4,0.4545,0.4256419957082871
1,0.4394,0.4208939756869667
1,0.4242,0.4208939756869667
2,0.4545,0.42247664902740684
2,0.4545,0.42247664902740684
0,0.4242,0.4193113023465265
0,0.4091,0.4193113023465265
0,0.4091,0.4193113023465265
1,0.3939,0.4208939756869667
7,0.3485,0.43039001572960756
16,0.3333,0.44463407579356884
20,0.3333,0.4509647691553294
11,0.3485,0.4367207090913681
4,0.3485,0.4256419957082871
19,0.3333,0.44938209581488925
9,0.3333,0.4335553624104878
7,0.3333,0.43039001572960756
10,0.3333,0.43513803575092797
1,0.2879,0.4208939756869667
5,0.2727,0.42722466904872725
11,0.2273,0.4367207090913681
0,0.2121,0.4193113023465265
0,0.2273,0.4193113023465265
0,0.197,0.4193113023465265
0,0.1667,0.4193113023465265
0,0.1364,0.4193113023465265
0,0.1364,0.4193113023465265
0,0.1061,0.4193113023465265
1,0.1364,0.4208939756869667
1,0.1212,0.4208939756869667
7,0.1364,0.43039001572960756
11,0.1667,0.4367207090913681
10,0.1818,0.43513803575092797
13,0.2121,0.4398860557722484
8,0.2121,0.43197268907004766
11,0.2424,0.4367207090913681
14,0.2424,0.44146872911268853
9,0.2424,0.4335553624104878
11,0.2273,0.4367207090913681
9,0.2576,0.4335553624104878
8,0.2576,0.43197268907004766
3,0.2273,0.42405932236784694
3,0.197,0.42405932236784694
0,0.1515,0.4193113023465265
1,0.2121,0.4208939756869667
0,0.1818,0.4193113023465265
0,0.1818,0.4193113023465265
0,0.1515,0.4193113023465265
0,0.1818,0.4193113023465265
0,0.1515,0.4193113023465265
0,0.1515,0.4193113023465265
2,0.1515,0.42247664902740684
2,0.1515,0.42247664902740684
2,0.1515,0.42247664902740684
5,0.1364,0.42722466904872725
7,0.2121,0.43039001572960756
12,0.2273,0.4383033824318083
18,0.2273,0.44779942247444915
9,0.2576,0.4335553624104878
17,0.2727,0.446216749134009
15,0.2879,0.4430514024531287
10,0.2727,0.43513803575092797
3,0.2576,0.42405932236784694
2,0.2576,0.42247664902740684
1,0.2576,0.4208939756869667
0,0.2727,0.4193113023465265
1,0.2576,0.4208939756869667
2,0.2273,0.42247664902740684
0,0.2576,0.4193113023465265
0,0.197,0.4193113023465265
0,0.197,0.4193113023465265
0,0.2273,0.4193113023465265
0,0.2273,0.4193113023465265
0,0.197,0.4193113023465265
1,0.1818,0.4208939756869667
3,0.1818,0.42405932236784694
6,0.197,0.4288073423891674
4,0.197,0.4256419957082871
12,0.2273,0.4383033824318083
5,0.2273,0.42722466904872725
6,0.2576,0.4288073423891674
10,0.2879,0.43513803575092797
7,0.2879,0.43039001572960756
4,0.3182,0.4256419957082871
4,0.2273,0.4256419957082871
3,0.2424,0.42405932236784694
5,0.2576,0.42722466904872725
7,0.2273,0.43039001572960756
3,0.197,0.42405932236784694
1,0.197,0.4208939756869667
1,0.2576,0.4208939756869667
0,0.2424,0.4193113023465265
0,0.2273,0.4193113023465265
0,0.2273,0.4193113023465265
0,0.197,0.4193113023465265
0,0.1818,0.4193113023465265
0,0.1667,0.4193113023465265
0,0.2273,0.4193113023465265
3,0.2273,0.42405932236784694
6,0.2424,0.4288073423891674
3,0.2576,0.42405932236784694
2,0.2576,0.42247664902740684
6,0.2879,0.4288073423891674
12,0.2727,0.4383033824318083
11,0.2727,0.4367207090913681
8,0.2727,0.43197268907004766
12,0.2576,0.4383033824318083
9,0.2273,0.4335553624104878
5,0.2273,0.42722466904872725
3,0.2576,0.42405932236784694
3,0.2121,0.42405932236784694
0,0.2121,0.4193113023465265
1,0.2121,0.4208939756869667
4,0.197,0.4256419957082871
4,0.197,0.4256419957082871
2,0.197,0.42247664902740684
0,0.197,0.4193113023465265
0,0.2121,0.4193113023465265
0,0.2727,0.4193113023465265
8,0.2576,0.43197268907004766
8,0.2121,0.43197268907004766
20,0.197,0.4509647691553294
9,0.1818,0.4335553624104878
16,0.197,0.44463407579356884
19,0.197,0.44938209581488925
9,0.197,0.4335553624104878
9,0.1818,0.4335553624104878
7,0.197,0.43039001572960756
9,0.2121,0.4335553624104878
5,0.2121,0.42722466904872725
9,0.2576,0.4335553624104878
7,0.2273,0.43039001572960756
3,0.197,0.42405932236784694
1,0.2121,0.4208939756869667
0,0.197,0.4193113023465265
2,0.197,0.42247664902740684
1,0.197,0.4208939756869667
1,0.197,0.4208939756869667
1,0.2121,0.4208939756869667
3,0.2424,0.42405932236784694
0,0.197,0.4193113023465265
0,0.197,0.4193113023465265
0,0.1667,0.4193113023465265
0,0.1667,0.4193113023465265
1,0.1818,0.4208939756869667
0,0.1818,0.4193113023465265
0,0.1818,0.4193113023465265
5,0.197,0.42722466904872725
2,0.1818,0.42247664902740684
8,0.1818,0.43197268907004766
7,0.1818,0.43039001572960756
12,0.1667,0.4383033824318083
5,0.1667,0.42722466904872725
8,0.1364,0.43197268907004766
5,0.1212,0.42722466904872725
3,0.1212,0.42405932236784694
4,0.1212,0.4256419957082871
0,0.1212,0.4193113023465265
2,0.1061,0.42247664902740684
