hr,cnt,Predicted Y
0,1,189.9001953069764
1,1,189.8623398408655
2,1,189.82448437475458
3,1,189.78662890864368
4,1,189.74877344253275
5,1,189.71091797642185
6,1,189.67306251031093
7,1,189.63520704420003
8,1,189.5973515780891
9,1,189.5594961119782
10,1,189.5216406458673
11,1,189.48378517975638
12,1,189.44592971364548
13,1,189.40807424753456
14,1,189.37021878142366
15,1,189.33236331531273
16,1,189.29450784920184
17,1,189.25665238309094
18,1,189.21879691698
19,1,189.1809414508691
20,1,189.1430859847582
21,1,189.1052305186473
22,1,189.06737505253636
23,1,189.02951958642547
0,1,189.9001953069764
1,1,189.8623398408655
2,1,189.82448437475458
3,1,189.78662890864368
4,1,189.74877344253275
6,1,189.67306251031093
7,1,189.63520704420003
8,1,189.5973515780891
9,1,189.5594961119782
10,1,189.5216406458673
11,1,189.48378517975638
12,1,189.44592971364548
13,1,189.40807424753456
14,1,189.37021878142366
15,1,189.33236331531273
16,1,189.29450784920184
17,1,189.25665238309094
18,1,189.21879691698
19,1,189.1809414508691
20,1,189.1430859847582
21,1,189.1052305186473
22,1,189.06737505253636
23,1,189.02951958642547
0,1,189.9001953069764
1,1,189.8623398408655
4,1,189.74877344253275
5,1,189.71091797642185
6,1,189.67306251031093
7,1,189.63520704420003
8,1,189.5973515780891
9,1,189.5594961119782
10,1,189.5216406458673
11,1,189.48378517975638
12,1,189.44592971364548
13,1,189.40807424753456
14,1,189.37021878142366
15,1,189.33236331531273
16,1,189.29450784920184
17,1,189.25665238309094
18,1,189.21879691698
19,1,189.1809414508691
20,1,189.1430859847582
21,1,189.1052305186473
22,1,189.06737505253636
23,1,189.02951958642547
0,1,189.9001953069764
1,1,189.8623398408655
2,1,189.82448437475458
4,1,189.74877344253275
5,1,189.71091797642185
6,1,189.67306251031093
7,1,189.63520704420003
8,1,189.5973515780891
9,1,189.5594961119782
10,1,189.5216406458673
11,1,189.48378517975638
12,1,189.44592971364548
13,1,189.40807424753456
14,1,189.37021878142366
15,1,189.33236331531273
16,1,189.29450784920184
17,1,189.25665238309094
18,1,189.21879691698
19,1,189.1809414508691
20,1,189.1430859847582
21,1,189.1052305186473
22,1,189.06737505253636
23,1,189.02951958642547
0,1,189.9001953069764
1,1,189.8623398408655
2,1,189.82448437475458
4,1,189.74877344253275
5,1,189.71091797642185
6,1,189.67306251031093
7,1,189.63520704420003
8,1,189.5973515780891
9,1,189.5594961119782
10,1,189.5216406458673
11,1,189.48378517975638
12,1,189.44592971364548
13,1,189.40807424753456
14,1,189.37021878142366
15,1,189.33236331531273
16,1,189.29450784920184
17,1,189.25665238309094
18,1,189.21879691698
19,1,189.1809414508691
20,1,189.1430859847582
21,1,189.1052305186473
22,1,189.06737505253636
23,1,189.02951958642547
0,1,189.9001953069764
1,1,189.8623398408655
2,1,189.82448437475458
4,1,189.74877344253275
5,1,189.71091797642185
6,1,189.67306251031093
7,1,189.63520704420003
8,1,189.5973515780891
9,1,189.5594961119782
10,1,189.5216406458673
11,1,189.48378517975638
12,1,189.44592971364548
13,1,189.40807424753456
14,1,189.37021878142366
15,1,189.33236331531273
16,1,189.29450784920184
17,1,189.25665238309094
18,1,189.21879691698
19,1,189.1809414508691
20,1,189.1430859847582
21,1,189.1052305186473
22,1,189.06737505253636
23,1,189.02951958642547
0,1,189.9001953069764
1,1,189.8623398408655
2,1,189.82448437475458
4,1,189.74877344253275
5,1,189.71091797642185
6,1,189.67306251031093
7,1,189.63520704420003
8,1,189.5973515780891
9,1,189.5594961119782
10,1,189.5216406458673
11,1,189.48378517975638
12,1,189.44592971364548
13,1,189.40807424753456
14,1,189.37021878142366
15,1,189.33236331531273
16,1,189.29450784920184
17,1,189.25665238309094
18,1,189.21879691698
19,1,189.1809414508691
20,1,189.1430859847582
21,2,189.1052305186473
22,2,189.06737505253636
23,2,189.02951958642547
0,2,189.9001953069764
1,2,189.8623398408655
2,2,189.82448437475458
3,2,189.78662890864368
4,2,189.74877344253275
5,2,189.71091797642185
6,2,189.67306251031093
7,2,189.63520704420003
8,2,189.5973515780891
9,2,189.5594961119782
10,2,189.5216406458673
11,2,189.48378517975638
12,2,189.44592971364548
13,2,189.40807424753456
14,2,189.37021878142366
15,2,189.33236331531273
16,2,189.29450784920184
17,2,189.25665238309094
18,2,189.21879691698
19,2,189.1809414508691
20,2,189.1430859847582
21,2,189.1052305186473
22,2,189.06737505253636
23,2,189.02951958642547
0,2,189.9001953069764
1,2,189.8623398408655
2,2,189.82448437475458
3,2,189.78662890864368
4,2,189.74877344253275
5,2,189.71091797642185
6,2,189.67306251031093
7,2,189.63520704420003
8,2,189.5973515780891
9,2,189.5594961119782
10,2,189.5216406458673
11,2,189.48378517975638
12,2,189.44592971364548
13,2,189.40807424753456
14,2,189.37021878142366
15,2,189.33236331531273
16,2,189.29450784920184
17,2,189.25665238309094
18,2,189.21879691698
19,2,189.1809414508691
20,2,189.1430859847582
21,2,189.1052305186473
22,2,189.06737505253636
23,2,189.02951958642547
0,2,189.9001953069764
1,2,189.8623398408655
2,2,189.82448437475458
3,2,189.78662890864368
4,2,189.74877344253275
5,2,189.71091797642185
6,2,189.67306251031093
7,2,189.63520704420003
8,2,189.5973515780891
9,2,189.5594961119782
10,2,189.5216406458673
11,2,189.48378517975638
12,2,189.44592971364548
13,2,189.40807424753456
14,2,189.37021878142366
15,2,189.33236331531273
16,2,189.29450784920184
17,2,189.25665238309094
18,2,189.21879691698
19,2,189.1809414508691
20,2,189.1430859847582
21,2,189.1052305186473
22,2,189.06737505253636
23,2,189.02951958642547
0,2,189.9001953069764
1,2,189.8623398408655
2,2,189.82448437475458
5,2,189.71091797642185
6,2,189.67306251031093
7,2,189.63520704420003
8,2,189.5973515780891
9,2,189.5594961119782
10,2,189.5216406458673
11,2,189.48378517975638
12,2,189.44592971364548
13,2,189.40807424753456
14,2,189.37021878142366
15,2,189.33236331531273
16,2,189.29450784920184
17,2,189.25665238309094
18,2,189.21879691698
19,2,189.1809414508691
20,2,189.1430859847582
21,2,189.1052305186473
22,2,189.06737505253636
23,2,189.02951958642547
0,2,189.9001953069764
1,2,189.8623398408655
2,2,189.82448437475458
5,2,189.71091797642185
6,2,189.67306251031093
7,2,189.63520704420003
8,2,189.5973515780891
9,2,189.5594961119782
10,2,189.5216406458673
11,2,189.48378517975638
12,2,189.44592971364548
13,2,189.40807424753456
14,2,189.37021878142366
15,2,189.33236331531273
16,2,189.29450784920184
17,2,189.25665238309094
18,2,189.21879691698
19,2,189.1809414508691
20,2,189.1430859847582
21,2,189.1052305186473
22,2,189.06737505253636
23,2,189.02951958642547
0,2,189.9001953069764
1,2,189.8623398408655
2,2,189.82448437475458
3,2,189.78662890864368
4,2,189.74877344253275
5,2,189.71091797642185
6,2,189.67306251031093
7,2,189.63520704420003
8,2,189.5973515780891
9,2,189.5594961119782
10,2,189.5216406458673
11,2,189.48378517975638
12,2,189.44592971364548
13,2,189.40807424753456
14,2,189.37021878142366
15,2,189.33236331531273
16,2,189.29450784920184
17,2,189.25665238309094
18,2,189.21879691698
19,2,189.1809414508691
20,2,189.1430859847582
21,2,189.1052305186473
22,2,189.06737505253636
23,2,189.02951958642547
0,2,189.9001953069764
1,2,189.8623398408655
2,2,189.82448437475458
3,2,189.78662890864368
5,2,189.71091797642185
6,2,189.67306251031093
7,2,189.63520704420003
8,2,189.5973515780891
9,2,189.5594961119782
10,2,189.5216406458673
11,2,189.48378517975638
12,2,189.44592971364548
13,2,189.40807424753456
14,2,189.37021878142366
15,2,189.33236331531273
16,2,189.29450784920184
17,2,189.25665238309094
18,2,189.21879691698
19,2,189.1809414508691
20,2,189.1430859847582
21,2,189.1052305186473
22,2,189.06737505253636
23,2,189.02951958642547
0,2,189.9001953069764
1,2,189.8623398408655
2,2,189.82448437475458
3,2,189.78662890864368
4,2,189.74877344253275
5,2,189.71091797642185
6,2,189.67306251031093
7,2,189.63520704420003
8,2,189.5973515780891
9,2,189.5594961119782
10,2,189.5216406458673
11,2,189.48378517975638
12,2,189.44592971364548
13,2,189.40807424753456
14,2,189.37021878142366
15,2,189.33236331531273
16,2,189.29450784920184
17,2,189.25665238309094
18,2,189.21879691698
19,2,189.1809414508691
20,2,189.1430859847582
21,2,189.1052305186473
22,2,189.06737505253636
23,2,189.02951958642547
0,2,189.9001953069764
1,2,189.8623398408655
2,2,189.82448437475458
3,2,189.78662890864368
4,2,189.74877344253275
5,2,189.71091797642185
6,2,189.67306251031093
7,2,189.63520704420003
8,2,189.5973515780891
9,2,189.5594961119782
10,2,189.5216406458673
11,2,189.48378517975638
12,2,189.44592971364548
13,2,189.40807424753456
14,2,189.37021878142366
15,2,189.33236331531273
16,2,189.29450784920184
17,2,189.25665238309094
18,3,189.21879691698
19,3,189.1809414508691
20,3,189.1430859847582
21,3,189.1052305186473
22,3,189.06737505253636
23,3,189.02951958642547
0,3,189.9001953069764
1,3,189.8623398408655
2,3,189.82448437475458
3,3,189.78662890864368
4,3,189.74877344253275
5,3,189.71091797642185
6,3,189.67306251031093
7,3,189.63520704420003
8,3,189.5973515780891
9,3,189.5594961119782
10,3,189.5216406458673
11,3,189.48378517975638
12,3,189.44592971364548
13,3,189.40807424753456
14,3,189.37021878142366
15,3,189.33236331531273
16,3,189.29450784920184
17,3,189.25665238309094
18,3,189.21879691698
19,3,189.1809414508691
20,3,189.1430859847582
21,3,189.1052305186473
22,3,189.06737505253636
23,3,189.02951958642547
12,3,189.44592971364548
13,3,189.40807424753456
14,3,189.37021878142366
15,3,189.33236331531273
16,3,189.29450784920184
17,3,189.25665238309094
18,3,189.21879691698
19,3,189.1809414508691
20,3,189.1430859847582
21,3,189.1052305186473
22,3,189.06737505253636
23,3,189.02951958642547
0,3,189.9001953069764
1,3,189.8623398408655
2,3,189.82448437475458
4,3,189.74877344253275
5,3,189.71091797642185
6,3,189.67306251031093
7,3,189.63520704420003
8,3,189.5973515780891
9,3,189.5594961119782
10,3,189.5216406458673
11,3,189.48378517975638
12,3,189.44592971364548
13,3,189.40807424753456
14,3,189.37021878142366
15,3,189.33236331531273
16,3,189.29450784920184
17,3,189.25665238309094
18,3,189.21879691698
19,3,189.1809414508691
20,3,189.1430859847582
21,3,189.1052305186473
22,3,189.06737505253636
23,3,189.02951958642547
0,3,189.9001953069764
1,3,189.8623398408655
2,3,189.82448437475458
3,3,189.78662890864368
4,3,189.74877344253275
5,3,189.71091797642185
6,3,189.67306251031093
7,3,189.63520704420003
8,3,189.5973515780891
9,3,189.5594961119782
10,3,189.5216406458673
11,3,189.48378517975638
12,3,189.44592971364548
13,3,189.40807424753456
14,3,189.37021878142366
15,3,189.33236331531273
16,3,189.29450784920184
17,3,189.25665238309094
18,3,189.21879691698
19,3,189.1809414508691
20,3,189.1430859847582
21,3,189.1052305186473
22,3,189.06737505253636
23,3,189.02951958642547
0,3,189.9001953069764
1,3,189.8623398408655
2,3,189.82448437475458
3,3,189.78662890864368
4,3,189.74877344253275
5,3,189.71091797642185
6,3,189.67306251031093
7,3,189.63520704420003
8,3,189.5973515780891
9,3,189.5594961119782
10,3,189.5216406458673
11,3,189.48378517975638
12,3,189.44592971364548
13,3,189.40807424753456
14,3,189.37021878142366
15,3,189.33236331531273
16,3,189.29450784920184
17,3,189.25665238309094
18,3,189.21879691698
19,3,189.1809414508691
20,3,189.1430859847582
21,3,189.1052305186473
22,3,189.06737505253636
23,3,189.02951958642547
0,3,189.9001953069764
1,3,189.8623398408655
2,3,189.82448437475458
3,3,189.78662890864368
4,3,189.74877344253275
6,3,189.67306251031093
7,3,189.63520704420003
8,3,189.5973515780891
9,3,189.5594961119782
10,3,189.5216406458673
11,3,189.48378517975638
12,3,189.44592971364548
13,3,189.40807424753456
14,3,189.37021878142366
15,3,189.33236331531273
16,3,189.29450784920184
17,3,189.25665238309094
18,3,189.21879691698
19,3,189.1809414508691
20,3,189.1430859847582
21,3,189.1052305186473
22,3,189.06737505253636
23,3,189.02951958642547
0,3,189.9001953069764
1,3,189.8623398408655
2,3,189.82448437475458
3,3,189.78662890864368
5,3,189.71091797642185
6,3,189.67306251031093
7,3,189.63520704420003
8,3,189.5973515780891
9,3,189.5594961119782
10,3,189.5216406458673
11,3,189.48378517975638
12,3,189.44592971364548
13,3,189.40807424753456
14,3,189.37021878142366
15,3,189.33236331531273
16,3,189.29450784920184
17,3,189.25665238309094
18,3,189.21879691698
19,3,189.1809414508691
20,3,189.1430859847582
21,3,189.1052305186473
22,3,189.06737505253636
23,3,189.02951958642547
0,3,189.9001953069764
1,3,189.8623398408655
3,3,189.78662890864368
4,3,189.74877344253275
5,3,189.71091797642185
6,3,189.67306251031093
7,3,189.63520704420003
8,3,189.5973515780891
9,3,189.5594961119782
10,3,189.5216406458673
11,3,189.48378517975638
12,3,189.44592971364548
13,3,189.40807424753456
14,3,189.37021878142366
15,3,189.33236331531273
16,3,189.29450784920184
17,3,189.25665238309094
18,3,189.21879691698
19,3,189.1809414508691
20,3,189.1430859847582
21,3,189.1052305186473
22,3,189.06737505253636
23,3,189.02951958642547
0,3,189.9001953069764
1,3,189.8623398408655
2,3,189.82448437475458
4,3,189.74877344253275
5,3,189.71091797642185
6,3,189.67306251031093
7,3,189.63520704420003
8,3,189.5973515780891
9,3,189.5594961119782
10,3,189.5216406458673
11,3,189.48378517975638
12,3,189.44592971364548
13,3,189.40807424753456
14,3,189.37021878142366
15,3,189.33236331531273
16,3,189.29450784920184
17,3,189.25665238309094
18,3,189.21879691698
19,3,189.1809414508691
20,3,189.1430859847582
21,3,189.1052305186473
22,3,189.06737505253636
23,3,189.02951958642547
0,3,189.9001953069764
1,3,189.8623398408655
2,3,189.82448437475458
5,3,189.71091797642185
6,3,189.67306251031093
7,3,189.63520704420003
8,3,189.5973515780891
9,3,189.5594961119782
10,3,189.5216406458673
11,3,189.48378517975638
12,3,189.44592971364548
13,3,189.40807424753456
14,3,189.37021878142366
15,3,189.33236331531273
16,3,189.29450784920184
17,3,189.25665238309094
16,3,189.29450784920184
17,3,189.25665238309094
18,3,189.21879691698
19,4,189.1809414508691
20,4,189.1430859847582
21,4,189.1052305186473
22,4,189.06737505253636
23,4,189.02951958642547
0,4,189.9001953069764
1,4,189.8623398408655
2,4,189.82448437475458
3,4,189.78662890864368
5,4,189.71091797642185
6,4,189.67306251031093
7,4,189.63520704420003
8,4,189.5973515780891
9,4,189.5594961119782
10,4,189.5216406458673
11,4,189.48378517975638
12,4,189.44592971364548
13,4,189.40807424753456
14,4,189.37021878142366
15,4,189.33236331531273
16,4,189.29450784920184
17,4,189.25665238309094
18,4,189.21879691698
19,4,189.1809414508691
20,4,189.1430859847582
21,4,189.1052305186473
22,4,189.06737505253636
23,4,189.02951958642547
0,4,189.9001953069764
1,4,189.8623398408655
2,4,189.82448437475458
3,4,189.78662890864368
4,4,189.74877344253275
6,4,189.67306251031093
7,4,189.63520704420003
8,4,189.5973515780891
9,4,189.5594961119782
10,4,189.5216406458673
11,4,189.48378517975638
12,4,189.44592971364548
13,4,189.40807424753456
14,4,189.37021878142366
15,4,189.33236331531273
16,4,189.29450784920184
17,4,189.25665238309094
18,4,189.21879691698
19,4,189.1809414508691
20,4,189.1430859847582
21,4,189.1052305186473
22,4,189.06737505253636
23,4,189.02951958642547
0,4,189.9001953069764
1,4,189.8623398408655
2,4,189.82448437475458
3,4,189.78662890864368
4,4,189.74877344253275
5,4,189.71091797642185
7,4,189.63520704420003
8,4,189.5973515780891
9,4,189.5594961119782
10,4,189.5216406458673
11,4,189.48378517975638
12,4,189.44592971364548
13,4,189.40807424753456
14,4,189.37021878142366
15,4,189.33236331531273
16,4,189.29450784920184
17,4,189.25665238309094
18,4,189.21879691698
19,4,189.1809414508691
20,4,189.1430859847582
21,4,189.1052305186473
22,4,189.06737505253636
23,4,189.02951958642547
0,4,189.9001953069764
1,4,189.8623398408655
2,4,189.82448437475458
3,4,189.78662890864368
4,4,189.74877344253275
5,4,189.71091797642185
6,4,189.67306251031093
7,4,189.63520704420003
8,4,189.5973515780891
9,4,189.5594961119782
10,4,189.5216406458673
11,4,189.48378517975638
12,4,189.44592971364548
13,4,189.40807424753456
14,4,189.37021878142366
15,4,189.33236331531273
16,4,189.29450784920184
17,4,189.25665238309094
18,4,189.21879691698
19,4,189.1809414508691
20,4,189.1430859847582
21,4,189.1052305186473
22,4,189.06737505253636
23,4,189.02951958642547
0,4,189.9001953069764
1,4,189.8623398408655
2,4,189.82448437475458
3,4,189.78662890864368
5,4,189.71091797642185
6,4,189.67306251031093
7,4,189.63520704420003
8,4,189.5973515780891
9,4,189.5594961119782
10,4,189.5216406458673
11,4,189.48378517975638
12,4,189.44592971364548
13,4,189.40807424753456
14,4,189.37021878142366
15,4,189.33236331531273
16,4,189.29450784920184
17,4,189.25665238309094
18,4,189.21879691698
19,4,189.1809414508691
20,4,189.1430859847582
21,4,189.1052305186473
22,4,189.06737505253636
23,4,189.02951958642547
0,4,189.9001953069764
1,4,189.8623398408655
2,4,189.82448437475458
3,4,189.78662890864368
4,4,189.74877344253275
5,4,189.71091797642185
6,4,189.67306251031093
7,4,189.63520704420003
8,4,189.5973515780891
9,4,189.5594961119782
10,4,189.5216406458673
11,4,189.48378517975638
12,4,189.44592971364548
13,4,189.40807424753456
14,4,189.37021878142366
15,4,189.33236331531273
16,4,189.29450784920184
17,4,189.25665238309094
18,4,189.21879691698
19,4,189.1809414508691
20,4,189.1430859847582
21,4,189.1052305186473
22,4,189.06737505253636
23,4,189.02951958642547
0,4,189.9001953069764
1,4,189.8623398408655
2,4,189.82448437475458
3,4,189.78662890864368
5,4,189.71091797642185
6,4,189.67306251031093
7,4,189.63520704420003
8,4,189.5973515780891
9,4,189.5594961119782
10,4,189.5216406458673
11,4,189.48378517975638
12,4,189.44592971364548
13,4,189.40807424753456
14,4,189.37021878142366
15,4,189.33236331531273
16,4,189.29450784920184
17,4,189.25665238309094
18,4,189.21879691698
19,4,189.1809414508691
20,4,189.1430859847582
21,4,189.1052305186473
22,4,189.06737505253636
23,4,189.02951958642547
0,4,189.9001953069764
1,4,189.8623398408655
2,4,189.82448437475458
3,4,189.78662890864368
5,4,189.71091797642185
6,4,189.67306251031093
7,4,189.63520704420003
8,4,189.5973515780891
9,4,189.5594961119782
10,4,189.5216406458673
11,4,189.48378517975638
12,4,189.44592971364548
13,4,189.40807424753456
14,4,189.37021878142366
15,4,189.33236331531273
16,4,189.29450784920184
17,4,189.25665238309094
18,4,189.21879691698
19,4,189.1809414508691
20,4,189.1430859847582
21,4,189.1052305186473
22,4,189.06737505253636
23,4,189.02951958642547
0,4,189.9001953069764
1,4,189.8623398408655
2,4,189.82448437475458
3,4,189.78662890864368
4,4,189.74877344253275
5,4,189.71091797642185
6,4,189.67306251031093
7,4,189.63520704420003
8,4,189.5973515780891
9,4,189.5594961119782
10,4,189.5216406458673
11,4,189.48378517975638
12,4,189.44592971364548
13,4,189.40807424753456
14,4,189.37021878142366
15,4,189.33236331531273
16,4,189.29450784920184
17,4,189.25665238309094
18,4,189.21879691698
19,4,189.1809414508691
20,4,189.1430859847582
21,4,189.1052305186473
22,4,189.06737505253636
23,4,189.02951958642547
0,4,189.9001953069764
1,4,189.8623398408655
2,4,189.82448437475458
3,4,189.78662890864368
4,4,189.74877344253275
5,4,189.71091797642185
6,4,189.67306251031093
7,4,189.63520704420003
8,4,189.5973515780891
9,4,189.5594961119782
10,4,189.5216406458673
11,4,189.48378517975638
12,4,189.44592971364548
13,4,189.40807424753456
14,4,189.37021878142366
15,4,189.33236331531273
16,5,189.29450784920184
17,5,189.25665238309094
18,5,189.21879691698
19,5,189.1809414508691
20,5,189.1430859847582
21,5,189.1052305186473
22,5,189.06737505253636
23,5,189.02951958642547
0,5,189.9001953069764
1,5,189.8623398408655
2,5,189.82448437475458
3,5,189.78662890864368
4,5,189.74877344253275
5,5,189.71091797642185
6,5,189.67306251031093
7,5,189.63520704420003
8,5,189.5973515780891
9,5,189.5594961119782
10,5,189.5216406458673
11,5,189.48378517975638
12,5,189.44592971364548
13,5,189.40807424753456
14,5,189.37021878142366
15,5,189.33236331531273
16,5,189.29450784920184
17,5,189.25665238309094
18,5,189.21879691698
19,5,189.1809414508691
20,5,189.1430859847582
21,5,189.1052305186473
22,5,189.06737505253636
23,5,189.02951958642547
0,5,189.9001953069764
1,5,189.8623398408655
2,5,189.82448437475458
3,5,189.78662890864368
4,5,189.74877344253275
5,5,189.71091797642185
6,5,189.67306251031093
7,5,189.63520704420003
8,5,189.5973515780891
9,5,189.5594961119782
10,5,189.5216406458673
11,5,189.48378517975638
12,5,189.44592971364548
13,5,189.40807424753456
14,5,189.37021878142366
15,5,189.33236331531273
16,5,189.29450784920184
17,5,189.25665238309094
18,5,189.21879691698
19,5,189.1809414508691
20,5,189.1430859847582
21,5,189.1052305186473
22,5,189.06737505253636
23,5,189.02951958642547
0,5,189.9001953069764
1,5,189.8623398408655
2,5,189.82448437475458
3,5,189.78662890864368
5,5,189.71091797642185
6,5,189.67306251031093
7,5,189.63520704420003
8,5,189.5973515780891
9,5,189.5594961119782
10,5,189.5216406458673
11,5,189.48378517975638
12,5,189.44592971364548
13,5,189.40807424753456
14,5,189.37021878142366
15,5,189.33236331531273
16,5,189.29450784920184
17,5,189.25665238309094
18,5,189.21879691698
19,5,189.1809414508691
20,5,189.1430859847582
21,5,189.1052305186473
22,5,189.06737505253636
23,5,189.02951958642547
0,5,189.9001953069764
1,5,189.8623398408655
2,5,189.82448437475458
4,5,189.74877344253275
5,5,189.71091797642185
6,5,189.67306251031093
7,5,189.63520704420003
8,5,189.5973515780891
9,5,189.5594961119782
10,5,189.5216406458673
11,5,189.48378517975638
12,5,189.44592971364548
13,5,189.40807424753456
14,5,189.37021878142366
15,5,189.33236331531273
16,5,189.29450784920184
17,5,189.25665238309094
18,5,189.21879691698
19,5,189.1809414508691
20,5,189.1430859847582
21,5,189.1052305186473
22,5,189.06737505253636
23,5,189.02951958642547
0,5,189.9001953069764
1,5,189.8623398408655
2,5,189.82448437475458
5,5,189.71091797642185
6,5,189.67306251031093
7,5,189.63520704420003
8,5,189.5973515780891
9,5,189.5594961119782
10,5,189.5216406458673
11,5,189.48378517975638
12,5,189.44592971364548
13,5,189.40807424753456
14,5,189.37021878142366
