hr,hum,Predicted Y
0,0.0,0.6288109589790211
1,0.0,0.6286739403958858
2,0.0,0.6285369218127504
3,0.0,0.6283999032296151
4,0.0,0.6282628846464797
5,0.0,0.6281258660633444
6,0.0,0.6279888474802091
7,0.0,0.6278518288970738
8,0.0,0.6277148103139385
9,0.0,0.6275777917308032
10,0.0,0.6274407731476679
11,0.0,0.6273037545645325
12,0.0,0.6271667359813972
13,0.0,0.6270297173982619
14,0.0,0.6268926988151265
15,0.0,0.6267556802319912
16,0.0,0.6266186616488559
17,0.0,0.6264816430657206
18,0.0,0.6263446244825852
19,0.0,0.6262076058994499
20,0.0,0.6260705873163146
21,0.0,0.6259335687331793
22,0.08,0.625796550150044
23,0.1,0.6256595315669087
0,0.12,0.6288109589790211
1,0.13,0.6286739403958858
2,0.14,0.6285369218127504
3,0.14,0.6283999032296151
4,0.15,0.6282628846464797
6,0.15,0.6279888474802091
7,0.15,0.6278518288970738
8,0.15,0.6277148103139385
9,0.16,0.6275777917308032
10,0.16,0.6274407731476679
11,0.16,0.6273037545645325
12,0.16,0.6271667359813972
13,0.16,0.6270297173982619
14,0.16,0.6268926988151265
15,0.16,0.6267556802319912
16,0.16,0.6266186616488559
17,0.16,0.6264816430657206
18,0.16,0.6263446244825852
19,0.17,0.6262076058994499
20,0.17,0.6260705873163146
21,0.17,0.6259335687331793
22,0.17,0.625796550150044
23,0.17,0.6256595315669087
0,0.17,0.6288109589790211
1,0.17,0.6286739403958858
4,0.17,0.6282628846464797
5,0.17,0.6281258660633444
6,0.17,0.6279888474802091
7,0.18,0.6278518288970738
8,0.18,0.6277148103139385
9,0.18,0.6275777917308032
10,0.18,0.6274407731476679
11,0.18,0.6273037545645325
12,0.18,0.6271667359813972
13,0.18,0.6270297173982619
14,0.18,0.6268926988151265
15,0.18,0.6267556802319912
16,0.18,0.6266186616488559
17,0.19,0.6264816430657206
18,0.19,0.6263446244825852
19,0.19,0.6262076058994499
20,0.19,0.6260705873163146
21,0.19,0.6259335687331793
22,0.19,0.625796550150044
23,0.19,0.6256595315669087
0,0.19,0.6288109589790211
1,0.19,0.6286739403958858
2,0.19,0.6285369218127504
4,0.19,0.6282628846464797
5,0.19,0.6281258660633444
6,0.19,0.6279888474802091
7,0.19,0.6278518288970738
8,0.19,0.6277148103139385
9,0.19,0.6275777917308032
10,0.2,0.6274407731476679
11,0.2,0.6273037545645325
12,0.2,0.6271667359813972
13,0.2,0.6270297173982619
14,0.2,0.6268926988151265
15,0.2,0.6267556802319912
16,0.2,0.6266186616488559
17,0.2,0.6264816430657206
18,0.2,0.6263446244825852
19,0.2,0.6262076058994499
20,0.2,0.6260705873163146
21,0.2,0.6259335687331793
22,0.2,0.625796550150044
23,0.2,0.6256595315669087
0,0.2,0.6288109589790211
1,0.2,0.6286739403958858
2,0.2,0.6285369218127504
4,0.21,0.6282628846464797
5,0.21,0.6281258660633444
6,0.21,0.6279888474802091
7,0.21,0.6278518288970738
8,0.21,0.6277148103139385
9,0.21,0.6275777917308032
10,0.21,0.6274407731476679
11,0.21,0.6273037545645325
12,0.21,0.6271667359813972
13,0.21,0.6270297173982619
14,0.21,0.6268926988151265
15,0.21,0.6267556802319912
16,0.21,0.6266186616488559
17,0.21,0.6264816430657206
18,0.21,0.6263446244825852
19,0.21,0.6262076058994499
20,0.21,0.6260705873163146
21,0.21,0.6259335687331793
22,0.21,0.625796550150044
23,0.21,0.6256595315669087
0,0.21,0.6288109589790211
1,0.21,0.6286739403958858
2,0.21,0.6285369218127504
4,0.21,0.6282628846464797
5,0.21,0.6281258660633444
6,0.21,0.6279888474802091
7,0.22,0.6278518288970738
8,0.22,0.6277148103139385
9,0.22,0.6275777917308032
10,0.22,0.6274407731476679
11,0.22,0.6273037545645325
12,0.22,0.6271667359813972
13,0.22,0.6270297173982619
14,0.22,0.6268926988151265
15,0.22,0.6267556802319912
16,0.22,0.6266186616488559
17,0.22,0.6264816430657206
18,0.22,0.6263446244825852
19,0.22,0.6262076058994499
20,0.22,0.6260705873163146
21,0.22,0.6259335687331793
22,0.22,0.625796550150044
23,0.22,0.6256595315669087
0,0.22,0.6288109589790211
1,0.22,0.6286739403958858
2,0.22,0.6285369218127504
4,0.22,0.6282628846464797
5,0.22,0.6281258660633444
6,0.22,0.6279888474802091
7,0.22,0.6278518288970738
8,0.22,0.6277148103139385
9,0.22,0.6275777917308032
10,0.22,0.6274407731476679
11,0.23,0.6273037545645325
12,0.23,0.6271667359813972
13,0.23,0.6270297173982619
14,0.23,0.6268926988151265
15,0.23,0.6267556802319912
16,0.23,0.6266186616488559
17,0.23,0.6264816430657206
18,0.23,0.6263446244825852
19,0.23,0.6262076058994499
20,0.23,0.6260705873163146
21,0.23,0.6259335687331793
22,0.23,0.625796550150044
23,0.23,0.6256595315669087
0,0.23,0.6288109589790211
1,0.23,0.6286739403958858
2,0.23,0.6285369218127504
3,0.23,0.6283999032296151
4,0.23,0.6282628846464797
5,0.23,0.6281258660633444
6,0.23,0.6279888474802091
7,0.23,0.6278518288970738
8,0.23,0.6277148103139385
9,0.23,0.6275777917308032
10,0.23,0.6274407731476679
11,0.23,0.6273037545645325
12,0.23,0.6271667359813972
13,0.23,0.6270297173982619
14,0.23,0.6268926988151265
15,0.23,0.6267556802319912
16,0.23,0.6266186616488559
17,0.23,0.6264816430657206
18,0.23,0.6263446244825852
19,0.23,0.6262076058994499
20,0.23,0.6260705873163146
21,0.23,0.6259335687331793
22,0.23,0.625796550150044
23,0.23,0.6256595315669087
0,0.23,0.6288109589790211
1,0.23,0.6286739403958858
2,0.23,0.6285369218127504
3,0.23,0.6283999032296151
4,0.23,0.6282628846464797
5,0.23,0.6281258660633444
6,0.23,0.6279888474802091
7,0.23,0.6278518288970738
8,0.23,0.6277148103139385
9,0.24,0.6275777917308032
10,0.24,0.6274407731476679
11,0.24,0.6273037545645325
12,0.24,0.6271667359813972
13,0.24,0.6270297173982619
14,0.24,0.6268926988151265
15,0.24,0.6267556802319912
16,0.24,0.6266186616488559
17,0.24,0.6264816430657206
18,0.24,0.6263446244825852
19,0.24,0.6262076058994499
20,0.24,0.6260705873163146
21,0.24,0.6259335687331793
22,0.24,0.625796550150044
23,0.24,0.6256595315669087
0,0.24,0.6288109589790211
1,0.24,0.6286739403958858
2,0.24,0.6285369218127504
3,0.24,0.6283999032296151
4,0.24,0.6282628846464797
5,0.24,0.6281258660633444
6,0.24,0.6279888474802091
7,0.24,0.6278518288970738
8,0.24,0.6277148103139385
9,0.24,0.6275777917308032
10,0.24,0.6274407731476679
11,0.24,0.6273037545645325
12,0.24,0.6271667359813972
13,0.24,0.6270297173982619
14,0.24,0.6268926988151265
15,0.24,0.6267556802319912
16,0.24,0.6266186616488559
17,0.24,0.6264816430657206
18,0.24,0.6263446244825852
19,0.24,0.6262076058994499
20,0.24,0.6260705873163146
21,0.24,0.6259335687331793
22,0.24,0.625796550150044
23,0.24,0.6256595315669087
0,0.24,0.6288109589790211
1,0.24,0.6286739403958858
2,0.24,0.6285369218127504
5,0.24,0.6281258660633444
6,0.24,0.6279888474802091
7,0.24,0.6278518288970738
8,0.24,0.6277148103139385
9,0.24,0.6275777917308032
10,0.24,0.6274407731476679
11,0.24,0.6273037545645325
12,0.24,0.6271667359813972
13,0.24,0.6270297173982619
14,0.24,0.6268926988151265
15,0.24,0.6267556802319912
16,0.24,0.6266186616488559
17,0.24,0.6264816430657206
18,0.24,0.6263446244825852
19,0.25,0.6262076058994499
20,0.25,0.6260705873163146
21,0.25,0.6259335687331793
22,0.25,0.625796550150044
23,0.25,0.6256595315669087
0,0.25,0.6288109589790211
1,0.25,0.6286739403958858
2,0.25,0.6285369218127504
5,0.25,0.6281258660633444
6,0.25,0.6279888474802091
7,0.25,0.6278518288970738
8,0.25,0.6277148103139385
9,0.25,0.6275777917308032
10,0.25,0.6274407731476679
11,0.25,0.6273037545645325
12,0.25,0.6271667359813972
13,0.25,0.6270297173982619
14,0.25,0.6268926988151265
15,0.25,0.6267556802319912
16,0.25,0.6266186616488559
17,0.25,0.6264816430657206
18,0.25,0.6263446244825852
19,0.25,0.6262076058994499
20,0.25,0.6260705873163146
21,0.25,0.6259335687331793
22,0.25,0.625796550150044
23,0.25,0.6256595315669087
0,0.25,0.6288109589790211
1,0.25,0.6286739403958858
2,0.25,0.6285369218127504
3,0.25,0.6283999032296151
4,0.25,0.6282628846464797
5,0.25,0.6281258660633444
6,0.25,0.6279888474802091
7,0.25,0.6278518288970738
8,0.25,0.6277148103139385
9,0.25,0.6275777917308032
10,0.25,0.6274407731476679
11,0.25,0.6273037545645325
12,0.25,0.6271667359813972
13,0.25,0.6270297173982619
14,0.25,0.6268926988151265
15,0.25,0.6267556802319912
16,0.25,0.6266186616488559
17,0.25,0.6264816430657206
18,0.25,0.6263446244825852
19,0.25,0.6262076058994499
20,0.25,0.6260705873163146
21,0.25,0.6259335687331793
22,0.25,0.625796550150044
23,0.25,0.6256595315669087
0,0.25,0.6288109589790211
1,0.25,0.6286739403958858
2,0.25,0.6285369218127504
3,0.25,0.6283999032296151
5,0.25,0.6281258660633444
6,0.25,0.6279888474802091
7,0.25,0.6278518288970738
8,0.25,0.6277148103139385
9,0.26,0.6275777917308032
10,0.26,0.6274407731476679
11,0.26,0.6273037545645325
12,0.26,0.6271667359813972
13,0.26,0.6270297173982619
14,0.26,0.6268926988151265
15,0.26,0.6267556802319912
16,0.26,0.6266186616488559
17,0.26,0.6264816430657206
18,0.26,0.6263446244825852
19,0.26,0.6262076058994499
20,0.26,0.6260705873163146
21,0.26,0.6259335687331793
22,0.26,0.625796550150044
23,0.26,0.6256595315669087
0,0.26,0.6288109589790211
1,0.26,0.6286739403958858
2,0.26,0.6285369218127504
3,0.26,0.6283999032296151
4,0.26,0.6282628846464797
5,0.26,0.6281258660633444
6,0.26,0.6279888474802091
7,0.26,0.6278518288970738
8,0.26,0.6277148103139385
9,0.26,0.6275777917308032
10,0.26,0.6274407731476679
11,0.26,0.6273037545645325
12,0.26,0.6271667359813972
13,0.26,0.6270297173982619
14,0.26,0.6268926988151265
15,0.26,0.6267556802319912
16,0.26,0.6266186616488559
17,0.26,0.6264816430657206
18,0.26,0.6263446244825852
19,0.26,0.6262076058994499
20,0.26,0.6260705873163146
21,0.26,0.6259335687331793
22,0.26,0.625796550150044
23,0.26,0.6256595315669087
0,0.26,0.6288109589790211
1,0.26,0.6286739403958858
2,0.26,0.6285369218127504
3,0.26,0.6283999032296151
4,0.26,0.6282628846464797
5,0.26,0.6281258660633444
6,0.26,0.6279888474802091
7,0.26,0.6278518288970738
8,0.26,0.6277148103139385
9,0.26,0.6275777917308032
10,0.26,0.6274407731476679
11,0.26,0.6273037545645325
12,0.26,0.6271667359813972
13,0.26,0.6270297173982619
14,0.26,0.6268926988151265
15,0.26,0.6267556802319912
16,0.26,0.6266186616488559
17,0.26,0.6264816430657206
18,0.26,0.6263446244825852
19,0.26,0.6262076058994499
20,0.26,0.6260705873163146
21,0.26,0.6259335687331793
22,0.26,0.625796550150044
23,0.26,0.6256595315669087
0,0.26,0.6288109589790211
1,0.26,0.6286739403958858
2,0.26,0.6285369218127504
3,0.26,0.6283999032296151
4,0.26,0.6282628846464797
5,0.26,0.6281258660633444
6,0.26,0.6279888474802091
7,0.26,0.6278518288970738
8,0.26,0.6277148103139385
9,0.26,0.6275777917308032
10,0.26,0.6274407731476679
11,0.26,0.6273037545645325
12,0.26,0.6271667359813972
