hr,registered,Predicted Y
0,13,59.2190641624796
1,32,67.40905615893283
2,27,75.59904815538607
3,10,83.7890401518393
4,1,91.97903214829253
5,1,100.16902414474578
6,0,108.359016141199
7,2,116.54900813765224
8,7,124.73900013410548
9,6,132.9289921305587
10,24,141.11898412701197
11,30,149.3089761234652
12,55,157.4989681199184
13,47,165.68896011637167
14,71,173.8789521128249
15,70,182.06894410927814
16,52,190.25893610573138
17,52,198.4489281021846
18,26,206.6389200986378
19,31,214.82891209509108
20,25,223.0189040915443
21,31,231.20889608799752
22,17,239.3988880844508
23,24,247.588880080904
0,13,59.2190641624796
1,16,67.40905615893283
2,8,75.59904815538607
3,4,83.7890401518393
4,1,91.97903214829253
6,2,108.359016141199
7,1,116.54900813765224
8,8,124.73900013410548
9,19,132.9289921305587
10,46,141.11898412701197
11,54,149.3089761234652
12,73,157.4989681199184
13,64,165.68896011637167
14,55,173.8789521128249
15,55,182.06894410927814
16,67,190.25893610573138
17,58,198.4489281021846
18,43,206.6389200986378
19,29,214.82891209509108
20,17,223.0189040915443
21,20,231.20889608799752
22,9,239.3988880844508
23,8,247.588880080904
0,5,59.2190641624796
1,2,67.40905615893283
4,1,91.97903214829253
5,3,100.16902414474578
6,30,108.359016141199
7,63,116.54900813765224
8,153,124.73900013410548
9,81,132.9289921305587
10,33,141.11898412701197
11,41,149.3089761234652
12,48,157.4989681199184
13,53,165.68896011637167
14,66,173.8789521128249
15,58,182.06894410927814
16,67,190.25893610573138
17,146,198.4489281021846
18,148,206.6389200986378
19,102,214.82891209509108
20,49,223.0189040915443
21,49,231.20889608799752
22,20,239.3988880844508
23,11,247.588880080904
0,5,59.2190641624796
1,2,67.40905615893283
2,1,75.59904815538607
4,2,91.97903214829253
5,4,100.16902414474578
6,36,108.359016141199
7,92,116.54900813765224
8,177,124.73900013410548
9,98,132.9289921305587
10,37,141.11898412701197
11,50,149.3089761234652
12,66,157.4989681199184
13,79,165.68896011637167
14,54,173.8789521128249
15,48,182.06894410927814
16,68,190.25893610573138
17,202,198.4489281021846
18,179,206.6389200986378
19,110,214.82891209509108
20,53,223.0189040915443
21,48,231.20889608799752
22,34,239.3988880844508
23,9,247.588880080904
0,6,59.2190641624796
