hum,atemp,Predicted Y
0.0,0.2879,0.3887593744918153
0.0,0.2727,0.3887593744918153
0.0,0.2727,0.3887593744918153
0.0,0.2879,0.3887593744918153
0.0,0.2879,0.3887593744918153
0.0,0.2576,0.3887593744918153
0.0,0.2727,0.3887593744918153
0.0,0.2576,0.3887593744918153
0.0,0.2879,0.3887593744918153
0.0,0.3485,0.3887593744918153
0.0,0.3939,0.3887593744918153
0.0,0.3333,0.3887593744918153
0.0,0.4242,0.3887593744918153
0.0,0.4545,0.3887593744918153
0.0,0.4545,0.3887593744918153
0.0,0.4394,0.3887593744918153
0.0,0.4242,0.3887593744918153
0.0,0.4394,0.3887593744918153
0.0,0.4242,0.3887593744918153
0.0,0.4242,0.3887593744918153
0.0,0.4091,0.3887593744918153
0.0,0.4091,0.3887593744918153
0.08,0.4091,0.3998578090249777
0.1,0.4545,0.4026324176582683
0.12,0.4545,0.40540702629155895
0.13,0.4394,0.40679433060820425
0.14,0.4242,0.40818163492484955
0.14,0.4545,0.40818163492484955
0.15,0.4545,0.40956893924149484
0.15,0.4242,0.40956893924149484
0.15,0.4091,0.40956893924149484
0.15,0.4091,0.40956893924149484
0.16,0.3939,0.41095624355814014
0.16,0.3485,0.41095624355814014
0.16,0.3333,0.41095624355814014
0.16,0.3333,0.41095624355814014
0.16,0.3485,0.41095624355814014
0.16,0.3485,0.41095624355814014
0.16,0.3333,0.41095624355814014
0.16,0.3333,0.41095624355814014
0.16,0.3333,0.41095624355814014
0.16,0.3333,0.41095624355814014
0.17,0.2879,0.41234354787478544
0.17,0.2727,0.41234354787478544
0.17,0.2273,0.41234354787478544
0.17,0.2121,0.41234354787478544
0.17,0.2273,0.41234354787478544
0.17,0.197,0.41234354787478544
0.17,0.1667,0.41234354787478544
0.17,0.1364,0.41234354787478544
0.17,0.1364,0.41234354787478544
0.17,0.1061,0.41234354787478544
0.18,0.1364,0.41373085219143074
0.18,0.1212,0.41373085219143074
0.18,0.1364,0.41373085219143074
0.18,0.1667,0.41373085219143074
0.18,0.1818,0.41373085219143074
0.18,0.2121,0.41373085219143074
0.18,0.2121,0.41373085219143074
0.18,0.2424,0.41373085219143074
0.18,0.2424,0.41373085219143074
0.18,0.2424,0.41373085219143074
0.19,0.2273,0.41511815650807604
0.19,0.2576,0.41511815650807604
0.19,0.2576,0.41511815650807604
0.19,0.2273,0.41511815650807604
0.19,0.197,0.41511815650807604
0.19,0.1515,0.41511815650807604
0.19,0.2121,0.41511815650807604
0.19,0.1818,0.41511815650807604
0.19,0.1818,0.41511815650807604
0.19,0.1515,0.41511815650807604
0.19,0.1818,0.41511815650807604
0.19,0.1515,0.41511815650807604
0.19,0.1515,0.41511815650807604
0.19,0.1515,0.41511815650807604
0.19,0.1515,0.41511815650807604
0.19,0.1515,0.41511815650807604
0.2,0.1364,0.41650546082472134
0.2,0.2121,0.41650546082472134
0.2,0.2273,0.41650546082472134
0.2,0.2273,0.41650546082472134
0.2,0.2576,0.41650546082472134
0.2,0.2727,0.41650546082472134
0.2,0.2879,0.41650546082472134
