hum,cnt,Predicted Y
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.0,1,-350.9512577814984
0.08,1,-282.02402593678795
0.1,1,-264.79221797561036
0.12,1,-247.56041001443276
0.13,1,-238.94450603384394
0.14,1,-230.32860205325514
0.14,1,-230.32860205325514
0.15,1,-221.71269807266634
0.15,1,-221.71269807266634
0.15,1,-221.71269807266634
0.15,1,-221.71269807266634
0.16,1,-213.09679409207754
0.16,1,-213.09679409207754
0.16,1,-213.09679409207754
0.16,1,-213.09679409207754
0.16,1,-213.09679409207754
0.16,1,-213.09679409207754
0.16,1,-213.09679409207754
0.16,1,-213.09679409207754
0.16,1,-213.09679409207754
0.16,1,-213.09679409207754
0.17,1,-204.48089011148872
0.17,1,-204.48089011148872
0.17,1,-204.48089011148872
0.17,1,-204.48089011148872
0.17,1,-204.48089011148872
0.17,1,-204.48089011148872
0.17,1,-204.48089011148872
0.17,1,-204.48089011148872
0.17,1,-204.48089011148872
0.17,1,-204.48089011148872
0.18,1,-195.86498613089995
0.18,1,-195.86498613089995
0.18,1,-195.86498613089995
0.18,1,-195.86498613089995
0.18,1,-195.86498613089995
0.18,1,-195.86498613089995
0.18,1,-195.86498613089995
0.18,1,-195.86498613089995
0.18,1,-195.86498613089995
0.18,1,-195.86498613089995
0.19,1,-187.24908215031112
0.19,1,-187.24908215031112
0.19,1,-187.24908215031112
0.19,1,-187.24908215031112
0.19,1,-187.24908215031112
0.19,1,-187.24908215031112
0.19,1,-187.24908215031112
0.19,1,-187.24908215031112
0.19,1,-187.24908215031112
0.19,1,-187.24908215031112
0.19,1,-187.24908215031112
0.19,1,-187.24908215031112
0.19,1,-187.24908215031112
0.19,1,-187.24908215031112
0.19,1,-187.24908215031112
0.19,1,-187.24908215031112
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.2,1,-178.63317816972233
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.21,1,-170.01727418913353
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.22,1,-161.40137020854473
0.23,1,-152.7854662279559
0.23,1,-152.7854662279559
0.23,1,-152.7854662279559
0.23,1,-152.7854662279559
0.23,1,-152.7854662279559
0.23,1,-152.7854662279559
0.23,1,-152.7854662279559
0.23,1,-152.7854662279559
0.23,1,-152.7854662279559
0.23,1,-152.7854662279559
0.23,2,-152.7854662279559
0.23,2,-152.7854662279559
0.23,2,-152.7854662279559
0.23,2,-152.7854662279559
0.23,2,-152.7854662279559
0.23,2,-152.7854662279559
0.23,2,-152.7854662279559
0.23,2,-152.7854662279559
0.23,2,-152.7854662279559
0.23,2,-152.7854662279559
0.23,2,-152.7854662279559
0.23,2,-152.7854662279559
0.23,2,-152.7854662279559
0.23,2,-152.7854662279559
