hum,hr,Predicted Y
0.0,0,11.65713842501164
0.0,1,11.65713842501164
0.0,2,11.65713842501164
0.0,3,11.65713842501164
0.0,4,11.65713842501164
0.0,5,11.65713842501164
0.0,6,11.65713842501164
0.0,7,11.65713842501164
0.0,8,11.65713842501164
0.0,9,11.65713842501164
0.0,10,11.65713842501164
0.0,11,11.65713842501164
0.0,12,11.65713842501164
0.0,13,11.65713842501164
0.0,14,11.65713842501164
0.0,15,11.65713842501164
0.0,16,11.65713842501164
0.0,17,11.65713842501164
0.0,18,11.65713842501164
0.0,19,11.65713842501164
0.0,20,11.65713842501164
0.0,21,11.65713842501164
0.08,22,11.643059149167243
0.1,23,11.639539330206144
0.12,0,11.636019511245046
0.13,1,11.634259601764496
0.14,2,11.632499692283947
0.14,3,11.632499692283947
0.15,4,11.630739782803397
0.15,6,11.630739782803397
0.15,7,11.630739782803397
0.15,8,11.630739782803397
0.16,9,11.628979873322848
0.16,10,11.628979873322848
0.16,11,11.628979873322848
0.16,12,11.628979873322848
0.16,13,11.628979873322848
0.16,14,11.628979873322848
0.16,15,11.628979873322848
0.16,16,11.628979873322848
0.16,17,11.628979873322848
0.16,18,11.628979873322848
0.17,19,11.627219963842299
0.17,20,11.627219963842299
0.17,21,11.627219963842299
0.17,22,11.627219963842299
0.17,23,11.627219963842299
0.17,0,11.627219963842299
0.17,1,11.627219963842299
0.17,4,11.627219963842299
0.17,5,11.627219963842299
0.17,6,11.627219963842299
0.18,7,11.62546005436175
0.18,8,11.62546005436175
0.18,9,11.62546005436175
0.18,10,11.62546005436175
0.18,11,11.62546005436175
0.18,12,11.62546005436175
0.18,13,11.62546005436175
0.18,14,11.62546005436175
0.18,15,11.62546005436175
0.18,16,11.62546005436175
0.19,17,11.6237001448812
0.19,18,11.6237001448812
0.19,19,11.6237001448812
0.19,20,11.6237001448812
0.19,21,11.6237001448812
0.19,22,11.6237001448812
0.19,23,11.6237001448812
0.19,0,11.6237001448812
0.19,1,11.6237001448812
0.19,2,11.6237001448812
0.19,4,11.6237001448812
0.19,5,11.6237001448812
0.19,6,11.6237001448812
0.19,7,11.6237001448812
0.19,8,11.6237001448812
0.19,9,11.6237001448812
0.2,10,11.62194023540065
0.2,11,11.62194023540065
0.2,12,11.62194023540065
0.2,13,11.62194023540065
0.2,14,11.62194023540065
0.2,15,11.62194023540065
0.2,16,11.62194023540065
0.2,17,11.62194023540065
0.2,18,11.62194023540065
0.2,19,11.62194023540065
0.2,20,11.62194023540065
0.2,21,11.62194023540065
0.2,22,11.62194023540065
0.2,23,11.62194023540065
0.2,0,11.62194023540065
0.2,1,11.62194023540065
0.2,2,11.62194023540065
0.21,4,11.620180325920101
0.21,5,11.620180325920101
0.21,6,11.620180325920101
0.21,7,11.620180325920101
0.21,8,11.620180325920101
0.21,9,11.620180325920101
0.21,10,11.620180325920101
0.21,11,11.620180325920101
0.21,12,11.620180325920101
0.21,13,11.620180325920101
0.21,14,11.620180325920101
0.21,15,11.620180325920101
0.21,16,11.620180325920101
0.21,17,11.620180325920101
0.21,18,11.620180325920101
0.21,19,11.620180325920101
0.21,20,11.620180325920101
0.21,21,11.620180325920101
0.21,22,11.620180325920101
0.21,23,11.620180325920101
0.21,0,11.620180325920101
0.21,1,11.620180325920101
0.21,2,11.620180325920101
0.21,4,11.620180325920101
0.21,5,11.620180325920101
0.21,6,11.620180325920101
0.22,7,11.618420416439552
0.22,8,11.618420416439552
0.22,9,11.618420416439552
0.22,10,11.618420416439552
0.22,11,11.618420416439552
0.22,12,11.618420416439552
0.22,13,11.618420416439552
0.22,14,11.618420416439552
0.22,15,11.618420416439552
0.22,16,11.618420416439552
0.22,17,11.618420416439552
0.22,18,11.618420416439552
0.22,19,11.618420416439552
0.22,20,11.618420416439552
0.22,21,11.618420416439552
0.22,22,11.618420416439552
0.22,23,11.618420416439552
0.22,0,11.618420416439552
0.22,1,11.618420416439552
0.22,2,11.618420416439552
0.22,4,11.618420416439552
0.22,5,11.618420416439552
0.22,6,11.618420416439552
0.22,7,11.618420416439552
0.22,8,11.618420416439552
0.22,9,11.618420416439552
0.22,10,11.618420416439552
0.23,11,11.616660506959002
0.23,12,11.616660506959002
0.23,13,11.616660506959002
0.23,14,11.616660506959002
0.23,15,11.616660506959002
0.23,16,11.616660506959002
0.23,17,11.616660506959002
0.23,18,11.616660506959002
0.23,19,11.616660506959002
0.23,20,11.616660506959002
0.23,21,11.616660506959002
0.23,22,11.616660506959002
0.23,23,11.616660506959002
0.23,0,11.616660506959002
0.23,1,11.616660506959002
0.23,2,11.616660506959002
0.23,3,11.616660506959002
0.23,4,11.616660506959002
0.23,5,11.616660506959002
0.23,6,11.616660506959002
0.23,7,11.616660506959002
0.23,8,11.616660506959002
0.23,9,11.616660506959002
0.23,10,11.616660506959002
0.23,11,11.616660506959002
0.23,12,11.616660506959002
0.23,13,11.616660506959002
0.23,14,11.616660506959002
0.23,15,11.616660506959002
0.23,16,11.616660506959002
0.23,17,11.616660506959002
0.23,18,11.616660506959002
0.23,19,11.616660506959002
0.23,20,11.616660506959002
0.23,21,11.616660506959002
0.23,22,11.616660506959002
0.23,23,11.616660506959002
0.23,0,11.616660506959002
0.23,1,11.616660506959002
0.23,2,11.616660506959002
0.23,3,11.616660506959002
0.23,4,11.616660506959002
0.23,5,11.616660506959002
0.23,6,11.616660506959002
0.23,7,11.616660506959002
0.23,8,11.616660506959002
0.24,9,11.614900597478451
0.24,10,11.614900597478451
0.24,11,11.614900597478451
0.24,12,11.614900597478451
0.24,13,11.614900597478451
0.24,14,11.614900597478451
0.24,15,11.614900597478451
0.24,16,11.614900597478451
0.24,17,11.614900597478451
0.24,18,11.614900597478451
0.24,19,11.614900597478451
0.24,20,11.614900597478451
0.24,21,11.614900597478451
0.24,22,11.614900597478451
0.24,23,11.614900597478451
0.24,0,11.614900597478451
0.24,1,11.614900597478451
0.24,2,11.614900597478451
0.24,3,11.614900597478451
0.24,4,11.614900597478451
0.24,5,11.614900597478451
0.24,6,11.614900597478451
0.24,7,11.614900597478451
0.24,8,11.614900597478451
0.24,9,11.614900597478451
0.24,10,11.614900597478451
0.24,11,11.614900597478451
0.24,12,11.614900597478451
0.24,13,11.614900597478451
0.24,14,11.614900597478451
0.24,15,11.614900597478451
0.24,16,11.614900597478451
0.24,17,11.614900597478451
0.24,18,11.614900597478451
0.24,19,11.614900597478451
0.24,20,11.614900597478451
0.24,21,11.614900597478451
0.24,22,11.614900597478451
0.24,23,11.614900597478451
0.24,0,11.614900597478451
0.24,1,11.614900597478451
0.24,2,11.614900597478451
0.24,5,11.614900597478451
0.24,6,11.614900597478451
0.24,7,11.614900597478451
0.24,8,11.614900597478451
0.24,9,11.614900597478451
0.24,10,11.614900597478451
0.24,11,11.614900597478451
0.24,12,11.614900597478451
0.24,13,11.614900597478451
0.24,14,11.614900597478451
0.24,15,11.614900597478451
0.24,16,11.614900597478451
0.24,17,11.614900597478451
0.24,18,11.614900597478451
0.25,19,11.613140687997902
0.25,20,11.613140687997902
0.25,21,11.613140687997902
0.25,22,11.613140687997902
0.25,23,11.613140687997902
0.25,0,11.613140687997902
0.25,1,11.613140687997902
0.25,2,11.613140687997902
0.25,5,11.613140687997902
0.25,6,11.613140687997902
0.25,7,11.613140687997902
0.25,8,11.613140687997902
0.25,9,11.613140687997902
0.25,10,11.613140687997902
0.25,11,11.613140687997902
0.25,12,11.613140687997902
0.25,13,11.613140687997902
0.25,14,11.613140687997902
0.25,15,11.613140687997902
0.25,16,11.613140687997902
0.25,17,11.613140687997902
0.25,18,11.613140687997902
0.25,19,11.613140687997902
0.25,20,11.613140687997902
0.25,21,11.613140687997902
0.25,22,11.613140687997902
0.25,23,11.613140687997902
0.25,0,11.613140687997902
0.25,1,11.613140687997902
0.25,2,11.613140687997902
0.25,3,11.613140687997902
0.25,4,11.613140687997902
0.25,5,11.613140687997902
0.25,6,11.613140687997902
0.25,7,11.613140687997902
0.25,8,11.613140687997902
0.25,9,11.613140687997902
0.25,10,11.613140687997902
0.25,11,11.613140687997902
0.25,12,11.613140687997902
0.25,13,11.613140687997902
0.25,14,11.613140687997902
0.25,15,11.613140687997902
0.25,16,11.613140687997902
0.25,17,11.613140687997902
0.25,18,11.613140687997902
0.25,19,11.613140687997902
0.25,20,11.613140687997902
0.25,21,11.613140687997902
0.25,22,11.613140687997902
0.25,23,11.613140687997902
0.25,0,11.613140687997902
0.25,1,11.613140687997902
0.25,2,11.613140687997902
0.25,3,11.613140687997902
0.25,5,11.613140687997902
0.25,6,11.613140687997902
0.25,7,11.613140687997902
0.25,8,11.613140687997902
0.26,9,11.611380778517352
0.26,10,11.611380778517352
0.26,11,11.611380778517352
0.26,12,11.611380778517352
0.26,13,11.611380778517352
0.26,14,11.611380778517352
0.26,15,11.611380778517352
0.26,16,11.611380778517352
0.26,17,11.611380778517352
0.26,18,11.611380778517352
0.26,19,11.611380778517352
0.26,20,11.611380778517352
0.26,21,11.611380778517352
0.26,22,11.611380778517352
0.26,23,11.611380778517352
0.26,0,11.611380778517352
0.26,1,11.611380778517352
0.26,2,11.611380778517352
0.26,3,11.611380778517352
0.26,4,11.611380778517352
0.26,5,11.611380778517352
0.26,6,11.611380778517352
0.26,7,11.611380778517352
0.26,8,11.611380778517352
0.26,9,11.611380778517352
0.26,10,11.611380778517352
0.26,11,11.611380778517352
0.26,12,11.611380778517352
0.26,13,11.611380778517352
0.26,14,11.611380778517352
0.26,15,11.611380778517352
0.26,16,11.611380778517352
0.26,17,11.611380778517352
0.26,18,11.611380778517352
0.26,19,11.611380778517352
0.26,20,11.611380778517352
0.26,21,11.611380778517352
0.26,22,11.611380778517352
0.26,23,11.611380778517352
0.26,0,11.611380778517352
0.26,1,11.611380778517352
0.26,2,11.611380778517352
0.26,3,11.611380778517352
0.26,4,11.611380778517352
0.26,5,11.611380778517352
0.26,6,11.611380778517352
0.26,7,11.611380778517352
0.26,8,11.611380778517352
0.26,9,11.611380778517352
0.26,10,11.611380778517352
0.26,11,11.611380778517352
0.26,12,11.611380778517352
0.26,13,11.611380778517352
0.26,14,11.611380778517352
0.26,15,11.611380778517352
0.26,16,11.611380778517352
0.26,17,11.611380778517352
0.26,18,11.611380778517352
0.26,19,11.611380778517352
0.26,20,11.611380778517352
0.26,21,11.611380778517352
0.26,22,11.611380778517352
0.26,23,11.611380778517352
0.26,0,11.611380778517352
0.26,1,11.611380778517352
0.26,2,11.611380778517352
0.26,3,11.611380778517352
0.26,4,11.611380778517352
0.26,5,11.611380778517352
0.26,6,11.611380778517352
0.26,7,11.611380778517352
0.26,8,11.611380778517352
0.26,9,11.611380778517352
0.26,10,11.611380778517352
0.26,11,11.611380778517352
0.26,12,11.611380778517352
0.26,13,11.611380778517352
0.26,14,11.611380778517352
0.27,15,11.609620869036803
0.27,16,11.609620869036803
0.27,17,11.609620869036803
0.27,18,11.609620869036803
0.27,19,11.609620869036803
0.27,20,11.609620869036803
0.27,21,11.609620869036803
0.27,22,11.609620869036803
0.27,23,11.609620869036803
0.27,12,11.609620869036803
0.27,13,11.609620869036803
0.27,14,11.609620869036803
0.27,15,11.609620869036803
0.27,16,11.609620869036803
0.27,17,11.609620869036803
0.27,18,11.609620869036803
0.27,19,11.609620869036803
0.27,20,11.609620869036803
0.27,21,11.609620869036803
0.27,22,11.609620869036803
0.27,23,11.609620869036803
0.27,0,11.609620869036803
0.27,1,11.609620869036803
0.27,2,11.609620869036803
0.27,4,11.609620869036803
0.27,5,11.609620869036803
0.27,6,11.609620869036803
0.27,7,11.609620869036803
0.27,8,11.609620869036803
0.27,9,11.609620869036803
0.27,10,11.609620869036803
0.27,11,11.609620869036803
0.27,12,11.609620869036803
0.27,13,11.609620869036803
0.27,14,11.609620869036803
0.27,15,11.609620869036803
0.27,16,11.609620869036803
0.27,17,11.609620869036803
0.27,18,11.609620869036803
0.27,19,11.609620869036803
0.27,20,11.609620869036803
0.27,21,11.609620869036803
0.27,22,11.609620869036803
0.27,23,11.609620869036803
0.27,0,11.609620869036803
0.27,1,11.609620869036803
0.27,2,11.609620869036803
0.27,3,11.609620869036803
0.27,4,11.609620869036803
0.27,5,11.609620869036803
0.27,6,11.609620869036803
0.27,7,11.609620869036803
0.27,8,11.609620869036803
0.27,9,11.609620869036803
0.27,10,11.609620869036803
0.27,11,11.609620869036803
0.27,12,11.609620869036803
0.27,13,11.609620869036803
0.27,14,11.609620869036803
0.27,15,11.609620869036803
0.27,16,11.609620869036803
0.27,17,11.609620869036803
0.27,18,11.609620869036803
0.27,19,11.609620869036803
0.27,20,11.609620869036803
0.27,21,11.609620869036803
0.27,22,11.609620869036803
0.27,23,11.609620869036803
0.27,0,11.609620869036803
0.27,1,11.609620869036803
0.27,2,11.609620869036803
0.28,3,11.607860959556254
0.28,4,11.607860959556254
0.28,5,11.607860959556254
0.28,6,11.607860959556254
0.28,7,11.607860959556254
0.28,8,11.607860959556254
0.28,9,11.607860959556254
0.28,10,11.607860959556254
0.28,11,11.607860959556254
0.28,12,11.607860959556254
0.28,13,11.607860959556254
0.28,14,11.607860959556254
0.28,15,11.607860959556254
0.28,16,11.607860959556254
