hum,instant,Predicted Y
0.0,1,-7534.190877370673
0.0,2,-7534.190877370673
0.0,3,-7534.190877370673
0.0,4,-7534.190877370673
0.0,5,-7534.190877370673
0.0,6,-7534.190877370673
0.0,7,-7534.190877370673
0.0,8,-7534.190877370673
0.0,9,-7534.190877370673
0.0,10,-7534.190877370673
0.0,11,-7534.190877370673
0.0,12,-7534.190877370673
0.0,13,-7534.190877370673
0.0,14,-7534.190877370673
0.0,15,-7534.190877370673
0.0,16,-7534.190877370673
0.0,17,-7534.190877370673
0.0,18,-7534.190877370673
0.0,19,-7534.190877370673
0.0,20,-7534.190877370673
0.0,21,-7534.190877370673
0.0,22,-7534.190877370673
0.08,23,-5464.873925326166
0.1,24,-4947.5446873150395
0.12,25,-4430.2154493039125
0.13,26,-4171.550830298349
0.14,27,-3912.8862112927854
0.14,28,-3912.8862112927854
0.15,29,-3654.2215922872224
0.15,30,-3654.2215922872224
0.15,31,-3654.2215922872224
0.15,32,-3654.2215922872224
0.16,33,-3395.5569732816584
0.16,34,-3395.5569732816584
0.16,35,-3395.5569732816584
0.16,36,-3395.5569732816584
0.16,37,-3395.5569732816584
0.16,38,-3395.5569732816584
0.16,39,-3395.5569732816584
0.16,40,-3395.5569732816584
0.16,41,-3395.5569732816584
0.16,42,-3395.5569732816584
0.17,43,-3136.892354276095
0.17,44,-3136.892354276095
0.17,45,-3136.892354276095
0.17,46,-3136.892354276095
0.17,47,-3136.892354276095
0.17,48,-3136.892354276095
0.17,49,-3136.892354276095
0.17,50,-3136.892354276095
0.17,51,-3136.892354276095
0.17,52,-3136.892354276095
0.18,53,-2878.2277352705323
0.18,54,-2878.2277352705323
0.18,55,-2878.2277352705323
0.18,56,-2878.2277352705323
0.18,57,-2878.2277352705323
0.18,58,-2878.2277352705323
0.18,59,-2878.2277352705323
0.18,60,-2878.2277352705323
0.18,61,-2878.2277352705323
0.18,62,-2878.2277352705323
0.19,63,-2619.563116264969
0.19,64,-2619.563116264969
0.19,65,-2619.563116264969
0.19,66,-2619.563116264969
0.19,67,-2619.563116264969
0.19,68,-2619.563116264969
0.19,69,-2619.563116264969
0.19,70,-2619.563116264969
0.19,71,-2619.563116264969
0.19,72,-2619.563116264969
0.19,73,-2619.563116264969
0.19,74,-2619.563116264969
0.19,75,-2619.563116264969
0.19,76,-2619.563116264969
0.19,77,-2619.563116264969
0.19,78,-2619.563116264969
0.2,79,-2360.8984972594053
0.2,80,-2360.8984972594053
0.2,81,-2360.8984972594053
0.2,82,-2360.8984972594053
0.2,83,-2360.8984972594053
0.2,84,-2360.8984972594053
0.2,85,-2360.8984972594053
0.2,86,-2360.8984972594053
0.2,87,-2360.8984972594053
0.2,88,-2360.8984972594053
0.2,89,-2360.8984972594053
0.2,90,-2360.8984972594053
0.2,91,-2360.8984972594053
0.2,92,-2360.8984972594053
0.2,93,-2360.8984972594053
0.2,94,-2360.8984972594053
0.2,95,-2360.8984972594053
0.21,96,-2102.2338782538427
0.21,97,-2102.2338782538427
0.21,98,-2102.2338782538427
0.21,99,-2102.2338782538427
0.21,100,-2102.2338782538427
0.21,101,-2102.2338782538427
0.21,102,-2102.2338782538427
0.21,103,-2102.2338782538427
0.21,104,-2102.2338782538427
0.21,105,-2102.2338782538427
0.21,106,-2102.2338782538427
