instant,casual,Predicted Y
1,3,22.159145062911065
2,8,22.16070071642259
3,5,22.16225636993411
4,3,22.163812023445633
5,0,22.165367676957157
6,0,22.16692333046868
7,2,22.168478983980204
8,1,22.170034637491728
9,1,22.17159029100325
10,8,22.173145944514772
11,12,22.174701598026296
12,26,22.17625725153782
13,29,22.177812905049343
14,47,22.179368558560864
15,35,22.180924212072387
16,40,22.18247986558391
17,41,22.184035519095435
18,15,22.18559117260696
19,9,22.187146826118482
20,6,22.188702479630003
21,11,22.190258133141526
22,3,22.19181378665305
23,11,22.193369440164574
24,15,22.194925093676098
25,4,22.196480747187618
26,1,22.19803640069914
27,1,22.199592054210665
28,2,22.20114770772219
29,2,22.202703361233713
30,0,22.204259014745237
31,0,22.205814668256757
32,0,22.20737032176828
33,1,22.208925975279804
34,7,22.210481628791328
35,16,22.212037282302852
36,20,22.213592935814372
37,11,22.215148589325896
38,4,22.21670424283742
39,19,22.218259896348943
40,9,22.219815549860467
41,7,22.22137120337199
42,10,22.22292685688351
43,1,22.224482510395035
44,5,22.22603816390656
45,11,22.227593817418082
46,0,22.229149470929606
47,0,22.230705124441126
48,0,22.23226077795265
49,0,22.233816431464174
50,0,22.235372084975698
51,0,22.23692773848722
52,0,22.23848339199874
53,1,22.240039045510265
54,1,22.24159469902179
55,7,22.243150352533313
56,11,22.244706006044836
57,10,22.24626165955636
58,13,22.24781731306788
59,8,22.249372966579404
60,11,22.250928620090928
61,14,22.25248427360245
62,9,22.254039927113975
63,11,22.255595580625496
64,9,22.25715123413702
65,8,22.258706887648543
66,3,22.260262541160067
67,3,22.26181819467159
68,0,22.263373848183114
69,1,22.264929501694635
70,0,22.26648515520616
71,0,22.268040808717682
72,0,22.269596462229206
73,0,22.27115211574073
74,0,22.27270776925225
75,0,22.274263422763774
76,2,22.275819076275297
77,2,22.27737472978682
78,2,22.278930383298345
79,5,22.28048603680987
80,7,22.28204169032139
81,12,22.283597343832913
82,18,22.285152997344436
83,9,22.28670865085596
84,17,22.288264304367484
85,15,22.289819957879004
86,10,22.291375611390528
87,3,22.29293126490205
88,2,22.294486918413575
89,1,22.2960425719251
90,0,22.297598225436623
91,1,22.299153878948143
92,2,22.300709532459667
93,0,22.30226518597119
94,0,22.303820839482714
95,0,22.305376492994238
96,0,22.30693214650576
97,0,22.308487800017282
98,0,22.310043453528806
99,1,22.31159910704033
100,3,22.313154760551853
101,6,22.314710414063377
102,4,22.316266067574897
103,12,22.31782172108642
104,5,22.319377374597945
105,6,22.32093302810947
106,10,22.322488681620992
107,7,22.324044335132513
108,4,22.325599988644036
109,4,22.32715564215556
110,3,22.328711295667084
111,5,22.330266949178608
112,7,22.33182260269013
113,3,22.33337825620165
114,1,22.334933909713175
115,1,22.3364895632247
116,0,22.338045216736223
117,0,22.339600870247747
118,0,22.341156523759267
119,0,22.34271217727079
120,0,22.344267830782314
121,0,22.345823484293838
122,0,22.347379137805362
123,3,22.348934791316886
124,6,22.350490444828406
125,3,22.35204609833993
126,2,22.353601751851453
127,6,22.355157405362977
128,12,22.3567130588745
129,11,22.35826871238602
130,8,22.359824365897545
131,12,22.36138001940907
132,9,22.362935672920592
133,5,22.364491326432116
134,3,22.36604697994364
135,3,22.36760263345516
