instant,cnt,Predicted Y
1,1,-99.69021148429145
2,1,-99.65693339715612
3,1,-99.62365531002081
4,1,-99.5903772228855
5,1,-99.55709913575016
6,1,-99.52382104861485
7,1,-99.49054296147953
8,1,-99.4572648743442
9,1,-99.42398678720889
10,1,-99.39070870007357
11,1,-99.35743061293824
12,1,-99.32415252580293
13,1,-99.29087443866761
14,1,-99.25759635153229
15,1,-99.22431826439697
16,1,-99.19104017726166
17,1,-99.15776209012634
18,1,-99.12448400299101
19,1,-99.0912059158557
20,1,-99.05792782872038
21,1,-99.02464974158505
22,1,-98.99137165444974
23,1,-98.95809356731442
24,1,-98.92481548017909
25,1,-98.89153739304378
26,1,-98.85825930590846
27,1,-98.82498121877313
28,1,-98.79170313163782
29,1,-98.7584250445025
30,1,-98.72514695736717
31,1,-98.69186887023186
32,1,-98.65859078309654
33,1,-98.62531269596121
34,1,-98.5920346088259
35,1,-98.55875652169058
36,1,-98.52547843455525
37,1,-98.49220034741994
38,1,-98.45892226028462
39,1,-98.4256441731493
40,1,-98.39236608601398
41,1,-98.35908799887866
42,1,-98.32580991174333
43,1,-98.29253182460802
44,1,-98.2592537374727
45,1,-98.22597565033738
46,1,-98.19269756320206
47,1,-98.15941947606674
48,1,-98.12614138893142
49,1,-98.0928633017961
50,1,-98.05958521466079
51,1,-98.02630712752547
52,1,-97.99302904039014
53,1,-97.95975095325483
54,1,-97.92647286611951
55,1,-97.89319477898418
56,1,-97.85991669184887
57,1,-97.82663860471355
58,1,-97.79336051757822
59,1,-97.7600824304429
60,1,-97.72680434330759
61,1,-97.69352625617226
62,1,-97.66024816903695
63,1,-97.62697008190163
64,1,-97.5936919947663
65,1,-97.56041390763099
66,1,-97.52713582049567
67,1,-97.49385773336034
68,1,-97.46057964622503
69,1,-97.42730155908971
70,1,-97.39402347195438
71,1,-97.36074538481907
72,1,-97.32746729768375
73,1,-97.29418921054842
74,1,-97.26091112341311
75,1,-97.2276330362778
76,1,-97.19435494914246
77,1,-97.16107686200715
78,1,-97.12779877487183
79,1,-97.0945206877365
80,1,-97.06124260060119
81,1,-97.02796451346588
82,1,-96.99468642633056
83,1,-96.96140833919523
84,1,-96.92813025205992
85,1,-96.8948521649246
86,1,-96.86157407778927
87,1,-96.82829599065396
88,1,-96.79501790351864
89,1,-96.76173981638331
90,1,-96.728461729248
91,1,-96.69518364211268
92,1,-96.66190555497735
93,1,-96.62862746784204
94,1,-96.59534938070672
95,1,-96.56207129357139
96,1,-96.52879320643608
97,1,-96.49551511930076
98,1,-96.46223703216543
99,1,-96.42895894503012
100,1,-96.3956808578948
101,1,-96.36240277075947
102,1,-96.32912468362416
103,1,-96.29584659648884
104,1,-96.26256850935351
105,1,-96.2292904222182
106,1,-96.19601233508288
107,1,-96.16273424794755
108,1,-96.12945616081224
109,1,-96.09617807367692
110,1,-96.0628999865416
111,1,-96.02962189940628
112,1,-95.99634381227096
113,1,-95.96306572513564
114,1,-95.92978763800032
115,1,-95.896509550865
116,1,-95.86323146372968
117,1,-95.82995337659436
