instant,yr,Predicted Y
1,0,-0.24737661705783434
2,0,-0.24729030825605564
3,0,-0.24720399945427693
4,0,-0.24711769065249822
5,0,-0.24703138185071952
6,0,-0.2469450730489408
7,0,-0.2468587642471621
8,0,-0.2467724554453834
9,0,-0.2466861466436047
10,0,-0.24659983784182601
11,0,-0.2465135290400473
12,0,-0.2464272202382686
13,0,-0.2463409114364899
14,0,-0.2462546026347112
15,0,-0.24616829383293248
16,0,-0.24608198503115378
17,0,-0.24599567622937507
18,0,-0.24590936742759636
19,0,-0.24582305862581766
20,0,-0.24573674982403895
21,0,-0.24565044102226025
22,0,-0.24556413222048154
23,0,-0.24547782341870283
24,0,-0.24539151461692413
25,0,-0.24530520581514542
26,0,-0.24521889701336672
27,0,-0.245132588211588
28,0,-0.24504627940980933
29,0,-0.24495997060803062
30,0,-0.24487366180625192
31,0,-0.2447873530044732
32,0,-0.2447010442026945
33,0,-0.2446147354009158
34,0,-0.2445284265991371
35,0,-0.2444421177973584
36,0,-0.24435580899557968
37,0,-0.24426950019380098
38,0,-0.24418319139202227
39,0,-0.24409688259024356
40,0,-0.24401057378846486
41,0,-0.24392426498668615
42,0,-0.24383795618490745
43,0,-0.24375164738312874
44,0,-0.24366533858135003
45,0,-0.24357902977957133
46,0,-0.24349272097779265
47,0,-0.24340641217601394
48,0,-0.24332010337423524
49,0,-0.24323379457245653
50,0,-0.24314748577067782
51,0,-0.24306117696889912
52,0,-0.2429748681671204
53,0,-0.2428885593653417
54,0,-0.242802250563563
55,0,-0.2427159417617843
56,0,-0.2426296329600056
57,0,-0.24254332415822688
58,0,-0.24245701535644817
59,0,-0.24237070655466947
60,0,-0.24228439775289076
61,0,-0.24219808895111206
62,0,-0.24211178014933335
63,0,-0.24202547134755464
64,0,-0.24193916254577597
65,0,-0.24185285374399726
66,0,-0.24176654494221855
67,0,-0.24168023614043985
68,0,-0.24159392733866114
69,0,-0.24150761853688243
70,0,-0.24142130973510373
71,0,-0.24133500093332502
72,0,-0.24124869213154632
73,0,-0.2411623833297676
74,0,-0.2410760745279889
75,0,-0.2409897657262102
76,0,-0.2409034569244315
77,0,-0.24081714812265279
78,0,-0.24073083932087408
79,0,-0.24064453051909537
80,0,-0.24055822171731667
81,0,-0.24047191291553796
82,0,-0.24038560411375928
83,0,-0.24029929531198058
84,0,-0.24021298651020187
85,0,-0.24012667770842316
86,0,-0.24004036890664446
87,0,-0.23995406010486575
88,0,-0.23986775130308705
89,0,-0.23978144250130834
90,0,-0.23969513369952963
91,0,-0.23960882489775093
92,0,-0.23952251609597222
93,0,-0.23943620729419351
94,0,-0.2393498984924148
95,0,-0.2392635896906361
96,0,-0.2391772808888574
97,0,-0.2390909720870787
98,0,-0.23900466328529998
99,0,-0.23891835448352128
100,0,-0.2388320456817426
101,0,-0.2387457368799639
102,0,-0.2386594280781852
103,0,-0.23857311927640648
104,0,-0.23848681047462778
105,0,-0.23840050167284907
106,0,-0.23831419287107036
107,0,-0.23822788406929166
108,0,-0.23814157526751295
109,0,-0.23805526646573424
110,0,-0.23796895766395554
111,0,-0.23788264886217683
112,0,-0.23779634006039813
113,0,-0.23771003125861942
114,0,-0.2376237224568407
115,0,-0.237537413655062
116,0,-0.2374511048532833
117,0,-0.2373647960515046
118,0,-0.2372784872497259
119,0,-0.2371921784479472
120,0,-0.2371058696461685
121,0,-0.2370195608443898
122,0,-0.2369332520426111
123,0,-0.23684694324083239
124,0,-0.23676063443905368
125,0,-0.23667432563727497
126,0,-0.23658801683549627
127,0,-0.23650170803371756
128,0,-0.23641539923193886
129,0,-0.23632909043016015
130,0,-0.23624278162838144
131,0,-0.23615647282660274
132,0,-0.23607016402482403
133,0,-0.23598385522304532
134,0,-0.23589754642126662
135,0,-0.2358112376194879
136,0,-0.23572492881770923
137,0,-0.23563862001593053
138,0,-0.23555231121415182
139,0,-0.23546600241237312
140,0,-0.2353796936105944
141,0,-0.2352933848088157
142,0,-0.235207076007037
143,0,-0.2351207672052583
144,0,-0.23503445840347958
145,0,-0.23494814960170088
146,0,-0.23486184079992217
147,0,-0.23477553199814347
148,0,-0.23468922319636476
149,0,-0.23460291439458605
150,0,-0.23451660559280735
151,0,-0.23443029679102864
152,0,-0.23434398798924994
153,0,-0.23425767918747123
154,0,-0.23417137038569252
155,0,-0.23408506158391384
156,0,-0.23399875278213514
157,0,-0.23391244398035643
158,0,-0.23382613517857773
159,0,-0.23373982637679902
160,0,-0.23365351757502031
161,0,-0.2335672087732416
162,0,-0.2334808999714629
163,0,-0.2333945911696842
164,0,-0.2333082823679055
165,0,-0.23322197356612678
166,0,-0.23313566476434808
167,0,-0.23304935596256937
168,0,-0.23296304716079066
169,0,-0.23287673835901196
170,0,-0.23279042955723325
171,0,-0.23270412075545455
172,0,-0.23261781195367587
173,0,-0.23253150315189716
174,0,-0.23244519435011846
175,0,-0.23235888554833975
